date,recom,Price
2016-01-01,58,92.1197280883789
2016-01-04,63,93.70738220214844
2016-01-05,69,97.15177154541016
2016-01-06,76,94.91830444335938
2016-01-07,79,92.0614242553711
2016-01-08,77,93.38894653320312
2016-01-11,75,91.46044921875
2016-01-12,70,90.97159576416016
2016-01-13,58,90.0297622680664
2016-01-14,74,90.00733184814453
2016-01-15,65,87.2267074584961
2016-01-18,65,88.88611602783203
2016-01-19,64,89.56782531738281
2016-01-20,83,91.83716583251953
2016-01-21,58,91.97172546386719
2016-01-22,51,95.79732513427734
2016-01-25,54,99.31798553466797
2016-01-27,49,100.57374572753906
2016-01-28,47,97.9680404663086
2016-01-29,37,94.81515502929688
2016-02-01,38,94.23211669921875
2016-02-02,42,89.9938735961914
2016-02-03,27,87.31192016601562
2016-02-04,40,90.65765380859375
2016-02-05,35,93.02120971679688
2016-02-08,41,93.77913665771484
2016-02-09,43,89.6978759765625
2016-02-10,46,91.72056579589844
2016-02-11,32,89.8414077758789
2016-02-12,36,90.68006896972656
2016-02-15,42,93.411376953125
2016-02-16,35,92.720703125
2016-02-17,34,93.95853424072266
2016-02-18,55,94.79271697998047
2016-02-19,59,97.1876449584961
2016-02-22,50,98.90985107421875
2016-02-23,49,100.8204116821289
2016-02-24,48,99.51978302001953
2016-02-25,50,100.96842956542969
2016-02-26,53,98.58695220947266
2016-02-29,36,101.04017639160156
2016-03-01,51,102.5650405883789
2016-03-02,52,101.65011596679688
2016-03-03,47,104.03160095214844
2016-03-04,51,106.33235168457031
2016-03-08,70,106.40412139892578
2016-03-09,64,105.84797668457031
2016-03-10,68,106.37272644042969
2016-03-11,61,106.16192626953125
2016-03-14,45,105.92423248291016
2016-03-15,61,107.18898010253906
2016-03-16,61,107.64641571044922
2016-03-17,57,107.85273742675781
2016-03-18,58,108.79456329345703
2016-03-21,60,109.0681381225586
2016-03-22,72,110.34184265136719
2016-03-23,53,112.00574493408203
2016-03-28,42,110.05032348632812
2016-03-29,41,110.58402252197266
2016-03-30,44,114.06878662109375
2016-03-31,42,115.10479736328125
2016-04-01,45,113.25701904296875
2016-04-04,27,112.99690246582031
2016-04-05,50,112.96998596191406
2016-04-06,66,115.95246887207031
2016-04-07,68,114.57110595703125
2016-04-08,61,114.22127532958984
2016-04-11,60,116.58482360839844
2016-04-12,54,116.40093994140625
2016-04-13,46,117.82263946533203
2016-04-18,34,119.67941284179688
2016-04-20,57,122.13264465332031
2016-04-21,56,121.05626678466797
2016-04-22,59,120.49118041992188
2016-04-25,60,120.66158294677734
2016-04-26,52,122.70221710205078
2016-04-27,42,122.2223129272461
2016-04-28,34,122.74705505371094
2016-04-29,45,123.17313385009766
2016-05-02,49,122.41966247558594
2016-05-03,45,121.70207977294922
2016-05-04,25,118.5537109375
2016-05-05,54,118.3922348022461
2016-05-06,40,118.41016387939453
2016-05-09,29,118.95283508300781
2016-05-10,32,115.512939453125
2016-05-11,63,115.83135223388672
2016-05-12,24,115.05548095703125
2016-05-13,15,113.79969024658203
2016-05-16,35,116.21257019042969
2016-05-17,43,115.71025848388672
2016-05-18,30,117.44143676757812
2016-05-19,30,118.41915893554688
2016-05-20,35,117.05573272705078
2016-05-23,36,118.27112579345703
2016-05-24,30,118.41466522216797
2016-05-25,32,116.6386489868164
2016-05-26,43,118.30702209472656
2016-05-27,30,123.39289855957031
2016-05-30,14,123.06098937988281
2016-05-31,0,124.60382080078125
2016-06-01,8,123.316650390625
2016-06-02,11,123.72028350830078
2016-06-03,20,122.90851593017578
2016-06-06,28,122.8367691040039
2016-06-07,38,123.52743530273438
2016-06-08,31,125.13750457763672
2016-06-09,37,127.05255889892578
2016-06-10,58,127.2543716430664
2016-06-13,44,125.59942626953125
2016-06-14,43,126.12865447998047
2016-06-15,64,125.59048461914062
2016-06-16,98,126.22732543945312
2016-06-17,74,125.13302612304688
2016-06-20,68,125.77886199951172
2016-06-21,65,125.63981628417969
2016-06-22,60,124.79664611816406
2016-06-23,51,125.6981201171875
2016-06-24,53,124.07010650634766
2016-06-27,54,124.32125854492188
2016-06-28,55,127.95404052734375
2016-06-29,84,129.5775604248047
2016-06-30,70,131.3490753173828
2016-07-01,68,131.25489807128906
2016-07-04,62,132.85977172851562
2016-07-05,60,133.54946899414062
2016-07-07,57,131.92660522460938
2016-07-08,50,133.16180419921875
2016-07-11,47,136.02890014648438
2016-07-12,47,138.96359252929688
2016-07-13,33,140.3745880126953
2016-07-14,38,142.0155029296875
2016-07-15,37,147.50624084472656
2016-07-18,35,144.8014373779297
2016-07-19,38,146.79852294921875
2016-07-20,40,146.0140838623047
2016-07-21,54,145.36045837402344
2016-07-22,52,145.42808532714844
2016-07-25,50,146.821044921875
2016-07-26,51,149.60696411132812
2016-07-27,52,156.81527709960938
2016-07-28,50,151.86099243164062
2016-07-29,73,151.03599548339844
2016-08-01,73,152.33880615234375
2016-08-02,73,151.00897216796875
2016-08-03,88,152.00973510742188
2016-08-04,84,154.16458129882812
2016-08-05,49,156.67103576660156
2016-08-08,48,155.80545043945312
2016-08-09,47,154.18260192871094
2016-08-10,46,154.11497497558594
2016-08-11,60,154.232177734375
2016-08-12,60,155.80096435546875
2016-08-16,59,157.59967041015625
2016-08-17,61,159.89419555664062
2016-08-18,63,160.82740783691406
