date,recom,Price
2016-01-01,66,92.1197280883789
2016-01-04,78,93.70738220214844
2016-01-05,98,97.15177154541016
2016-01-06,67,94.91830444335938
2016-01-07,64,92.0614242553711
2016-01-08,65,93.38894653320312
2016-01-11,75,91.46044921875
2016-01-12,63,90.97159576416016
2016-01-13,55,90.0297622680664
2016-01-14,57,90.00733184814453
2016-01-15,61,87.2267074584961
2016-01-18,62,88.88611602783203
2016-01-19,52,89.56782531738281
2016-01-20,48,91.83716583251953
2016-01-21,47,91.97172546386719
2016-01-22,48,95.79732513427734
2016-01-25,51,99.31798553466797
2016-01-27,50,100.57374572753906
2016-01-28,37,97.9680404663086
2016-01-29,29,94.81515502929688
2016-02-01,28,94.23211669921875
2016-02-02,0,89.9938735961914
2016-02-03,0,87.31192016601562
2016-02-04,2,90.65765380859375
2016-02-05,9,93.02120971679688
2016-02-08,15,93.77913665771484
2016-02-09,0,89.6978759765625
2016-02-10,0,91.72056579589844
2016-02-11,4,89.8414077758789
2016-02-12,20,90.68006896972656
2016-02-15,44,93.411376953125
2016-02-16,41,92.720703125
2016-02-17,53,93.95853424072266
2016-02-18,57,94.79271697998047
2016-02-19,60,97.1876449584961
2016-02-22,38,98.90985107421875
2016-02-23,44,100.8204116821289
2016-02-24,40,99.51978302001953
2016-02-25,35,100.96842956542969
2016-02-26,26,98.58695220947266
2016-02-29,33,101.04017639160156
2016-03-01,48,102.5650405883789
2016-03-02,45,101.65011596679688
2016-03-03,48,104.03160095214844
2016-03-04,51,106.33235168457031
2016-03-08,37,106.40412139892578
2016-03-09,43,105.84797668457031
2016-03-10,47,106.37272644042969
2016-03-11,45,106.16192626953125
2016-03-14,19,105.92423248291016
2016-03-15,0,107.18898010253906
2016-03-16,8,107.64641571044922
2016-03-17,16,107.85273742675781
2016-03-18,9,108.79456329345703
2016-03-21,0,109.0681381225586
2016-03-22,0,110.34184265136719
2016-03-23,16,112.00574493408203
2016-03-28,24,110.05032348632812
2016-03-29,29,110.58402252197266
2016-03-30,30,114.06878662109375
2016-03-31,55,115.10479736328125
2016-04-01,77,113.25701904296875
2016-04-04,84,112.99690246582031
2016-04-05,90,112.96998596191406
2016-04-06,89,115.95246887207031
2016-04-07,90,114.57110595703125
2016-04-08,92,114.22127532958984
2016-04-11,95,116.58482360839844
2016-04-12,95,116.40093994140625
2016-04-13,98,117.82263946533203
2016-04-18,100,119.67941284179688
2016-04-20,41,122.13264465332031
2016-04-21,43,121.05626678466797
2016-04-22,45,120.49118041992188
2016-04-25,36,120.66158294677734
2016-04-26,34,122.70221710205078
2016-04-27,35,122.2223129272461
2016-04-28,38,122.74705505371094
2016-04-29,45,123.17313385009766
2016-05-02,46,122.41966247558594
2016-05-03,39,121.70207977294922
2016-05-04,25,118.5537109375
2016-05-05,35,118.3922348022461
2016-05-06,27,118.41016387939453
2016-05-09,30,118.95283508300781
2016-05-10,20,115.512939453125
2016-05-11,17,115.83135223388672
2016-05-12,24,115.05548095703125
2016-05-13,32,113.79969024658203
2016-05-16,43,116.21257019042969
2016-05-17,48,115.71025848388672
2016-05-18,25,117.44143676757812
2016-05-19,23,118.41915893554688
2016-05-20,29,117.05573272705078
2016-05-23,31,118.27112579345703
2016-05-24,30,118.41466522216797
2016-05-25,31,116.6386489868164
2016-05-26,34,118.30702209472656
2016-05-27,31,123.39289855957031
2016-05-30,38,123.06098937988281
2016-05-31,37,124.60382080078125
2016-06-01,45,123.316650390625
2016-06-02,38,123.72028350830078
2016-06-03,25,122.90851593017578
2016-06-06,28,122.8367691040039
2016-06-07,30,123.52743530273438
2016-06-08,27,125.13750457763672
2016-06-09,32,127.05255889892578
2016-06-10,32,127.2543716430664
2016-06-13,41,125.59942626953125
2016-06-14,44,126.12865447998047
2016-06-15,55,125.59048461914062
2016-06-16,57,126.22732543945312
2016-06-17,43,125.13302612304688
2016-06-20,48,125.77886199951172
2016-06-21,48,125.63981628417969
2016-06-22,48,124.79664611816406
2016-06-23,49,125.6981201171875
2016-06-24,22,124.07010650634766
2016-06-27,24,124.32125854492188
2016-06-28,25,127.95404052734375
2016-06-29,33,129.5775604248047
2016-06-30,34,131.3490753173828
2016-07-01,68,131.25489807128906
2016-07-04,78,132.85977172851562
2016-07-05,79,133.54946899414062
2016-07-07,82,131.92660522460938
2016-07-08,77,133.16180419921875
2016-07-11,48,136.02890014648438
2016-07-12,44,138.96359252929688
2016-07-13,42,140.3745880126953
2016-07-14,51,142.0155029296875
2016-07-15,54,147.50624084472656
2016-07-18,52,144.8014373779297
2016-07-19,51,146.79852294921875
2016-07-20,50,146.0140838623047
2016-07-21,58,145.36045837402344
2016-07-22,55,145.42808532714844
2016-07-25,48,146.821044921875
2016-07-26,46,149.60696411132812
2016-07-27,46,156.81527709960938
2016-07-28,56,151.86099243164062
2016-07-29,29,151.03599548339844
2016-08-01,12,152.33880615234375
2016-08-02,9,151.00897216796875
2016-08-03,4,152.00973510742188
2016-08-04,10,154.16458129882812
2016-08-05,23,156.67103576660156
2016-08-08,53,155.80545043945312
2016-08-09,75,154.18260192871094
2016-08-10,84,154.11497497558594
2016-08-11,83,154.232177734375
2016-08-12,72,155.80096435546875
2016-08-16,59,157.59967041015625
2016-08-17,49,159.89419555664062
2016-08-18,45,160.82740783691406
2016-08-19,43,161.21505737304688
2016-08-22,44,159.38934326171875
2016-08-23,52,158.5418243408203
