date,recom,Price
2016-01-01,20,92.1197280883789
2016-01-04,23,93.70738220214844
2016-01-05,17,97.15177154541016
2016-01-06,15,94.91830444335938
2016-01-07,31,92.0614242553711
2016-01-08,38,93.38894653320312
2016-01-11,43,91.46044921875
2016-01-12,58,90.97159576416016
2016-01-13,65,90.0297622680664
2016-01-14,65,90.00733184814453
2016-01-15,60,87.2267074584961
2016-01-18,62,88.88611602783203
2016-01-19,56,89.56782531738281
2016-01-20,39,91.83716583251953
2016-01-21,28,91.97172546386719
2016-01-22,24,95.79732513427734
2016-01-25,33,99.31798553466797
2016-01-27,42,100.57374572753906
2016-01-28,45,97.9680404663086
2016-01-29,50,94.81515502929688
2016-02-01,50,94.23211669921875
2016-02-02,46,89.9938735961914
2016-02-03,47,87.31192016601562
2016-02-04,50,90.65765380859375
2016-02-05,67,93.02120971679688
2016-02-08,69,93.77913665771484
2016-02-09,65,89.6978759765625
2016-02-10,61,91.72056579589844
2016-02-11,59,89.8414077758789
2016-02-12,43,90.68006896972656
2016-02-15,46,93.411376953125
2016-02-16,45,92.720703125
2016-02-17,44,93.95853424072266
2016-02-18,51,94.79271697998047
2016-02-19,52,97.1876449584961
2016-02-22,49,98.90985107421875
2016-02-23,49,100.8204116821289
2016-02-24,52,99.51978302001953
2016-02-25,62,100.96842956542969
2016-02-26,62,98.58695220947266
2016-02-29,60,101.04017639160156
2016-03-01,61,102.5650405883789
2016-03-02,58,101.65011596679688
2016-03-03,44,104.03160095214844
2016-03-04,28,106.33235168457031
2016-03-08,56,106.40412139892578
2016-03-09,61,105.84797668457031
2016-03-10,74,106.37272644042969
2016-03-11,90,106.16192626953125
2016-03-14,94,105.92423248291016
2016-03-15,100,107.18898010253906
2016-03-16,100,107.64641571044922
2016-03-17,55,107.85273742675781
2016-03-18,56,108.79456329345703
2016-03-21,55,109.0681381225586
2016-03-22,58,110.34184265136719
2016-03-23,52,112.00574493408203
2016-03-28,47,110.05032348632812
2016-03-29,40,110.58402252197266
2016-03-30,71,114.06878662109375
2016-03-31,69,115.10479736328125
2016-04-01,66,113.25701904296875
2016-04-04,63,112.99690246582031
2016-04-05,68,112.96998596191406
2016-04-06,38,115.95246887207031
2016-04-07,33,114.57110595703125
2016-04-08,29,114.22127532958984
2016-04-11,33,116.58482360839844
2016-04-12,36,116.40093994140625
2016-04-13,45,117.82263946533203
2016-04-18,46,119.67941284179688
2016-04-20,60,122.13264465332031
2016-04-21,51,121.05626678466797
2016-04-22,52,120.49118041992188
2016-04-25,14,120.66158294677734
2016-04-26,2,122.70221710205078
2016-04-27,45,122.2223129272461
2016-04-28,42,122.74705505371094
2016-04-29,36,123.17313385009766
2016-05-02,31,122.41966247558594
2016-05-03,36,121.70207977294922
2016-05-04,42,118.5537109375
2016-05-05,46,118.3922348022461
2016-05-06,62,118.41016387939453
2016-05-09,73,118.95283508300781
2016-05-10,95,115.512939453125
2016-05-11,79,115.83135223388672
2016-05-12,93,115.05548095703125
2016-05-13,65,113.79969024658203
2016-05-16,93,116.21257019042969
2016-05-17,94,115.71025848388672
2016-05-18,51,117.44143676757812
2016-05-19,83,118.41915893554688
2016-05-20,93,117.05573272705078
2016-05-23,47,118.27112579345703
2016-05-24,40,118.41466522216797
2016-05-25,44,116.6386489868164
2016-05-26,45,118.30702209472656
2016-05-27,45,123.39289855957031
2016-05-30,47,123.06098937988281
2016-05-31,44,124.60382080078125
2016-06-01,52,123.316650390625
2016-06-02,50,123.72028350830078
2016-06-03,53,122.90851593017578
2016-06-06,52,122.8367691040039
2016-06-07,37,123.52743530273438
2016-06-08,37,125.13750457763672
2016-06-09,39,127.05255889892578
2016-06-10,34,127.2543716430664
2016-06-13,12,125.59942626953125
2016-06-14,15,126.12865447998047
2016-06-15,22,125.59048461914062
2016-06-16,22,126.22732543945312
2016-06-17,15,125.13302612304688
2016-06-20,45,125.77886199951172
2016-06-21,92,125.63981628417969
2016-06-22,81,124.79664611816406
2016-06-23,82,125.6981201171875
2016-06-24,89,124.07010650634766
2016-06-27,88,124.32125854492188
2016-06-28,49,127.95404052734375
2016-06-29,49,129.5775604248047
2016-06-30,50,131.3490753173828
2016-07-01,48,131.25489807128906
2016-07-04,48,132.85977172851562
2016-07-05,49,133.54946899414062
2016-07-07,47,131.92660522460938
2016-07-08,49,133.16180419921875
2016-07-11,49,136.02890014648438
2016-07-12,51,138.96359252929688
2016-07-13,54,140.3745880126953
2016-07-14,53,142.0155029296875
2016-07-15,53,147.50624084472656
2016-07-18,53,144.8014373779297
2016-07-19,14,146.79852294921875
2016-07-20,12,146.0140838623047
2016-07-21,13,145.36045837402344
2016-07-22,19,145.42808532714844
2016-07-25,25,146.821044921875
2016-07-26,99,149.60696411132812
2016-07-27,100,156.81527709960938
2016-07-28,100,151.86099243164062
2016-07-29,94,151.03599548339844
2016-08-01,92,152.33880615234375
2016-08-02,99,151.00897216796875
2016-08-03,69,152.00973510742188
2016-08-04,62,154.16458129882812
2016-08-05,55,156.67103576660156
2016-08-08,51,155.80545043945312
2016-08-09,51,154.18260192871094
2016-08-10,47,154.11497497558594
2016-08-11,49,154.232177734375
2016-08-12,49,155.80096435546875
2016-08-16,48,157.59967041015625
2016-08-17,51,159.89419555664062
2016-08-18,53,160.82740783691406
2016-08-19,51,161.21505737304688
2016-08-22,40,159.38934326171875
2016-08-23,37,158.5418243408203
2016-08-24,9,158.6500244140625
2016-08-25,17,157.365234375
2016-08-26,17,158.32546997070312
2016-08-29,13,159.86717224121094
2016-08-30,8,160.58847045898438
2016-08-31,21,158.05946350097656
2016-09-01,41,159.8311004638672
2016-09-02,48,160.25038146972656
2016-09-06,64,167.927490234375
2016-09-07,98,166.9357147216797
2016-09-08,71,166.6877899169922
2016-09-09,70,164.43377685546875
2016-09-12,65,157.3336639404297
2016-09-14,37,157.81153869628906
2016-09-15,32,158.11805725097656
2016-09-16,35,155.5755615234375
2016-09-19,67,159.57415771484375
2016-09-20,65,158.84835815429688
2016-09-21,61,158.07298278808594
2016-09-22,69,158.92501831054688
2016-09-23,67,158.34799194335938
2016-09-26,68,158.41561889648438
2016-09-27,67,158.71315002441406
2016-09-28,63,160.1016082763672
2016-09-29,69,151.32000732421875
2016-09-30,69,155.91818237304688
2016-10-03,63,159.3487548828125
2016-10-04,54,160.80935668945312
2016-10-05,49,161.17901611328125
2016-10-06,55,158.91148376464844
2016-10-07,89,159.77255249023438
2016-10-10,90,163.61782836914062
2016-10-13,93,159.79052734375
2016-10-14,96,157.10377502441406
2016-10-17,53,155.05262756347656
2016-10-18,71,160.7191619873047
2016-10-19,74,157.68080139160156
2016-10-20,59,156.95501708984375
2016-10-21,60,156.4546356201172
2016-10-24,61,154.32687377929688
2016-10-25,47,154.11949157714844
2016-10-26,50,150.40940856933594
2016-10-27,56,147.58740234375
2016-10-28,52,149.56192016601562
2016-11-01,42,149.92701721191406
2016-11-02,56,147.3214111328125
2016-11-03,47,144.1793212890625
2016-11-04,44,143.47608947753906
2016-11-07,22,144.30105590820312
2016-11-08,72,149.38607788085938
2016-11-09,85,151.54542541503906
2016-11-10,89,158.35699462890625
2016-11-11,89,155.1743621826172
2016-11-15,85,152.7174835205078
2016-11-16,52,153.1186981201172
2016-11-17,42,149.17420959472656
2016-11-18,41,152.5146484375
2016-11-21,41,146.22145080566406
