date,recom,Price
2016-01-01,41,92.1197280883789
2016-01-04,38,93.70738220214844
2016-01-05,50,97.15177154541016
2016-01-06,56,94.91830444335938
2016-01-07,56,92.0614242553711
2016-01-08,58,93.38894653320312
2016-01-11,51,91.46044921875
2016-01-12,52,90.97159576416016
2016-01-13,48,90.0297622680664
2016-01-14,52,90.00733184814453
2016-01-15,54,87.2267074584961
2016-01-18,59,88.88611602783203
2016-01-19,63,89.56782531738281
2016-01-20,66,91.83716583251953
2016-01-21,75,91.97172546386719
2016-01-22,100,95.79732513427734
2016-01-25,99,99.31798553466797
2016-01-27,68,100.57374572753906
2016-01-28,68,97.9680404663086
2016-01-29,62,94.81515502929688
2016-02-01,88,94.23211669921875
2016-02-02,75,89.9938735961914
2016-02-03,67,87.31192016601562
2016-02-04,69,90.65765380859375
2016-02-05,68,93.02120971679688
2016-02-08,61,93.77913665771484
2016-02-09,67,89.6978759765625
2016-02-10,56,91.72056579589844
2016-02-11,62,89.8414077758789
2016-02-12,74,90.68006896972656
2016-02-15,78,93.411376953125
2016-02-16,90,92.720703125
2016-02-17,85,93.95853424072266
2016-02-18,92,94.79271697998047
2016-02-19,92,97.1876449584961
2016-02-22,94,98.90985107421875
2016-02-23,73,100.8204116821289
2016-02-24,58,99.51978302001953
2016-02-25,52,100.96842956542969
2016-02-26,49,98.58695220947266
2016-02-29,55,101.04017639160156
2016-03-01,63,102.5650405883789
2016-03-02,65,101.65011596679688
2016-03-03,64,104.03160095214844
2016-03-04,62,106.33235168457031
2016-03-08,78,106.40412139892578
2016-03-09,69,105.84797668457031
2016-03-10,61,106.37272644042969
2016-03-11,52,106.16192626953125
2016-03-14,51,105.92423248291016
2016-03-15,29,107.18898010253906
2016-03-16,10,107.64641571044922
2016-03-17,23,107.85273742675781
2016-03-18,23,108.79456329345703
2016-03-21,21,109.0681381225586
2016-03-22,26,110.34184265136719
2016-03-23,17,112.00574493408203
2016-03-28,34,110.05032348632812
2016-03-29,27,110.58402252197266
2016-03-30,9,114.06878662109375
2016-03-31,0,115.10479736328125
2016-04-01,12,113.25701904296875
2016-04-04,23,112.99690246582031
2016-04-05,25,112.96998596191406
2016-04-06,32,115.95246887207031
2016-04-07,37,114.57110595703125
2016-04-08,25,114.22127532958984
2016-04-11,24,116.58482360839844
2016-04-12,25,116.40093994140625
2016-04-13,32,117.82263946533203
2016-04-18,30,119.67941284179688
2016-04-20,40,122.13264465332031
2016-04-21,53,121.05626678466797
2016-04-22,72,120.49118041992188
2016-04-25,71,120.66158294677734
2016-04-26,73,122.70221710205078
2016-04-27,72,122.2223129272461
2016-04-28,55,122.74705505371094
2016-04-29,47,123.17313385009766
2016-05-02,45,122.41966247558594
2016-05-03,43,121.70207977294922
2016-05-04,39,118.5537109375
2016-05-05,43,118.3922348022461
2016-05-06,48,118.41016387939453
2016-05-09,51,118.95283508300781
2016-05-10,51,115.512939453125
2016-05-11,61,115.83135223388672
2016-05-12,60,115.05548095703125
2016-05-13,54,113.79969024658203
2016-05-16,62,116.21257019042969
2016-05-17,88,115.71025848388672
2016-05-18,84,117.44143676757812
2016-05-19,79,118.41915893554688
2016-05-20,77,117.05573272705078
2016-05-23,74,118.27112579345703
2016-05-24,47,118.41466522216797
2016-05-25,47,116.6386489868164
2016-05-26,48,118.30702209472656
2016-05-27,55,123.39289855957031
2016-05-30,58,123.06098937988281
2016-05-31,60,124.60382080078125
2016-06-01,59,123.316650390625
2016-06-02,56,123.72028350830078
2016-06-03,52,122.90851593017578
2016-06-06,53,122.8367691040039
2016-06-07,54,123.52743530273438
2016-06-08,55,125.13750457763672
2016-06-09,55,127.05255889892578
2016-06-10,55,127.2543716430664
2016-06-13,52,125.59942626953125
2016-06-14,0,126.12865447998047
2016-06-15,1,125.59048461914062
2016-06-16,0,126.22732543945312
2016-06-17,13,125.13302612304688
2016-06-20,8,125.77886199951172
2016-06-21,24,125.63981628417969
2016-06-22,35,124.79664611816406
2016-06-23,17,125.6981201171875
2016-06-24,21,124.07010650634766
2016-06-27,18,124.32125854492188
2016-06-28,23,127.95404052734375
2016-06-29,38,129.5775604248047
2016-06-30,40,131.3490753173828
2016-07-01,59,131.25489807128906
2016-07-04,36,132.85977172851562
2016-07-05,31,133.54946899414062
2016-07-07,24,131.92660522460938
2016-07-08,28,133.16180419921875
2016-07-11,0,136.02890014648438
2016-07-12,29,138.96359252929688
2016-07-13,57,140.3745880126953
2016-07-14,46,142.0155029296875
2016-07-15,52,147.50624084472656
2016-07-18,67,144.8014373779297
2016-07-19,59,146.79852294921875
2016-07-20,66,146.0140838623047
2016-07-21,62,145.36045837402344
2016-07-22,62,145.42808532714844
2016-07-25,52,146.821044921875
2016-07-26,60,149.60696411132812
2016-07-27,45,156.81527709960938
2016-07-28,40,151.86099243164062
2016-07-29,37,151.03599548339844
2016-08-01,44,152.33880615234375
2016-08-02,43,151.00897216796875
2016-08-03,50,152.00973510742188
2016-08-04,56,154.16458129882812
2016-08-05,59,156.67103576660156
2016-08-08,62,155.80545043945312
2016-08-09,57,154.18260192871094
2016-08-10,55,154.11497497558594
2016-08-11,58,154.232177734375
2016-08-12,76,155.80096435546875
2016-08-16,76,157.59967041015625
2016-08-17,77,159.89419555664062
2016-08-18,78,160.82740783691406
2016-08-19,81,161.21505737304688
2016-08-22,53,159.38934326171875
2016-08-23,53,158.5418243408203
2016-08-24,62,158.6500244140625
2016-08-25,62,157.365234375
2016-08-26,64,158.32546997070312
2016-08-29,53,159.86717224121094
2016-08-30,60,160.58847045898438
2016-08-31,55,158.05946350097656
2016-09-01,54,159.8311004638672
2016-09-02,47,160.25038146972656
2016-09-06,50,167.927490234375
2016-09-07,55,166.9357147216797
2016-09-08,57,166.6877899169922
2016-09-09,40,164.43377685546875
2016-09-12,25,157.3336639404297
2016-09-14,26,157.81153869628906
2016-09-15,29,158.11805725097656
2016-09-16,30,155.5755615234375
2016-09-19,38,159.57415771484375
2016-09-20,36,158.84835815429688
2016-09-21,36,158.07298278808594
2016-09-22,32,158.92501831054688
2016-09-23,31,158.34799194335938
2016-09-26,32,158.41561889648438
2016-09-27,29,158.71315002441406
2016-09-28,46,160.1016082763672
2016-09-29,46,151.32000732421875
2016-09-30,54,155.91818237304688
2016-10-03,50,159.3487548828125
2016-10-04,51,160.80935668945312
2016-10-05,54,161.17901611328125
2016-10-06,57,158.91148376464844
2016-10-07,51,159.77255249023438
2016-10-10,50,163.61782836914062
2016-10-13,62,159.79052734375
2016-10-14,43,157.10377502441406
2016-10-17,37,155.05262756347656
2016-10-18,47,160.7191619873047
2016-10-19,49,157.68080139160156
2016-10-20,52,156.95501708984375
2016-10-21,45,156.4546356201172
2016-10-24,45,154.32687377929688
2016-10-25,42,154.11949157714844
2016-10-26,43,150.40940856933594
2016-10-27,41,147.58740234375
2016-10-28,32,149.56192016601562
2016-11-01,28,149.92701721191406
2016-11-02,5,147.3214111328125
2016-11-03,13,144.1793212890625
2016-11-04,20,143.47608947753906
2016-11-07,23,144.30105590820312
2016-11-08,38,149.38607788085938
2016-11-09,34,151.54542541503906
2016-11-10,61,158.35699462890625
2016-11-11,77,155.1743621826172
2016-11-15,87,152.7174835205078
2016-11-16,91,153.1186981201172
2016-11-17,91,149.17420959472656
2016-11-18,95,152.5146484375
2016-11-21,98,146.22145080566406
2016-11-22,99,147.79022216796875
2016-11-23,89,148.87669372558594
2016-11-24,75,145.5858612060547
2016-11-25,71,150.91429138183594
2016-11-28,64,155.2960662841797
2016-11-29,67,153.0420684814453
2016-11-30,61,155.88661193847656
2016-12-01,60,151.13970947265625
2016-12-02,55,149.36355590820312
2016-12-05,54,148.63323974609375
2016-12-06,53,148.22300720214844
2016-12-07,56,148.43490600585938
2016-12-08,54,149.3815460205078
2016-12-09,51,148.4439239501953
2016-12-12,42,146.2710418701172
2016-12-13,11,147.132080078125
2016-12-14,8,146.9742889404297
2016-12-15,0,147.01939392089844
2016-12-16,0,145.90586853027344
2016-12-19,4,144.16131591796875
2016-12-20,4,143.49864196777344
2016-12-21,10,143.01174926757812
2016-12-22,0,141.24462890625
2016-12-23,0,141.3753662109375
2016-12-26,0,138.18821716308594
2016-12-27,13,142.47080993652344
2016-12-28,21,142.9171142578125
2016-12-29,9,144.2334442138672
2016-12-30,48,146.73536682128906
2017-01-02,51,147.3484649658203
2017-01-03,63,148.27259826660156
2017-01-04,68,147.005859375
2017-01-05,71,158.3660125732422
2017-01-06,53,157.96029663085938
2017-01-09,55,158.7266387939453
2017-01-10,49,160.89048767089844
2017-01-11,45,168.68934631347656
2017-01-12,56,169.9515838623047
2017-01-13,63,170.3122100830078
2017-01-16,62,170.71795654296875
2017-01-17,65,168.32870483398438
2017-01-18,61,172.29574584960938
2017-01-19,52,173.69320678710938
2017-01-20,53,167.3820037841797
2017-01-23,55,175.04562377929688
2017-01-24,49,174.86529541015625
2017-01-25,49,176.84881591796875
2017-01-27,34,176.12753295898438
2017-01-30,49,177.16436767578125
2017-01-31,49,178.65199279785156
2017-02-01,44,177.88565063476562
2017-02-02,57,174.82022094726562
2017-02-03,68,172.7915802001953
2017-02-06,69,173.42274475097656
2017-02-07,76,170.40237426757812
2017-02-08,84,170.6728515625
2017-02-09,76,174.59481811523438
2017-02-10,74,174.2341766357422
2017-02-13,81,169.275390625
2017-02-14,87,163.95594787597656
2017-02-15,88,165.26324462890625
2017-02-16,100,169.00489807128906
2017-02-17,100,166.70579528808594
2017-02-20,100,169.77125549316406
2017-02-21,67,168.55409240722656
2017-02-22,60,166.7959747314453
2017-02-23,47,168.55409240722656
2017-02-27,44,167.06643676757812
2017-02-28,48,168.55409240722656
2017-03-01,45,171.12367248535156
2017-03-02,43,165.443603515625
2017-03-03,43,165.89437866210938
2017-03-06,31,166.6607208251953
2017-03-07,28,163.59527587890625
2017-03-08,26,160.52987670898438
2017-03-09,38,159.4479217529297
2017-03-10,39,158.90695190429688
2017-03-14,1,164.00100708007812
2017-03-15,0,165.443603515625
2017-03-16,6,173.51287841796875
2017-03-17,9,173.107177734375
2017-03-20,16,175.00051879882812
2017-03-21,26,173.46780395507812
2017-03-22,36,168.32870483398438
2017-03-23,36,168.4639434814453
2017-03-24,38,168.41885375976562
2017-03-27,68,161.7920684814453
2017-03-28,83,163.7305450439453
2017-03-29,90,165.308349609375
2017-03-30,87,167.15660095214844
2017-03-31,93,169.68109130859375
2017-04-03,90,170.3122100830078
2017-04-05,74,176.53326416015625
2017-04-06,56,183.74606323242188
2017-04-07,50,180.18475341796875
2017-04-10,41,183.65586853027344
2017-04-11,46,179.1929931640625
2017-04-12,46,177.11929321289062
2017-04-13,44,171.98016357421875
2017-04-17,46,175.04562377929688
2017-04-18,44,168.86964416503906
2017-04-19,52,170.76303100585938
2017-04-20,51,170.6728515625
2017-04-21,51,168.8245849609375
2017-04-24,42,173.55795288085938
2017-04-25,23,175.3611602783203
2017-04-26,9,179.23805236816406
2017-04-27,8,178.7872772216797
2017-04-28,9,179.4183807373047
2017-05-02,19,176.53326416015625
2017-05-03,33,174.3243408203125
2017-05-04,61,174.9554443359375
2017-05-05,100,171.12367248535156
2017-05-08,98,172.47605895996094
2017-05-09,91,173.51287841796875
2017-05-10,89,178.0659637451172
2017-05-11,98,175.3611602783203
2017-05-12,61,177.7504119873047
2017-05-15,42,181.85269165039062
2017-05-16,38,181.8076171875
2017-05-17,42,186.36068725585938
2017-05-18,44,172.56619262695312
2017-05-19,61,174.45957946777344
2017-05-22,67,173.24241638183594
2017-05-23,65,174.50465393066406
2017-05-24,70,170.94334411621094
2017-05-25,76,173.87353515625
2017-05-26,93,179.28314208984375
2017-05-29,50,176.53326416015625
2017-05-30,48,175.8119659423828
2017-05-31,45,174.775146484375
2017-06-01,33,176.21768188476562
2017-06-02,33,175.58657836914062
2017-06-05,37,171.75477600097656
2017-06-06,36,173.19735717773438
2017-06-07,35,176.17259216308594
2017-06-08,38,179.46347045898438
2017-06-09,31,182.12318420410156
2017-06-12,44,181.2570037841797
2017-06-13,49,180.29965209960938
2017-06-14,47,180.75552368164062
2017-06-15,49,179.47909545898438
2017-06-16,44,177.65557861328125
2017-06-19,29,181.6672821044922
2017-06-20,13,182.12318420410156
2017-06-21,14,182.4878692626953
2017-06-22,11,180.20846557617188
2017-06-23,20,178.4305877685547
2017-06-27,21,176.9261474609375
2017-06-28,29,180.1173095703125
2017-06-29,42,187.22900390625
2017-06-30,51,185.45106506347656
2017-07-03,56,186.9554901123047
2017-07-04,58,189.9642791748047
2017-07-05,69,193.5657196044922
2017-07-06,78,193.70248413085938
2017-07-07,73,197.03038024902344
2017-07-10,66,198.8083038330078
2017-07-11,55,194.75099182128906
2017-07-12,69,195.02452087402344
2017-07-13,69,194.6142120361328
2017-07-14,48,196.16421508789062
2017-07-17,46,198.8083038330078
2017-07-18,46,197.0759735107422
2017-07-19,45,200.26708984375
2017-07-20,59,195.6627655029297
2017-07-21,63,195.7995147705078
2017-07-24,57,194.88772583007812
2017-07-25,45,196.11862182617188
2017-07-26,47,199.8112335205078
2017-07-27,49,195.84510803222656
2017-07-28,43,196.7568817138672
2017-07-31,39,201.72592163085938
2017-08-01,52,203.45822143554688
2017-08-02,65,200.3582763671875
2017-08-03,63,203.64060974121094
2017-08-04,48,208.1082000732422
2017-08-07,62,208.83761596679688
2017-08-08,44,210.4788055419922
2017-08-09,38,210.1140594482422
2017-08-10,37,203.0935516357422
2017-08-11,42,203.77737426757812
2017-08-14,65,211.84640502929688
2017-08-16,68,216.76988220214844
2017-08-17,82,213.89788818359375
2017-08-18,88,216.1316680908203
2017-08-21,95,213.0772705078125
2017-08-22,83,211.481689453125
2017-08-23,82,218.59339904785156
2017-08-24,83,224.33746337890625
2017-08-28,73,222.92422485351562
2017-08-29,63,225.11244201660156
2017-08-30,64,236.1902618408203
2017-08-31,65,231.9506072998047
2017-09-01,64,234.00205993652344
2017-09-04,63,232.31532287597656
2017-09-05,69,233.63735961914062
2017-09-06,66,239.88290405273438
2017-09-07,69,240.79464721679688
2017-09-08,65,240.20201110839844
2017-09-11,58,242.43582153320312
2017-09-12,43,245.9005126953125
2017-09-13,19,240.8402099609375
2017-09-14,7,242.2534942626953
2017-09-15,19,243.94021606445312
2017-09-18,26,239.38140869140625
2017-09-19,20,238.5608367919922
2017-09-20,0,236.28146362304688
2017-09-21,0,232.0417938232422
2017-09-22,23,225.15805053710938
2017-09-25,29,215.94932556152344
2017-09-26,10,220.96397399902344
2017-09-27,15,215.76693725585938
2017-09-28,15,217.8184051513672
2017-09-29,53,226.5256805419922
2017-10-03,47,227.89329528808594
2017-10-04,57,226.3433380126953
2017-10-05,58,227.07273864746094
2017-10-06,54,234.9594268798828
2017-10-09,31,234.6858673095703
2017-10-10,37,237.01087951660156
2017-10-11,23,233.81971740722656
2017-10-12,28,233.54617309570312
2017-10-13,21,231.63150024414062
2017-10-16,11,237.421142578125
2017-10-17,15,237.28439331054688
2017-10-18,23,235.91676330566406
2017-10-19,33,230.62855529785156
2017-10-23,10,237.421142578125
2017-10-24,14,236.55499267578125
2017-10-25,23,236.73731994628906
2017-10-26,86,237.01087951660156
2017-10-27,85,241.88873291015625
2017-10-30,88,240.5666961669922
2017-10-31,89,235.64324951171875
2017-11-01,89,241.3872833251953
2017-11-02,60,242.7093505859375
2017-11-03,50,243.0740509033203
2017-11-06,49,244.35049438476562
2017-11-07,55,240.74903869628906
2017-11-08,56,239.29025268554688
2017-11-09,63,240.7034454345703
2017-11-10,60,246.90338134765625
2017-11-13,54,240.5666961669922
2017-11-14,54,243.0284423828125
2017-11-15,56,232.90794372558594
2017-11-16,68,235.8255615234375
2017-11-17,63,243.0740509033203
2017-11-20,63,242.4813995361328
2017-11-21,63,245.12548828125
2017-11-22,38,244.85194396972656
2017-11-23,24,243.30198669433594
2017-11-24,23,241.79759216308594
2017-11-27,22,236.0535125732422
2017-11-28,21,233.09030151367188
2017-11-29,18,232.72560119628906
2017-11-30,27,232.36090087890625
2017-12-01,41,229.8079833984375
2017-12-04,45,229.62564086914062
2017-12-05,46,225.84182739257812
2017-12-06,47,220.78160095214844
2017-12-07,46,229.71682739257812
2017-12-08,45,230.17269897460938
2017-12-11,43,229.3065185546875
2017-12-12,42,227.89329528808594
2017-12-13,39,222.46835327148438
2017-12-14,13,221.0551300048828
2017-12-15,0,228.75946044921875
2017-12-18,0,231.54029846191406
2017-12-19,16,233.7741241455078
2017-12-20,23,238.9711456298828
2017-12-21,26,241.88873291015625
2017-12-22,20,241.15933227539062
2017-12-26,47,243.803466796875
2017-12-27,41,242.0255584716797
2017-12-28,40,247.35923767089844
2017-12-29,37,245.99163818359375
2018-01-01,32,242.34463500976562
2018-01-02,30,241.20489501953125
2018-01-03,36,244.98870849609375
2018-01-04,38,252.69302368164062
2018-01-05,52,259.9415283203125
2018-01-08,64,260.7620849609375
2018-01-09,72,258.9385681152344
2018-01-10,64,257.84442138671875
2018-01-11,66,257.61651611328125
2018-01-12,58,261.491455078125
2018-01-15,53,259.8503723144531
2018-01-16,39,256.38568115234375
2018-01-17,36,259.89593505859375
2018-01-18,53,255.10923767089844
2018-01-19,67,257.2062683105469
2018-01-22,65,254.06068420410156
2018-01-23,90,268.10174560546875
2018-01-24,100,263.17822265625
2018-01-25,83,265.13848876953125
2018-01-29,85,267.5546875
2018-01-30,84,263.5885009765625
2018-01-31,92,264.363525390625
2018-02-01,100,275.9428405761719
2018-02-02,67,272.6148986816406
2018-02-05,67,265.5487976074219
2018-02-06,69,258.2091979980469
2018-02-07,72,264.4091491699219
2018-02-08,73,277.3560485839844
2018-02-09,68,282.0516662597656
2018-02-12,56,283.32806396484375
2018-02-14,81,282.23394775390625
2018-02-15,86,280.6383361816406
2018-02-16,80,284.8324279785156
2018-02-19,78,275.9883728027344
2018-02-20,92,278.6325378417969
2018-02-21,87,271.9766540527344
2018-02-22,86,271.42962646484375
2018-02-23,69,279.8634033203125
2018-02-26,59,288.2059326171875
2018-02-27,44,290.0294494628906
2018-02-28,45,284.65008544921875
2018-03-01,52,278.54132080078125
2018-03-05,53,265.9135437011719
2018-03-06,53,267.6002197265625
2018-03-07,48,263.9532775878906
2018-03-08,51,263.7252502441406
2018-03-09,54,266.1870422363281
2018-03-12,58,271.5663757324219
2018-03-13,42,276.71783447265625
2018-03-14,44,273.93695068359375
2018-03-15,48,269.1046447753906
2018-03-16,39,264.63702392578125
2018-03-19,31,258.5738830566406
2018-03-20,51,260.3062438964844
2018-03-21,45,262.9502868652344
2018-03-22,44,260.7620849609375
2018-03-23,47,260.7620849609375
2018-03-26,49,267.9649658203125
2018-03-27,55,272.4781494140625
2018-03-28,55,262.72235107421875
2018-04-02,56,270.381103515625
2018-04-03,55,276.3074951171875
2018-04-04,51,269.742919921875
2018-04-05,45,281.18536376953125
2018-04-06,47,281.0030517578125
2018-04-09,48,282.09716796875
2018-04-10,54,283.8751220703125
2018-04-11,46,284.65008544921875
2018-04-12,26,281.0486145019531
2018-04-13,22,281.276611328125
2018-04-16,17,281.6412658691406
2018-04-17,2,281.8692321777344
2018-04-18,0,282.5986633300781
2018-04-19,9,294.3602600097656
2018-04-20,0,294.3602600097656
2018-04-23,0,293.4029541015625
2018-04-24,10,296.0926208496094
2018-04-25,12,293.31182861328125
2018-04-26,0,298.78228759765625
2018-04-27,9,298.6911315917969
2018-04-30,10,296.3205871582031
2018-05-02,41,287.3397521972656
2018-05-03,45,291.1235046386719
2018-05-04,29,289.3912353515625
2018-05-07,32,297.0499267578125
2018-05-08,10,295.4543762207031
2018-05-09,16,293.3573913574219
2018-05-10,23,291.3514709472656
2018-05-11,37,295.18084716796875
2018-05-14,44,300.0131530761719
2018-05-15,54,305.0278015136719
2018-05-16,46,306.8968811035156
2018-05-17,53,302.70281982421875
2018-05-18,57,291.26031494140625
2018-05-21,60,281.9604187011719
2018-05-22,69,290.3030090332031
2018-05-23,77,282.64422607421875
2018-05-24,100,286.4280090332031
2018-05-25,100,297.2779235839844
2018-05-28,100,298.2352600097656
2018-05-29,89,302.47491455078125
2018-05-30,100,303.20428466796875
2018-05-31,100,302.6116638183594
2018-06-01,100,302.6116638183594
2018-06-04,76,302.56610107421875
2018-06-05,68,300.05877685546875
2018-06-06,85,308.17333984375
2018-06-07,100,313.18804931640625
2018-06-08,100,312.9601135253906
2018-06-11,100,310.8630676269531
2018-06-12,82,311.2277526855469
2018-06-13,97,312.7321472167969
2018-06-14,76,309.1307067871094
2018-06-15,63,303.20428466796875
2018-06-18,56,298.28082275390625
2018-06-19,50,298.59991455078125
2018-06-20,41,305.5749206542969
2018-06-21,39,303.47784423828125
2018-06-22,47,307.216064453125
2018-06-25,52,302.79400634765625
2018-06-26,44,294.3602600097656
2018-06-27,49,290.2117919921875
2018-06-28,49,293.95001220703125
2018-06-29,43,297.9617004394531
2018-07-02,44,285.74420166015625
2018-07-03,52,284.1942443847656
2018-07-04,41,284.6044921875
2018-07-05,21,283.0545349121094
2018-07-06,4,284.2521667480469
2018-07-09,14,291.1874084472656
2018-07-10,19,295.51611328125
2018-07-11,27,291.69940185546875
2018-07-12,20,295.1902770996094
2018-07-13,6,294.3990173339844
2018-07-16,27,286.3931884765625
2018-07-17,39,286.1605224609375
2018-07-18,47,275.734375
2018-07-19,42,282.6230773925781
2018-07-20,42,283.13507080078125
2018-07-23,27,285.4623107910156
2018-07-24,44,296.2608642578125
2018-07-25,49,295.1902770996094
2018-07-26,57,290.721923828125
2018-07-27,70,300.9154052734375
2018-07-30,81,305.197509765625
2018-07-31,81,307.5713195800781
2018-08-01,85,304.91827392578125
2018-08-02,90,309.1073303222656
2018-08-03,93,313.99456787109375
2018-08-06,94,313.66876220703125
2018-08-07,62,316.9734802246094
2018-08-08,57,319.0680236816406
2018-08-09,53,319.2542419433594
2018-08-10,55,316.4149475097656
2018-08-13,57,318.462890625
2018-08-14,57,317.53204345703125
2018-08-16,54,305.476806640625
