date,recom,Price
2016-01-01,22,92.1197280883789
2016-01-04,32,93.70738220214844
2016-01-05,38,97.15177154541016
2016-01-06,48,94.91830444335938
2016-01-07,52,92.0614242553711
2016-01-08,58,93.38894653320312
2016-01-11,59,91.46044921875
2016-01-12,52,90.97159576416016
2016-01-13,43,90.0297622680664
2016-01-14,45,90.00733184814453
2016-01-15,36,87.2267074584961
2016-01-18,54,88.88611602783203
2016-01-19,56,89.56782531738281
2016-01-20,52,91.83716583251953
2016-01-21,50,91.97172546386719
2016-01-22,70,95.79732513427734
2016-01-25,63,99.31798553466797
2016-01-27,61,100.57374572753906
2016-01-28,47,97.9680404663086
2016-01-29,48,94.81515502929688
2016-02-01,51,94.23211669921875
2016-02-02,40,89.9938735961914
2016-02-03,41,87.31192016601562
2016-02-04,37,90.65765380859375
2016-02-05,37,93.02120971679688
2016-02-08,66,93.77913665771484
2016-02-09,66,89.6978759765625
2016-02-10,65,91.72056579589844
2016-02-11,64,89.8414077758789
2016-02-12,65,90.68006896972656
2016-02-15,37,93.411376953125
2016-02-16,38,92.720703125
2016-02-17,35,93.95853424072266
2016-02-18,36,94.79271697998047
2016-02-19,36,97.1876449584961
2016-02-22,35,98.90985107421875
2016-02-23,43,100.8204116821289
2016-02-24,48,99.51978302001953
2016-02-25,49,100.96842956542969
2016-02-26,53,98.58695220947266
2016-02-29,57,101.04017639160156
2016-03-01,54,102.5650405883789
2016-03-02,53,101.65011596679688
2016-03-03,53,104.03160095214844
2016-03-04,52,106.33235168457031
2016-03-08,5,106.40412139892578
2016-03-09,0,105.84797668457031
2016-03-10,3,106.37272644042969
2016-03-11,13,106.16192626953125
2016-03-14,41,105.92423248291016
2016-03-15,50,107.18898010253906
2016-03-16,47,107.64641571044922
2016-03-17,60,107.85273742675781
2016-03-18,69,108.79456329345703
2016-03-21,80,109.0681381225586
2016-03-22,81,110.34184265136719
2016-03-23,80,112.00574493408203
2016-03-28,86,110.05032348632812
2016-03-29,89,110.58402252197266
2016-03-30,65,114.06878662109375
2016-03-31,55,115.10479736328125
2016-04-01,65,113.25701904296875
2016-04-04,68,112.99690246582031
2016-04-05,62,112.96998596191406
2016-04-06,55,115.95246887207031
2016-04-07,68,114.57110595703125
2016-04-08,63,114.22127532958984
2016-04-11,52,116.58482360839844
2016-04-12,58,116.40093994140625
2016-04-13,49,117.82263946533203
2016-04-18,49,119.67941284179688
2016-04-20,0,122.13264465332031
2016-04-21,11,121.05626678466797
2016-04-22,0,120.49118041992188
2016-04-25,0,120.66158294677734
2016-04-26,0,122.70221710205078
2016-04-27,0,122.2223129272461
2016-04-28,11,122.74705505371094
2016-04-29,12,123.17313385009766
2016-05-02,12,122.41966247558594
2016-05-03,8,121.70207977294922
2016-05-04,4,118.5537109375
2016-05-05,9,118.3922348022461
2016-05-06,0,118.41016387939453
2016-05-09,20,118.95283508300781
2016-05-10,11,115.512939453125
2016-05-11,5,115.83135223388672
2016-05-12,31,115.05548095703125
2016-05-13,70,113.79969024658203
2016-05-16,75,116.21257019042969
2016-05-17,84,115.71025848388672
2016-05-18,90,117.44143676757812
2016-05-19,96,118.41915893554688
2016-05-20,95,117.05573272705078
2016-05-23,90,118.27112579345703
