date,recom,Price
2016-01-01,51,87.99592590332031
2016-01-04,41,89.51251220703125
2016-01-05,49,92.80271911621094
2016-01-06,52,90.66923522949219
2016-01-07,64,87.94022369384766
2016-01-08,48,89.20832824707031
2016-01-11,42,87.36615753173828
2016-01-12,47,86.89918518066406
2016-01-13,64,85.9995346069336
2016-01-14,62,85.97810363769531
2016-01-15,72,83.32194519042969
2016-01-18,88,84.9070816040039
2016-01-19,84,85.55827331542969
2016-01-20,84,87.72603607177734
2016-01-21,77,87.85456085205078
2016-01-22,93,91.50891876220703
2016-01-25,67,94.8719482421875
2016-01-27,54,96.07150268554688
2016-01-28,51,93.58242797851562
2016-01-29,69,90.57069396972656
2016-02-01,71,90.01375579833984
2016-02-02,65,85.96525573730469
2016-02-03,60,83.4033432006836
2016-02-04,51,86.59930419921875
2016-02-05,64,88.85704803466797
2016-02-08,60,89.58106231689453
2016-02-09,55,85.6824951171875
2016-02-10,55,87.61463165283203
2016-02-11,51,85.8196029663086
2016-02-12,45,86.62073516845703
2016-02-15,43,89.22975158691406
2016-02-16,48,88.56999206542969
2016-02-17,45,89.75243377685547
2016-02-18,50,90.54927825927734
2016-02-19,56,92.83699798583984
2016-02-22,76,94.48210144042969
2016-02-23,81,96.30714416503906
2016-02-24,65,95.06473541259766
2016-02-25,60,96.44851684570312
2016-02-26,62,94.17363739013672
2016-02-29,55,96.51705932617188
2016-03-01,92,97.97366333007812
2016-03-02,90,97.09969329833984
2016-03-03,86,99.37457275390625
2016-03-04,80,101.57232666015625
2016-03-08,83,101.64087677001953
2016-03-09,45,101.10963439941406
2016-03-10,50,101.61087799072266
2016-03-11,53,101.4095230102539
2016-03-14,49,101.18246459960938
2016-03-15,48,102.39058685302734
2016-03-16,42,102.82758331298828
2016-03-17,38,103.02465057373047
2016-03-18,42,103.92430114746094
2016-03-21,46,104.1856460571289
2016-03-22,51,105.40232849121094
2016-03-23,49,106.99174499511719
2016-03-28,51,105.12386322021484
2016-03-29,17,105.63367462158203
2016-03-30,19,108.96244049072266
2016-03-31,21,109.95206451416016
2016-04-01,22,108.18701171875
2016-04-04,30,107.93852996826172
2016-04-05,52,107.91282653808594
2016-04-06,51,110.76177978515625
2016-04-07,48,109.44226837158203
2016-04-08,39,109.10808563232422
2016-04-11,36,111.36585235595703
2016-04-12,39,111.19019317626953
2016-04-13,40,112.54824829101562
2016-04-18,17,114.32188415527344
2016-04-20,12,116.66529846191406
2016-04-21,38,115.63712310791016
2016-04-22,50,115.09729766845703
2016-04-25,25,115.2601318359375
2016-04-26,38,117.20938873291016
2016-04-27,19,116.75096893310547
2016-04-28,5,117.25223541259766
2016-04-29,6,117.65921783447266
2016-05-02,6,116.93946075439453
2016-05-03,0,116.25402069091797
2016-05-04,0,113.24655151367188
2016-05-05,34,113.09233856201172
2016-05-06,28,113.10945892333984
2016-05-09,10,113.62785339355469
2016-05-10,13,110.34192657470703
2016-05-11,19,110.64610290527344
2016-05-12,49,109.90495300292969
2016-05-13,39,108.70539093017578
2016-05-16,19,111.01024627685547
2016-05-17,22,110.53042602539062
2016-05-18,11,112.18409729003906
2016-05-19,39,113.1180419921875
2016-05-20,43,111.815673828125
2016-05-23,43,112.97666931152344
2016-05-24,58,113.11375427246094
2016-05-25,55,111.41725158691406
2016-05-26,55,113.01094055175781
2016-05-27,54,117.86913299560547
2016-05-30,95,117.55211639404297
2016-05-31,94,119.02584838867188
2016-06-01,93,117.79630279541016
2016-06-02,94,118.18186950683594
2016-06-03,96,117.40644073486328
2016-06-06,78,117.33790588378906
2016-06-07,70,117.99764251708984
2016-06-08,59,119.53565216064453
2016-06-09,57,121.36499786376953
2016-06-10,57,121.55775451660156
2016-06-13,57,119.9769058227539
2016-06-14,57,120.48246002197266
2016-06-15,56,119.9683609008789
2016-06-16,53,120.57670593261719
2016-06-17,51,119.53138732910156
2016-06-20,51,120.14828491210938
2016-06-21,48,120.0154800415039
2016-06-22,47,119.2100601196289
2016-06-23,49,120.07115936279297
2016-06-24,47,118.51602935791016
2016-06-27,0,118.75595092773438
2016-06-28,4,122.22610473632812
2016-06-29,13,123.77693939208984
2016-06-30,13,125.46920776367188
2016-07-01,27,125.37920379638672
2016-07-04,42,126.91220092773438
2016-07-05,43,127.57105255126953
2016-07-07,62,126.02080535888672
2016-07-08,69,127.20074462890625
2016-07-11,80,129.93948364257812
2016-07-12,89,132.74281311035156
2016-07-13,90,134.09063720703125
2016-07-14,90,135.65809631347656
2016-07-15,87,140.9030303955078
2016-07-18,87,138.31932067871094
2016-07-19,70,140.22695922851562
2016-07-20,59,139.47767639160156
2016-07-21,55,138.85328674316406
2016-07-22,60,138.91787719726562
2016-07-25,61,140.24850463867188
2016-07-26,60,142.90969848632812
2016-07-27,57,149.7953643798828
2016-07-28,54,145.06283569335938
2016-07-29,52,144.27479553222656
2016-08-01,53,145.51927185058594
2016-08-02,52,144.2489776611328
2016-08-03,46,145.20494079589844
2016-08-04,36,147.2633056640625
2016-08-05,21,149.6575469970703
2016-08-08,4,148.83074951171875
2016-08-09,34,147.280517578125
2016-08-10,41,147.21591186523438
2016-08-11,40,147.327880859375
2016-08-12,49,148.82644653320312
2016-08-16,76,150.5446319580078
2016-08-17,81,152.73648071289062
2016-08-18,61,153.6278533935547
2016-08-19,51,153.99818420410156
2016-08-22,48,152.25418090820312
2016-08-23,54,151.44461059570312
2016-08-24,55,151.54795837402344
2016-08-25,56,150.3206787109375
2016-08-26,55,151.2379150390625
2016-08-29,55,152.71067810058594
2016-08-30,63,153.3996124267578
2016-08-31,61,150.9838409423828
2016-09-01,68,152.67617797851562
2016-09-02,63,153.07667541503906
2016-09-06,59,160.4101104736328
2016-09-07,53,159.46275329589844
2016-09-08,39,159.2259063720703
2016-09-09,23,157.07281494140625
2016-09-12,26,150.29054260253906
2016-09-14,28,150.7470245361328
2016-09-15,32,151.03982543945312
2016-09-16,40,148.61114501953125
2016-09-19,69,152.43077087402344
2016-09-20,66,151.73744201660156
2016-09-21,57,150.9967498779297
2016-09-22,50,151.81065368652344
2016-09-23,47,151.25946044921875
2016-09-26,38,151.32403564453125
2016-09-27,45,151.60826110839844
2016-09-28,40,152.9345245361328
2016-09-29,27,144.5460968017578
2016-09-30,31,148.93838500976562
2016-10-03,43,152.21542358398438
2016-10-04,31,153.61062622070312
2016-10-05,30,153.96372985839844
2016-10-06,45,151.7977294921875
2016-10-07,52,152.62020874023438
2016-10-10,48,156.2934112548828
2016-10-13,47,152.63743591308594
2016-10-14,33,150.07095336914062
2016-10-17,30,148.11163330078125
2016-10-18,6,153.52450561523438
2016-10-19,3,150.6221160888672
2016-10-20,4,149.92886352539062
2016-10-21,17,149.4508514404297
2016-10-24,45,147.41830444335938
2016-10-25,21,147.22023010253906
2016-10-26,6,143.6762237548828
2016-10-27,9,140.9805450439453
2016-10-28,30,142.8666534423828
2016-11-01,36,143.21546936035156
2016-11-02,32,140.72650146484375
2016-11-03,21,137.72506713867188
2016-11-04,47,137.05332946777344
2016-11-07,43,137.84133911132812
2016-11-08,26,142.69871520996094
2016-11-09,6,144.76138305664062
2016-11-10,23,151.26806640625
2016-11-11,45,148.22787475585938
2016-11-15,62,145.88101196289062
2016-11-16,82,146.26426696777344
2016-11-17,82,142.49632263183594
2016-11-18,98,145.68722534179688
2016-11-21,92,139.67578125
2016-11-22,92,141.17433166503906
2016-11-23,92,142.21214294433594
2016-11-24,97,139.068603515625
2016-11-25,74,144.1585235595703
2016-11-28,54,148.34413146972656
2016-11-29,67,146.19105529785156
2016-11-30,71,148.90826416015625
2016-12-01,90,144.3738250732422
2016-12-02,85,142.6771697998047
2016-12-05,86,141.97959899902344
2016-12-06,84,141.5877227783203
2016-12-07,90,141.7901153564453
2016-12-08,59,142.69439697265625
2016-12-09,56,141.79872131347656
2016-12-12,47,139.72314453125
2016-12-13,42,140.5456085205078
2016-12-14,41,140.3948974609375
2016-12-15,39,140.43798828125
2016-12-16,41,139.37432861328125
2016-12-19,41,137.7078399658203
2016-12-20,41,137.07481384277344
2016-12-21,44,136.6097412109375
2016-12-22,44,134.92173767089844
2016-12-23,44,135.04661560058594
2016-12-26,45,132.0021514892578
2016-12-27,43,136.09303283691406
2016-12-28,43,136.5193328857422
2016-12-29,5,137.7767791748047
2016-12-30,3,140.16668701171875
2017-01-02,9,140.75234985351562
2017-01-03,12,141.6350860595703
2017-01-04,19,140.42507934570312
2017-01-05,45,151.27664184570312
2017-01-06,27,150.8891143798828
2017-01-09,47,151.6211700439453
