date,recom,Price
2016-01-01,50,92.1197280883789
2016-01-04,39,93.70738220214844
2016-01-05,43,97.15177154541016
2016-01-06,51,94.91830444335938
2016-01-07,51,92.0614242553711
2016-01-08,40,93.38894653320312
2016-01-11,46,91.46044921875
2016-01-12,53,90.97159576416016
2016-01-13,55,90.0297622680664
2016-01-14,56,90.00733184814453
2016-01-15,53,87.2267074584961
2016-01-18,35,88.88611602783203
2016-01-19,37,89.56782531738281
2016-01-20,37,91.83716583251953
2016-01-21,41,91.97172546386719
2016-01-22,70,95.79732513427734
2016-01-25,75,99.31798553466797
2016-01-27,89,100.57374572753906
2016-01-28,96,97.9680404663086
2016-01-29,84,94.81515502929688
2016-02-01,83,94.23211669921875
2016-02-02,71,89.9938735961914
2016-02-03,76,87.31192016601562
2016-02-04,83,90.65765380859375
2016-02-05,66,93.02120971679688
2016-02-08,60,93.77913665771484
2016-02-09,54,89.6978759765625
2016-02-10,64,91.72056579589844
2016-02-11,69,89.8414077758789
2016-02-12,68,90.68006896972656
2016-02-15,66,93.411376953125
2016-02-16,80,92.720703125
2016-02-17,84,93.95853424072266
2016-02-18,77,94.79271697998047
2016-02-19,58,97.1876449584961
2016-02-22,40,98.90985107421875
2016-02-23,3,100.8204116821289
2016-02-24,3,99.51978302001953
2016-02-25,7,100.96842956542969
2016-02-26,54,98.58695220947266
2016-02-29,66,101.04017639160156
2016-03-01,73,102.5650405883789
2016-03-02,69,101.65011596679688
2016-03-03,70,104.03160095214844
2016-03-04,69,106.33235168457031
2016-03-08,54,106.40412139892578
2016-03-09,70,105.84797668457031
2016-03-10,78,106.37272644042969
2016-03-11,85,106.16192626953125
2016-03-14,83,105.92423248291016
2016-03-15,70,107.18898010253906
2016-03-16,76,107.64641571044922
2016-03-17,80,107.85273742675781
2016-03-18,75,108.79456329345703
2016-03-21,61,109.0681381225586
2016-03-22,52,110.34184265136719
2016-03-23,56,112.00574493408203
2016-03-28,42,110.05032348632812
2016-03-29,38,110.58402252197266
2016-03-30,23,114.06878662109375
2016-03-31,9,115.10479736328125
2016-04-01,46,113.25701904296875
2016-04-04,49,112.99690246582031
2016-04-05,35,112.96998596191406
2016-04-06,35,115.95246887207031
2016-04-07,32,114.57110595703125
2016-04-08,9,114.22127532958984
2016-04-11,11,116.58482360839844
2016-04-12,18,116.40093994140625
2016-04-13,33,117.82263946533203
2016-04-18,66,119.67941284179688
2016-04-20,88,122.13264465332031
2016-04-21,99,121.05626678466797
2016-04-22,100,120.49118041992188
2016-04-25,94,120.66158294677734
2016-04-26,64,122.70221710205078
2016-04-27,49,122.2223129272461
2016-04-28,41,122.74705505371094
2016-04-29,47,123.17313385009766
2016-05-02,53,122.41966247558594
2016-05-03,50,121.70207977294922
2016-05-04,56,118.5537109375
2016-05-05,58,118.3922348022461
2016-05-06,55,118.41016387939453
2016-05-09,56,118.95283508300781
2016-05-10,51,115.512939453125
2016-05-11,50,115.83135223388672
2016-05-12,20,115.05548095703125
2016-05-13,0,113.79969024658203
2016-05-16,14,116.21257019042969
2016-05-17,21,115.71025848388672
2016-05-18,16,117.44143676757812
2016-05-19,15,118.41915893554688
2016-05-20,14,117.05573272705078
2016-05-23,16,118.27112579345703
2016-05-24,0,118.41466522216797
2016-05-25,0,116.6386489868164
2016-05-26,32,118.30702209472656
2016-05-27,42,123.39289855957031
2016-05-30,37,123.06098937988281
2016-05-31,76,124.60382080078125
2016-06-01,80,123.316650390625
2016-06-02,72,123.72028350830078
2016-06-03,83,122.90851593017578
2016-06-06,88,122.8367691040039
2016-06-07,75,123.52743530273438
2016-06-08,67,125.13750457763672
2016-06-09,61,127.05255889892578
2016-06-10,52,127.2543716430664
2016-06-13,49,125.59942626953125
2016-06-14,43,126.12865447998047
2016-06-15,45,125.59048461914062
2016-06-16,47,126.22732543945312
2016-06-17,48,125.13302612304688
2016-06-20,48,125.77886199951172
2016-06-21,49,125.63981628417969
2016-06-22,48,124.79664611816406
2016-06-23,49,125.6981201171875
2016-06-24,47,124.07010650634766
2016-06-27,46,124.32125854492188
2016-06-28,12,127.95404052734375
2016-06-29,5,129.5775604248047
2016-06-30,0,131.3490753173828
2016-07-01,5,131.25489807128906
2016-07-04,4,132.85977172851562
2016-07-05,9,133.54946899414062
2016-07-07,15,131.92660522460938
2016-07-08,39,133.16180419921875
2016-07-11,53,136.02890014648438
2016-07-12,82,138.96359252929688
2016-07-13,96,140.3745880126953
2016-07-14,92,142.0155029296875
2016-07-15,100,147.50624084472656
2016-07-18,77,144.8014373779297
2016-07-19,85,146.79852294921875
2016-07-20,76,146.0140838623047
2016-07-21,68,145.36045837402344
2016-07-22,90,145.42808532714844
2016-07-25,91,146.821044921875
2016-07-26,91,149.60696411132812
2016-07-27,76,156.81527709960938
2016-07-28,70,151.86099243164062
2016-07-29,41,151.03599548339844
2016-08-01,52,152.33880615234375
2016-08-02,43,151.00897216796875
2016-08-03,42,152.00973510742188
2016-08-04,33,154.16458129882812
2016-08-05,24,156.67103576660156
2016-08-08,13,155.80545043945312
2016-08-09,16,154.18260192871094
2016-08-10,4,154.11497497558594
2016-08-11,16,154.232177734375
2016-08-12,40,155.80096435546875
2016-08-16,48,157.59967041015625
2016-08-17,60,159.89419555664062
2016-08-18,80,160.82740783691406
2016-08-19,66,161.21505737304688
2016-08-22,76,159.38934326171875
2016-08-23,82,158.5418243408203
2016-08-24,84,158.6500244140625
2016-08-25,93,157.365234375
2016-08-26,100,158.32546997070312
2016-08-29,84,159.86717224121094
2016-08-30,60,160.58847045898438
2016-08-31,58,158.05946350097656
2016-09-01,53,159.8311004638672
2016-09-02,54,160.25038146972656
2016-09-06,54,167.927490234375
2016-09-07,56,166.9357147216797
2016-09-08,56,166.6877899169922
