date,recom,Price
2016-01-01,4,92.1197280883789
2016-01-04,1,93.70738220214844
2016-01-05,10,97.15177154541016
2016-01-06,3,94.91830444335938
2016-01-07,12,92.0614242553711
2016-01-08,16,93.38894653320312
2016-01-11,30,91.46044921875
2016-01-12,36,90.97159576416016
2016-01-13,47,90.0297622680664
2016-01-14,51,90.00733184814453
2016-01-15,55,87.2267074584961
2016-01-18,52,88.88611602783203
2016-01-19,50,89.56782531738281
2016-01-20,42,91.83716583251953
2016-01-21,43,91.97172546386719
2016-01-22,53,95.79732513427734
2016-01-25,72,99.31798553466797
2016-01-27,81,100.57374572753906
2016-01-28,89,97.9680404663086
2016-01-29,98,94.81515502929688
2016-02-01,97,94.23211669921875
2016-02-02,100,89.9938735961914
2016-02-03,93,87.31192016601562
2016-02-04,85,90.65765380859375
2016-02-05,72,93.02120971679688
2016-02-08,64,93.77913665771484
2016-02-09,63,89.6978759765625
2016-02-10,53,91.72056579589844
2016-02-11,54,89.8414077758789
2016-02-12,53,90.68006896972656
2016-02-15,60,93.411376953125
2016-02-16,58,92.720703125
2016-02-17,59,93.95853424072266
2016-02-18,59,94.79271697998047
2016-02-19,56,97.1876449584961
2016-02-22,47,98.90985107421875
2016-02-23,38,100.8204116821289
2016-02-24,8,99.51978302001953
2016-02-25,0,100.96842956542969
2016-02-26,22,98.58695220947266
2016-02-29,14,101.04017639160156
2016-03-01,26,102.5650405883789
2016-03-02,31,101.65011596679688
2016-03-03,46,104.03160095214844
2016-03-04,62,106.33235168457031
2016-03-08,74,106.40412139892578
2016-03-09,72,105.84797668457031
2016-03-10,75,106.37272644042969
2016-03-11,56,106.16192626953125
2016-03-14,42,105.92423248291016
2016-03-15,54,107.18898010253906
2016-03-16,57,107.64641571044922
2016-03-17,68,107.85273742675781
2016-03-18,66,108.79456329345703
2016-03-21,63,109.0681381225586
2016-03-22,70,110.34184265136719
2016-03-23,75,112.00574493408203
2016-03-28,42,110.05032348632812
2016-03-29,48,110.58402252197266
2016-03-30,38,114.06878662109375
2016-03-31,46,115.10479736328125
2016-04-01,33,113.25701904296875
2016-04-04,34,112.99690246582031
2016-04-05,22,112.96998596191406
2016-04-06,34,115.95246887207031
2016-04-07,36,114.57110595703125
2016-04-08,34,114.22127532958984
2016-04-11,28,116.58482360839844
2016-04-12,30,116.40093994140625
2016-04-13,20,117.82263946533203
2016-04-18,28,119.67941284179688
2016-04-20,38,122.13264465332031
2016-04-21,65,121.05626678466797
2016-04-22,69,120.49118041992188
2016-04-25,77,120.66158294677734
2016-04-26,59,122.70221710205078
2016-04-27,38,122.2223129272461
2016-04-28,40,122.74705505371094
