date,recom,Price
2016-01-01,35,92.1197280883789
2016-01-04,37,93.70738220214844
2016-01-05,35,97.15177154541016
2016-01-06,26,94.91830444335938
2016-01-07,31,92.0614242553711
2016-01-08,36,93.38894653320312
2016-01-11,30,91.46044921875
2016-01-12,21,90.97159576416016
2016-01-13,20,90.0297622680664
2016-01-14,52,90.00733184814453
2016-01-15,54,87.2267074584961
2016-01-18,48,88.88611602783203
2016-01-19,42,89.56782531738281
2016-01-20,40,91.83716583251953
2016-01-21,53,91.97172546386719
2016-01-22,58,95.79732513427734
2016-01-25,60,99.31798553466797
2016-01-27,40,100.57374572753906
2016-01-28,35,97.9680404663086
2016-01-29,42,94.81515502929688
2016-02-01,47,94.23211669921875
2016-02-02,69,89.9938735961914
2016-02-03,76,87.31192016601562
2016-02-04,78,90.65765380859375
2016-02-05,87,93.02120971679688
2016-02-08,66,93.77913665771484
2016-02-09,55,89.6978759765625
2016-02-10,64,91.72056579589844
2016-02-11,72,89.8414077758789
2016-02-12,89,90.68006896972656
2016-02-15,80,93.411376953125
2016-02-16,76,92.720703125
2016-02-17,82,93.95853424072266
2016-02-18,90,94.79271697998047
2016-02-19,86,97.1876449584961
2016-02-22,71,98.90985107421875
2016-02-23,82,100.8204116821289
2016-02-24,88,99.51978302001953
2016-02-25,55,100.96842956542969
2016-02-26,39,98.58695220947266
2016-02-29,37,101.04017639160156
2016-03-01,18,102.5650405883789
2016-03-02,20,101.65011596679688
2016-03-03,9,104.03160095214844
2016-03-04,46,106.33235168457031
2016-03-08,63,106.40412139892578
2016-03-09,50,105.84797668457031
2016-03-10,42,106.37272644042969
2016-03-11,24,106.16192626953125
2016-03-14,24,105.92423248291016
2016-03-15,24,107.18898010253906
2016-03-16,30,107.64641571044922
2016-03-17,26,107.85273742675781
2016-03-18,17,108.79456329345703
2016-03-21,25,109.0681381225586
2016-03-22,28,110.34184265136719
2016-03-23,43,112.00574493408203
2016-03-28,63,110.05032348632812
2016-03-29,68,110.58402252197266
2016-03-30,66,114.06878662109375
2016-03-31,66,115.10479736328125
2016-04-01,55,113.25701904296875
2016-04-04,52,112.99690246582031
2016-04-05,46,112.96998596191406
2016-04-06,41,115.95246887207031
2016-04-07,42,114.57110595703125
2016-04-08,52,114.22127532958984
2016-04-11,56,116.58482360839844
2016-04-12,58,116.40093994140625
2016-04-13,51,117.82263946533203
2016-04-18,61,119.67941284179688
2016-04-20,45,122.13264465332031
2016-04-21,39,121.05626678466797
2016-04-22,43,120.49118041992188
2016-04-25,39,120.66158294677734
2016-04-26,28,122.70221710205078
2016-04-27,23,122.2223129272461
2016-04-28,19,122.74705505371094
2016-04-29,21,123.17313385009766
2016-05-02,25,122.41966247558594
2016-05-03,26,121.70207977294922
2016-05-04,46,118.5537109375
2016-05-05,51,118.3922348022461
2016-05-06,53,118.41016387939453
2016-05-09,47,118.95283508300781
2016-05-10,66,115.512939453125
2016-05-11,74,115.83135223388672
2016-05-12,68,115.05548095703125
2016-05-13,94,113.79969024658203
2016-05-16,90,116.21257019042969
2016-05-17,86,115.71025848388672
2016-05-18,86,117.44143676757812
2016-05-19,75,118.41915893554688
2016-05-20,47,117.05573272705078
2016-05-23,48,118.27112579345703
2016-05-24,46,118.41466522216797
2016-05-25,50,116.6386489868164
2016-05-26,51,118.30702209472656
2016-05-27,50,123.39289855957031
2016-05-30,48,123.06098937988281
2016-05-31,48,124.60382080078125
2016-06-01,50,123.316650390625
2016-06-02,50,123.72028350830078
2016-06-03,51,122.90851593017578
2016-06-06,53,122.8367691040039
2016-06-07,53,123.52743530273438
2016-06-08,52,125.13750457763672
2016-06-09,52,127.05255889892578
2016-06-10,33,127.2543716430664
2016-06-13,29,125.59942626953125
2016-06-14,26,126.12865447998047
2016-06-15,17,125.59048461914062
2016-06-16,19,126.22732543945312
2016-06-17,49,125.13302612304688
2016-06-20,71,125.77886199951172
2016-06-21,86,125.63981628417969
2016-06-22,100,124.79664611816406
2016-06-23,96,125.6981201171875
2016-06-24,74,124.07010650634766
2016-06-27,50,124.32125854492188
2016-06-28,54,127.95404052734375
2016-06-29,53,129.5775604248047
