date,recom,Price
2016-01-01,20,92.1197280883789
2016-01-04,30,93.70738220214844
2016-01-05,44,97.15177154541016
2016-01-06,54,94.91830444335938
2016-01-07,58,92.0614242553711
2016-01-08,67,93.38894653320312
2016-01-11,59,91.46044921875
2016-01-12,41,90.97159576416016
2016-01-13,38,90.0297622680664
2016-01-14,39,90.00733184814453
2016-01-15,40,87.2267074584961
2016-01-18,28,88.88611602783203
2016-01-19,35,89.56782531738281
2016-01-20,46,91.83716583251953
2016-01-21,49,91.97172546386719
2016-01-22,60,95.79732513427734
2016-01-25,80,99.31798553466797
2016-01-27,67,100.57374572753906
2016-01-28,53,97.9680404663086
2016-01-29,44,94.81515502929688
2016-02-01,49,94.23211669921875
2016-02-02,26,89.9938735961914
2016-02-03,31,87.31192016601562
2016-02-04,41,90.65765380859375
2016-02-05,41,93.02120971679688
2016-02-08,64,93.77913665771484
2016-02-09,82,89.6978759765625
2016-02-10,95,91.72056579589844
2016-02-11,88,89.8414077758789
2016-02-12,87,90.68006896972656
2016-02-15,76,93.411376953125
2016-02-16,64,92.720703125
2016-02-17,75,93.95853424072266
2016-02-18,89,94.79271697998047
2016-02-19,73,97.1876449584961
2016-02-22,71,98.90985107421875
2016-02-23,70,100.8204116821289
2016-02-24,59,99.51978302001953
2016-02-25,46,100.96842956542969
2016-02-26,46,98.58695220947266
2016-02-29,50,101.04017639160156
2016-03-01,52,102.5650405883789
2016-03-02,58,101.65011596679688
2016-03-03,55,104.03160095214844
2016-03-04,53,106.33235168457031
2016-03-08,18,106.40412139892578
2016-03-09,21,105.84797668457031
2016-03-10,38,106.37272644042969
2016-03-11,32,106.16192626953125
2016-03-14,46,105.92423248291016
2016-03-15,59,107.18898010253906
2016-03-16,58,107.64641571044922
2016-03-17,42,107.85273742675781
2016-03-18,49,108.79456329345703
2016-03-21,58,109.0681381225586
2016-03-22,60,110.34184265136719
2016-03-23,52,112.00574493408203
2016-03-28,47,110.05032348632812
2016-03-29,35,110.58402252197266
2016-03-30,32,114.06878662109375
2016-03-31,29,115.10479736328125
2016-04-01,53,113.25701904296875
2016-04-04,49,112.99690246582031
2016-04-05,51,112.96998596191406
2016-04-06,54,115.95246887207031
2016-04-07,52,114.57110595703125
2016-04-08,30,114.22127532958984
2016-04-11,25,116.58482360839844
2016-04-12,26,116.40093994140625
2016-04-13,26,117.82263946533203
2016-04-18,21,119.67941284179688
2016-04-20,46,122.13264465332031
2016-04-21,60,121.05626678466797
2016-04-22,63,120.49118041992188
2016-04-25,64,120.66158294677734
2016-04-26,52,122.70221710205078
2016-04-27,29,122.2223129272461
2016-04-28,25,122.74705505371094
2016-04-29,28,123.17313385009766
2016-05-02,29,122.41966247558594
2016-05-03,33,121.70207977294922
2016-05-04,41,118.5537109375
2016-05-05,37,118.3922348022461
2016-05-06,63,118.41016387939453
2016-05-09,78,118.95283508300781
2016-05-10,79,115.512939453125
2016-05-11,83,115.83135223388672
2016-05-12,72,115.05548095703125
2016-05-13,32,113.79969024658203
2016-05-16,97,116.21257019042969
2016-05-17,96,115.71025848388672
2016-05-18,96,117.44143676757812
2016-05-19,99,118.41915893554688
2016-05-20,99,117.05573272705078
2016-05-23,45,118.27112579345703
2016-05-24,45,118.41466522216797
2016-05-25,50,116.6386489868164
2016-05-26,50,118.30702209472656
2016-05-27,52,123.39289855957031
2016-05-30,51,123.06098937988281
2016-05-31,51,124.60382080078125
2016-06-01,52,123.316650390625
2016-06-02,52,123.72028350830078
2016-06-03,49,122.90851593017578
2016-06-06,48,122.8367691040039
2016-06-07,48,123.52743530273438
2016-06-08,48,125.13750457763672
2016-06-09,47,127.05255889892578
2016-06-10,49,127.2543716430664
2016-06-13,0,125.59942626953125
2016-06-14,1,126.12865447998047
2016-06-15,4,125.59048461914062
2016-06-16,7,126.22732543945312
2016-06-17,0,125.13302612304688
2016-06-20,1,125.77886199951172
2016-06-21,22,125.63981628417969
2016-06-22,34,124.79664611816406
2016-06-23,37,125.6981201171875
2016-06-24,0,124.07010650634766
2016-06-27,0,124.32125854492188
2016-06-28,12,127.95404052734375
2016-06-29,18,129.5775604248047
2016-06-30,21,131.3490753173828
2016-07-01,45,131.25489807128906
2016-07-04,46,132.85977172851562
2016-07-05,45,133.54946899414062
2016-07-07,64,131.92660522460938
2016-07-08,63,133.16180419921875
2016-07-11,57,136.02890014648438
2016-07-12,54,138.96359252929688
2016-07-13,53,140.3745880126953
2016-07-14,56,142.0155029296875
2016-07-15,48,147.50624084472656
2016-07-18,48,144.8014373779297
2016-07-19,45,146.79852294921875
2016-07-20,46,146.0140838623047
2016-07-21,56,145.36045837402344
2016-07-22,54,145.42808532714844
2016-07-25,43,146.821044921875
2016-07-26,42,149.60696411132812
2016-07-27,33,156.81527709960938
2016-07-28,35,151.86099243164062
2016-07-29,65,151.03599548339844
2016-08-01,76,152.33880615234375
2016-08-02,75,151.00897216796875
2016-08-03,87,152.00973510742188
2016-08-04,88,154.16458129882812
2016-08-05,84,156.67103576660156
2016-08-08,58,155.80545043945312
2016-08-09,53,154.18260192871094
2016-08-10,50,154.11497497558594
2016-08-11,53,154.232177734375
2016-08-12,54,155.80096435546875
2016-08-16,51,157.59967041015625
2016-08-17,52,159.89419555664062
2016-08-18,53,160.82740783691406
2016-08-19,54,161.21505737304688
2016-08-22,54,159.38934326171875
2016-08-23,52,158.5418243408203
2016-08-24,51,158.6500244140625
2016-08-25,51,157.365234375
2016-08-26,41,158.32546997070312
2016-08-29,0,159.86717224121094
2016-08-30,4,160.58847045898438
2016-08-31,15,158.05946350097656
2016-09-01,31,159.8311004638672
2016-09-02,34,160.25038146972656
2016-09-06,66,167.927490234375
2016-09-07,69,166.9357147216797
2016-09-08,73,166.6877899169922
2016-09-09,47,164.43377685546875
2016-09-12,54,157.3336639404297
2016-09-14,50,157.81153869628906
2016-09-15,60,158.11805725097656
2016-09-16,60,155.5755615234375
2016-09-19,73,159.57415771484375
2016-09-20,72,158.84835815429688
2016-09-21,67,158.07298278808594
2016-09-22,70,158.92501831054688
2016-09-23,66,158.34799194335938
2016-09-26,65,158.41561889648438
2016-09-27,77,158.71315002441406
2016-09-28,67,160.1016082763672
2016-09-29,44,151.32000732421875
2016-09-30,57,155.91818237304688
2016-10-03,68,159.3487548828125
2016-10-04,64,160.80935668945312
2016-10-05,72,161.17901611328125
2016-10-06,82,158.91148376464844
2016-10-07,54,159.77255249023438
2016-10-10,34,163.61782836914062
2016-10-13,30,159.79052734375
2016-10-14,36,157.10377502441406
2016-10-17,45,155.05262756347656
2016-10-18,41,160.7191619873047
2016-10-19,42,157.68080139160156
2016-10-20,27,156.95501708984375
2016-10-21,24,156.4546356201172
2016-10-24,26,154.32687377929688
2016-10-25,27,154.11949157714844
2016-10-26,28,150.40940856933594
2016-10-27,17,147.58740234375
2016-10-28,3,149.56192016601562
2016-11-01,37,149.92701721191406
2016-11-02,42,147.3214111328125
2016-11-03,41,144.1793212890625
2016-11-04,56,143.47608947753906
2016-11-07,71,144.30105590820312
2016-11-08,53,149.38607788085938
2016-11-09,40,151.54542541503906
2016-11-10,39,158.35699462890625
2016-11-11,49,155.1743621826172
2016-11-15,60,152.7174835205078
2016-11-16,70,153.1186981201172
2016-11-17,73,149.17420959472656
2016-11-18,79,152.5146484375
2016-11-21,87,146.22145080566406
2016-11-22,94,147.79022216796875
2016-11-23,78,148.87669372558594
2016-11-24,71,145.5858612060547
2016-11-25,72,150.91429138183594
2016-11-28,62,155.2960662841797
2016-11-29,64,153.0420684814453
2016-11-30,67,155.88661193847656
2016-12-01,70,151.13970947265625
2016-12-02,75,149.36355590820312
2016-12-05,84,148.63323974609375
2016-12-06,81,148.22300720214844
2016-12-07,100,148.43490600585938
2016-12-08,85,149.3815460205078
2016-12-09,79,148.4439239501953
2016-12-12,56,146.2710418701172
2016-12-13,46,147.132080078125
2016-12-14,35,146.9742889404297
2016-12-15,29,147.01939392089844
2016-12-16,32,145.90586853027344
2016-12-19,27,144.16131591796875
2016-12-20,27,143.49864196777344
2016-12-21,19,143.01174926757812
2016-12-22,34,141.24462890625
2016-12-23,34,141.3753662109375
2016-12-26,36,138.18821716308594
2016-12-27,32,142.47080993652344
2016-12-28,17,142.9171142578125
2016-12-29,20,144.2334442138672
