date,recom,Price
2016-01-01,34,92.1197280883789
2016-01-04,37,93.70738220214844
2016-01-05,40,97.15177154541016
2016-01-06,43,94.91830444335938
2016-01-07,43,92.0614242553711
2016-01-08,45,93.38894653320312
2016-01-11,20,91.46044921875
2016-01-12,31,90.97159576416016
2016-01-13,24,90.0297622680664
2016-01-14,27,90.00733184814453
2016-01-15,26,87.2267074584961
2016-01-18,28,88.88611602783203
2016-01-19,24,89.56782531738281
2016-01-20,37,91.83716583251953
2016-01-21,49,91.97172546386719
2016-01-22,70,95.79732513427734
2016-01-25,98,99.31798553466797
2016-01-27,98,100.57374572753906
2016-01-28,95,97.9680404663086
2016-01-29,95,94.81515502929688
2016-02-01,96,94.23211669921875
2016-02-02,99,89.9938735961914
2016-02-03,95,87.31192016601562
2016-02-04,99,90.65765380859375
2016-02-05,95,93.02120971679688
2016-02-08,64,93.77913665771484
2016-02-09,57,89.6978759765625
2016-02-10,47,91.72056579589844
2016-02-11,49,89.8414077758789
2016-02-12,48,90.68006896972656
2016-02-15,51,93.411376953125
2016-02-16,54,92.720703125
2016-02-17,51,93.95853424072266
2016-02-18,49,94.79271697998047
2016-02-19,50,97.1876449584961
2016-02-22,49,98.90985107421875
2016-02-23,42,100.8204116821289
2016-02-24,31,99.51978302001953
2016-02-25,2,100.96842956542969
2016-02-26,2,98.58695220947266
2016-02-29,6,101.04017639160156
2016-03-01,17,102.5650405883789
2016-03-02,24,101.65011596679688
2016-03-03,25,104.03160095214844
2016-03-04,24,106.33235168457031
2016-03-08,61,106.40412139892578
2016-03-09,79,105.84797668457031
2016-03-10,83,106.37272644042969
2016-03-11,83,106.16192626953125
2016-03-14,73,105.92423248291016
2016-03-15,84,107.18898010253906
2016-03-16,78,107.64641571044922
2016-03-17,91,107.85273742675781
2016-03-18,95,108.79456329345703
2016-03-21,91,109.0681381225586
2016-03-22,72,110.34184265136719
2016-03-23,94,112.00574493408203
2016-03-28,52,110.05032348632812
2016-03-29,75,110.58402252197266
2016-03-30,64,114.06878662109375
2016-03-31,62,115.10479736328125
2016-04-01,54,113.25701904296875
2016-04-04,64,112.99690246582031
2016-04-05,29,112.96998596191406
2016-04-06,68,115.95246887207031
2016-04-07,60,114.57110595703125
2016-04-08,43,114.22127532958984
2016-04-11,31,116.58482360839844
2016-04-12,29,116.40093994140625
2016-04-13,21,117.82263946533203
2016-04-18,19,119.67941284179688
2016-04-20,59,122.13264465332031
2016-04-21,65,121.05626678466797
2016-04-22,51,120.49118041992188
2016-04-25,63,120.66158294677734
2016-04-26,22,122.70221710205078
2016-04-27,14,122.2223129272461
2016-04-28,12,122.74705505371094
2016-04-29,22,123.17313385009766
2016-05-02,33,122.41966247558594
2016-05-03,51,121.70207977294922
2016-05-04,59,118.5537109375
2016-05-05,49,118.3922348022461
2016-05-06,45,118.41016387939453
2016-05-09,41,118.95283508300781
2016-05-10,55,115.512939453125
2016-05-11,70,115.83135223388672
2016-05-12,48,115.05548095703125
2016-05-13,54,113.79969024658203
2016-05-16,51,116.21257019042969
2016-05-17,12,115.71025848388672
2016-05-18,14,117.44143676757812
2016-05-19,33,118.41915893554688
2016-05-20,34,117.05573272705078
2016-05-23,37,118.27112579345703
2016-05-24,34,118.41466522216797
2016-05-25,40,116.6386489868164
2016-05-26,54,118.30702209472656
2016-05-27,53,123.39289855957031
2016-05-30,52,123.06098937988281
2016-05-31,54,124.60382080078125
2016-06-01,58,123.316650390625
2016-06-02,50,123.72028350830078
2016-06-03,62,122.90851593017578
2016-06-06,67,122.8367691040039
2016-06-07,68,123.52743530273438
2016-06-08,75,125.13750457763672
2016-06-09,72,127.05255889892578
2016-06-10,56,127.2543716430664
2016-06-13,47,125.59942626953125
2016-06-14,47,126.12865447998047
2016-06-15,48,125.59048461914062
2016-06-16,49,126.22732543945312
2016-06-17,55,125.13302612304688
2016-06-20,60,125.77886199951172
2016-06-21,58,125.63981628417969
2016-06-22,59,124.79664611816406
2016-06-23,52,125.6981201171875
