date,recom,Price
2016-01-01,54,92.1197280883789
2016-01-04,44,93.70738220214844
2016-01-05,49,97.15177154541016
2016-01-06,52,94.91830444335938
2016-01-07,58,92.0614242553711
2016-01-08,62,93.38894653320312
2016-01-11,55,91.46044921875
2016-01-12,50,90.97159576416016
2016-01-13,69,90.0297622680664
2016-01-14,77,90.00733184814453
2016-01-15,81,87.2267074584961
2016-01-18,74,88.88611602783203
2016-01-19,79,89.56782531738281
2016-01-20,78,91.83716583251953
2016-01-21,57,91.97172546386719
2016-01-22,52,95.79732513427734
2016-01-25,53,99.31798553466797
2016-01-27,54,100.57374572753906
2016-01-28,50,97.9680404663086
2016-01-29,53,94.81515502929688
2016-02-01,54,94.23211669921875
2016-02-02,53,89.9938735961914
2016-02-03,48,87.31192016601562
2016-02-04,49,90.65765380859375
2016-02-05,46,93.02120971679688
2016-02-08,47,93.77913665771484
2016-02-09,50,89.6978759765625
2016-02-10,28,91.72056579589844
2016-02-11,33,89.8414077758789
2016-02-12,54,90.68006896972656
2016-02-15,59,93.411376953125
2016-02-16,60,92.720703125
2016-02-17,69,93.95853424072266
2016-02-18,88,94.79271697998047
2016-02-19,69,97.1876449584961
2016-02-22,56,98.90985107421875
2016-02-23,47,100.8204116821289
2016-02-24,46,99.51978302001953
2016-02-25,47,100.96842956542969
2016-02-26,50,98.58695220947266
2016-02-29,51,101.04017639160156
2016-03-01,57,102.5650405883789
2016-03-02,55,101.65011596679688
2016-03-03,59,104.03160095214844
2016-03-04,64,106.33235168457031
2016-03-08,60,106.40412139892578
2016-03-09,55,105.84797668457031
2016-03-10,51,106.37272644042969
2016-03-11,29,106.16192626953125
2016-03-14,24,105.92423248291016
2016-03-15,26,107.18898010253906
2016-03-16,21,107.64641571044922
2016-03-17,23,107.85273742675781
2016-03-18,35,108.79456329345703
2016-03-21,48,109.0681381225586
2016-03-22,64,110.34184265136719
2016-03-23,68,112.00574493408203
2016-03-28,59,110.05032348632812
2016-03-29,71,110.58402252197266
2016-03-30,70,114.06878662109375
2016-03-31,67,115.10479736328125
2016-04-01,68,113.25701904296875
2016-04-04,70,112.99690246582031
2016-04-05,51,112.96998596191406
2016-04-06,52,115.95246887207031
2016-04-07,49,114.57110595703125
2016-04-08,37,114.22127532958984
2016-04-11,48,116.58482360839844
2016-04-12,48,116.40093994140625
2016-04-13,48,117.82263946533203
2016-04-18,49,119.67941284179688
2016-04-20,65,122.13264465332031
2016-04-21,57,121.05626678466797
2016-04-22,67,120.49118041992188
2016-04-25,70,120.66158294677734
2016-04-26,52,122.70221710205078
2016-04-27,54,122.2223129272461
2016-04-28,62,122.74705505371094
2016-04-29,55,123.17313385009766
2016-05-02,52,122.41966247558594
2016-05-03,70,121.70207977294922
2016-05-04,62,118.5537109375
2016-05-05,51,118.3922348022461
2016-05-06,59,118.41016387939453
2016-05-09,56,118.95283508300781
2016-05-10,64,115.512939453125
2016-05-11,71,115.83135223388672
2016-05-12,56,115.05548095703125
2016-05-13,46,113.79969024658203
2016-05-16,48,116.21257019042969
2016-05-17,19,115.71025848388672
2016-05-18,17,117.44143676757812
2016-05-19,28,118.41915893554688
2016-05-20,26,117.05573272705078
2016-05-23,24,118.27112579345703
2016-05-24,0,118.41466522216797
2016-05-25,0,116.6386489868164
2016-05-26,1,118.30702209472656
2016-05-27,15,123.39289855957031
2016-05-30,27,123.06098937988281
2016-05-31,14,124.60382080078125
2016-06-01,24,123.316650390625
2016-06-02,28,123.72028350830078
2016-06-03,42,122.90851593017578
2016-06-06,42,122.8367691040039
2016-06-07,21,123.52743530273438
2016-06-08,24,125.13750457763672
2016-06-09,15,127.05255889892578
2016-06-10,4,127.2543716430664
2016-06-13,22,125.59942626953125
2016-06-14,34,126.12865447998047
2016-06-15,28,125.59048461914062
2016-06-16,33,126.22732543945312
2016-06-17,36,125.13302612304688
2016-06-20,51,125.77886199951172
2016-06-21,43,125.63981628417969
2016-06-22,54,124.79664611816406
2016-06-23,56,125.6981201171875
2016-06-24,53,124.07010650634766
2016-06-27,47,124.32125854492188
2016-06-28,49,127.95404052734375
2016-06-29,51,129.5775604248047
2016-06-30,49,131.3490753173828
2016-07-01,54,131.25489807128906
2016-07-04,51,132.85977172851562
2016-07-05,55,133.54946899414062
2016-07-07,54,131.92660522460938
2016-07-08,76,133.16180419921875
2016-07-11,71,136.02890014648438
2016-07-12,85,138.96359252929688
2016-07-13,88,140.3745880126953
2016-07-14,88,142.0155029296875
2016-07-15,93,147.50624084472656
2016-07-18,86,144.8014373779297
2016-07-19,67,146.79852294921875
2016-07-20,64,146.0140838623047
2016-07-21,55,145.36045837402344
2016-07-22,57,145.42808532714844
2016-07-25,55,146.821044921875
2016-07-26,61,149.60696411132812
2016-07-27,59,156.81527709960938
2016-07-28,54,151.86099243164062
2016-07-29,56,151.03599548339844
2016-08-01,60,152.33880615234375
2016-08-02,69,151.00897216796875
2016-08-03,54,152.00973510742188
2016-08-04,48,154.16458129882812
2016-08-05,45,156.67103576660156
2016-08-08,0,155.80545043945312
2016-08-09,0,154.18260192871094
2016-08-10,0,154.11497497558594
2016-08-11,0,154.232177734375
2016-08-12,1,155.80096435546875
2016-08-16,19,157.59967041015625
2016-08-17,26,159.89419555664062
2016-08-18,24,160.82740783691406
2016-08-19,29,161.21505737304688
2016-08-22,10,159.38934326171875
2016-08-23,21,158.5418243408203
2016-08-24,21,158.6500244140625
2016-08-25,16,157.365234375
2016-08-26,18,158.32546997070312
2016-08-29,6,159.86717224121094
2016-08-30,15,160.58847045898438
2016-08-31,33,158.05946350097656
2016-09-01,62,159.8311004638672
2016-09-02,62,160.25038146972656
2016-09-06,72,167.927490234375
2016-09-07,76,166.9357147216797
2016-09-08,71,166.6877899169922
2016-09-09,52,164.43377685546875
2016-09-12,58,157.3336639404297
2016-09-14,49,157.81153869628906
2016-09-15,54,158.11805725097656
2016-09-16,56,155.5755615234375
2016-09-19,77,159.57415771484375
2016-09-20,77,158.84835815429688
2016-09-21,78,158.07298278808594
2016-09-22,82,158.92501831054688
2016-09-23,80,158.34799194335938
2016-09-26,68,158.41561889648438
2016-09-27,69,158.71315002441406
2016-09-28,56,160.1016082763672
2016-09-29,31,151.32000732421875
2016-09-30,41,155.91818237304688
2016-10-03,48,159.3487548828125
2016-10-04,37,160.80935668945312
2016-10-05,40,161.17901611328125
2016-10-06,52,158.91148376464844
2016-10-07,42,159.77255249023438
2016-10-10,32,163.61782836914062
2016-10-13,22,159.79052734375
2016-10-14,42,157.10377502441406
2016-10-17,59,155.05262756347656
2016-10-18,48,160.7191619873047
2016-10-19,47,157.68080139160156
2016-10-20,43,156.95501708984375
2016-10-21,32,156.4546356201172
2016-10-24,53,154.32687377929688
2016-10-25,57,154.11949157714844
