date,recom,Price
2016-01-01,45,92.1197280883789
2016-01-04,40,93.70738220214844
2016-01-05,0,97.15177154541016
2016-01-06,0,94.91830444335938
2016-01-07,10,92.0614242553711
2016-01-08,12,93.38894653320312
2016-01-11,21,91.46044921875
2016-01-12,39,90.97159576416016
2016-01-13,47,90.0297622680664
2016-01-14,44,90.00733184814453
2016-01-15,45,87.2267074584961
2016-01-18,40,88.88611602783203
2016-01-19,43,89.56782531738281
2016-01-20,46,91.83716583251953
2016-01-21,52,91.97172546386719
2016-01-22,64,95.79732513427734
2016-01-25,76,99.31798553466797
2016-01-27,100,100.57374572753906
2016-01-28,100,97.9680404663086
2016-01-29,83,94.81515502929688
2016-02-01,83,94.23211669921875
2016-02-02,83,89.9938735961914
2016-02-03,78,87.31192016601562
2016-02-04,68,90.65765380859375
2016-02-05,47,93.02120971679688
2016-02-08,34,93.77913665771484
2016-02-09,22,89.6978759765625
2016-02-10,29,91.72056579589844
2016-02-11,43,89.8414077758789
2016-02-12,56,90.68006896972656
2016-02-15,59,93.411376953125
2016-02-16,60,92.720703125
2016-02-17,63,93.95853424072266
2016-02-18,65,94.79271697998047
2016-02-19,60,97.1876449584961
2016-02-22,47,98.90985107421875
2016-02-23,50,100.8204116821289
2016-02-24,46,99.51978302001953
2016-02-25,43,100.96842956542969
2016-02-26,51,98.58695220947266
2016-02-29,61,101.04017639160156
2016-03-01,84,102.5650405883789
2016-03-02,88,101.65011596679688
2016-03-03,89,104.03160095214844
2016-03-04,100,106.33235168457031
2016-03-08,98,106.40412139892578
2016-03-09,66,105.84797668457031
2016-03-10,52,106.37272644042969
2016-03-11,49,106.16192626953125
2016-03-14,48,105.92423248291016
2016-03-15,54,107.18898010253906
2016-03-16,49,107.64641571044922
2016-03-17,45,107.85273742675781
2016-03-18,45,108.79456329345703
2016-03-21,46,109.0681381225586
2016-03-22,55,110.34184265136719
2016-03-23,51,112.00574493408203
2016-03-28,49,110.05032348632812
2016-03-29,45,110.58402252197266
2016-03-30,17,114.06878662109375
2016-03-31,15,115.10479736328125
2016-04-01,21,113.25701904296875
2016-04-04,23,112.99690246582031
2016-04-05,35,112.96998596191406
2016-04-06,53,115.95246887207031
2016-04-07,54,114.57110595703125
2016-04-08,43,114.22127532958984
2016-04-11,36,116.58482360839844
2016-04-12,42,116.40093994140625
2016-04-13,37,117.82263946533203
2016-04-18,51,119.67941284179688
2016-04-20,52,122.13264465332031
2016-04-21,45,121.05626678466797
2016-04-22,26,120.49118041992188
2016-04-25,33,120.66158294677734
2016-04-26,27,122.70221710205078
2016-04-27,4,122.2223129272461
2016-04-28,11,122.74705505371094
2016-04-29,26,123.17313385009766
2016-05-02,28,122.41966247558594
2016-05-03,32,121.70207977294922
2016-05-04,43,118.5537109375
2016-05-05,44,118.3922348022461
2016-05-06,27,118.41016387939453
