date,recom,Price
2016-01-01,38,87.99592590332031
2016-01-04,41,89.51251983642578
2016-01-05,49,92.80272674560547
2016-01-06,56,90.66923522949219
2016-01-07,62,87.94023132324219
2016-01-08,64,89.20834350585938
2016-01-11,61,87.36615753173828
2016-01-12,59,86.89920043945312
2016-01-13,61,85.99952697753906
2016-01-14,68,85.97811126708984
2016-01-15,73,83.32196044921875
2016-01-18,71,84.9070816040039
2016-01-19,74,85.55827331542969
2016-01-20,75,87.72603607177734
2016-01-21,82,87.85456848144531
2016-01-22,94,91.50891876220703
2016-01-25,100,94.87194061279297
2016-01-27,77,96.0715103149414
2016-01-28,64,93.58244323730469
2016-01-29,62,90.57068634033203
2016-02-01,66,90.01376342773438
2016-02-02,71,85.96526336669922
2016-02-03,82,83.4033432006836
2016-02-04,75,86.59930419921875
2016-02-05,68,88.85704803466797
2016-02-08,68,89.5810546875
2016-02-09,72,85.68251037597656
2016-02-10,69,87.6146469116211
2016-02-11,62,85.8196029663086
2016-02-12,69,86.6207275390625
2016-02-15,70,89.2297592163086
2016-02-16,75,88.57000732421875
2016-02-17,81,89.7524185180664
2016-02-18,74,90.54927825927734
2016-02-19,53,92.83698272705078
2016-02-22,50,94.48209381103516
2016-02-23,47,96.30714416503906
2016-02-24,45,95.06474304199219
2016-02-25,44,96.44851684570312
2016-02-26,48,94.17365264892578
2016-02-29,50,96.51705932617188
2016-03-01,59,97.9736557006836
2016-03-02,58,97.09969329833984
2016-03-03,61,99.37457275390625
2016-03-04,68,101.57232666015625
2016-03-08,70,101.64087677001953
2016-03-09,63,101.10963439941406
2016-03-10,59,101.61087799072266
2016-03-11,43,101.4095230102539
2016-03-14,38,101.18246459960938
2016-03-15,37,102.39059448242188
2016-03-16,28,102.82757568359375
2016-03-17,31,103.02462768554688
2016-03-18,36,103.92430877685547
2016-03-21,38,104.1856460571289
2016-03-22,48,105.40232849121094
2016-03-23,46,106.99173736572266
2016-03-28,43,105.12387084960938
2016-03-29,35,105.63367462158203
2016-03-30,16,108.96243286132812
2016-03-31,0,109.95207214355469
