date,recom,Price
2016-01-01,30,92.1197280883789
2016-01-04,25,93.70738220214844
2016-01-05,44,97.15177154541016
2016-01-06,51,94.91830444335938
2016-01-07,16,92.0614242553711
2016-01-08,55,93.38894653320312
2016-01-11,54,91.46044921875
2016-01-12,53,90.97159576416016
2016-01-13,57,90.0297622680664
2016-01-14,100,90.00733184814453
2016-01-15,92,87.2267074584961
2016-01-18,78,88.88611602783203
2016-01-19,84,89.56782531738281
2016-01-20,80,91.83716583251953
2016-01-21,58,91.97172546386719
2016-01-22,54,95.79732513427734
2016-01-25,46,99.31798553466797
2016-01-27,43,100.57374572753906
2016-01-28,44,97.9680404663086
2016-01-29,56,94.81515502929688
2016-02-01,53,94.23211669921875
2016-02-02,58,89.9938735961914
2016-02-03,51,87.31192016601562
2016-02-04,50,90.65765380859375
2016-02-05,36,93.02120971679688
2016-02-08,35,93.77913665771484
2016-02-09,31,89.6978759765625
2016-02-10,16,91.72056579589844
2016-02-11,9,89.8414077758789
2016-02-12,11,90.68006896972656
2016-02-15,25,93.411376953125
2016-02-16,37,92.720703125
2016-02-17,31,93.95853424072266
2016-02-18,39,94.79271697998047
2016-02-19,34,97.1876449584961
2016-02-22,47,98.90985107421875
2016-02-23,41,100.8204116821289
2016-02-24,33,99.51978302001953
2016-02-25,22,100.96842956542969
2016-02-26,32,98.58695220947266
2016-02-29,42,101.04017639160156
2016-03-01,46,102.5650405883789
2016-03-02,47,101.65011596679688
2016-03-03,47,104.03160095214844
2016-03-04,66,106.33235168457031
2016-03-08,66,106.40412139892578
2016-03-09,58,105.84797668457031
2016-03-10,56,106.37272644042969
2016-03-11,51,106.16192626953125
2016-03-14,34,105.92423248291016
2016-03-15,36,107.18898010253906
2016-03-16,38,107.64641571044922
2016-03-17,38,107.85273742675781
2016-03-18,45,108.79456329345703
2016-03-21,64,109.0681381225586
2016-03-22,79,110.34184265136719
2016-03-23,88,112.00574493408203
2016-03-28,75,110.05032348632812
2016-03-29,82,110.58402252197266
2016-03-30,80,114.06878662109375
2016-03-31,70,115.10479736328125
2016-04-01,84,113.25701904296875
2016-04-04,82,112.99690246582031
2016-04-05,91,112.96998596191406
2016-04-06,79,115.95246887207031
2016-04-07,75,114.57110595703125
2016-04-08,59,114.22127532958984
2016-04-11,53,116.58482360839844
2016-04-12,63,116.40093994140625
2016-04-13,55,117.82263946533203
2016-04-18,48,119.67941284179688
2016-04-20,78,122.13264465332031
2016-04-21,82,121.05626678466797
2016-04-22,85,120.49118041992188
2016-04-25,86,120.66158294677734
2016-04-26,89,122.70221710205078
2016-04-27,61,122.2223129272461
2016-04-28,41,122.74705505371094
2016-04-29,50,123.17313385009766
2016-05-02,54,122.41966247558594
2016-05-03,58,121.70207977294922
2016-05-04,66,118.5537109375
2016-05-05,70,118.3922348022461
2016-05-06,57,118.41016387939453
2016-05-09,52,118.95283508300781
2016-05-10,55,115.512939453125
2016-05-11,59,115.83135223388672
2016-05-12,50,115.05548095703125
2016-05-13,25,113.79969024658203
2016-05-16,21,116.21257019042969
2016-05-17,1,115.71025848388672
2016-05-18,7,117.44143676757812
2016-05-19,9,118.41915893554688
2016-05-20,0,117.05573272705078
2016-05-23,0,118.27112579345703
2016-05-24,10,118.41466522216797
2016-05-25,10,116.6386489868164
2016-05-26,21,118.30702209472656
2016-05-27,9,123.39289855957031
2016-05-30,18,123.06098937988281
2016-05-31,5,124.60382080078125
2016-06-01,37,123.316650390625
2016-06-02,40,123.72028350830078
2016-06-03,66,122.90851593017578
2016-06-06,80,122.8367691040039
2016-06-07,86,123.52743530273438
2016-06-08,56,125.13750457763672
2016-06-09,48,127.05255889892578
2016-06-10,46,127.2543716430664
2016-06-13,42,125.59942626953125
2016-06-14,43,126.12865447998047
2016-06-15,39,125.59048461914062
2016-06-16,42,126.22732543945312
2016-06-17,40,125.13302612304688
2016-06-20,48,125.77886199951172
2016-06-21,51,125.63981628417969
2016-06-22,53,124.79664611816406
2016-06-23,56,125.6981201171875
2016-06-24,52,124.07010650634766
2016-06-27,62,124.32125854492188
2016-06-28,70,127.95404052734375
2016-06-29,72,129.5775604248047
2016-06-30,73,131.3490753173828
2016-07-01,80,131.25489807128906
2016-07-04,77,132.85977172851562
2016-07-05,73,133.54946899414062
2016-07-07,71,131.92660522460938
2016-07-08,63,133.16180419921875
2016-07-11,57,136.02890014648438
2016-07-12,60,138.96359252929688
2016-07-13,62,140.3745880126953
2016-07-14,62,142.0155029296875
2016-07-15,56,147.50624084472656
2016-07-18,65,144.8014373779297
2016-07-19,69,146.79852294921875
2016-07-20,73,146.0140838623047
2016-07-21,72,145.36045837402344
2016-07-22,64,145.42808532714844
2016-07-25,50,146.821044921875
2016-07-26,44,149.60696411132812
2016-07-27,37,156.81527709960938
2016-07-28,34,151.86099243164062
2016-07-29,32,151.03599548339844
2016-08-01,30,152.33880615234375
2016-08-02,45,151.00897216796875
2016-08-03,57,152.00973510742188
2016-08-04,56,154.16458129882812
2016-08-05,56,156.67103576660156
2016-08-08,51,155.80545043945312
2016-08-09,47,154.18260192871094
2016-08-10,46,154.11497497558594
2016-08-11,48,154.232177734375
2016-08-12,51,155.80096435546875
2016-08-16,31,157.59967041015625
2016-08-17,36,159.89419555664062
2016-08-18,36,160.82740783691406
2016-08-19,13,161.21505737304688
2016-08-22,38,159.38934326171875
2016-08-23,51,158.5418243408203
2016-08-24,47,158.6500244140625
2016-08-25,48,157.365234375
2016-08-26,26,158.32546997070312
2016-08-29,3,159.86717224121094
2016-08-30,10,160.58847045898438
2016-08-31,21,158.05946350097656
2016-09-01,26,159.8311004638672
2016-09-02,10,160.25038146972656
2016-09-06,48,167.927490234375
2016-09-07,56,166.9357147216797
2016-09-08,70,166.6877899169922
2016-09-09,82,164.43377685546875
2016-09-12,78,157.3336639404297
2016-09-14,82,157.81153869628906
2016-09-15,85,158.11805725097656
2016-09-16,72,155.5755615234375
2016-09-19,52,159.57415771484375
2016-09-20,57,158.84835815429688
2016-09-21,66,158.07298278808594
2016-09-22,70,158.92501831054688
2016-09-23,70,158.34799194335938
2016-09-26,59,158.41561889648438
2016-09-27,54,158.71315002441406
2016-09-28,63,160.1016082763672
2016-09-29,58,151.32000732421875
2016-09-30,63,155.91818237304688
2016-10-03,54,159.3487548828125
2016-10-04,60,160.80935668945312
2016-10-05,51,161.17901611328125
2016-10-06,9,158.91148376464844
2016-10-07,8,159.77255249023438
2016-10-10,8,163.61782836914062
2016-10-13,0,159.79052734375
2016-10-14,56,157.10377502441406
2016-10-17,77,155.05262756347656
2016-10-18,73,160.7191619873047
2016-10-19,68,157.68080139160156
2016-10-20,65,156.95501708984375
2016-10-21,69,156.4546356201172
2016-10-24,59,154.32687377929688
2016-10-25,58,154.11949157714844
2016-10-26,49,150.40940856933594
2016-10-27,42,147.58740234375
2016-10-28,48,149.56192016601562
2016-11-01,58,149.92701721191406
2016-11-02,54,147.3214111328125
2016-11-03,51,144.1793212890625
2016-11-04,62,143.47608947753906
2016-11-07,64,144.30105590820312
2016-11-08,53,149.38607788085938
2016-11-09,40,151.54542541503906
2016-11-10,25,158.35699462890625
2016-11-11,34,155.1743621826172
2016-11-15,44,152.7174835205078
2016-11-16,55,153.1186981201172
2016-11-17,55,149.17420959472656
2016-11-18,60,152.5146484375
2016-11-21,98,146.22145080566406
2016-11-22,100,147.79022216796875
2016-11-23,66,148.87669372558594
2016-11-24,60,145.5858612060547
2016-11-25,58,150.91429138183594
2016-11-28,57,155.2960662841797
2016-11-29,59,153.0420684814453
2016-11-30,57,155.88661193847656
2016-12-01,63,151.13970947265625
2016-12-02,62,149.36355590820312
2016-12-05,51,148.63323974609375
2016-12-06,54,148.22300720214844
2016-12-07,60,148.43490600585938
2016-12-08,50,149.3815460205078
2016-12-09,52,148.4439239501953
2016-12-12,40,146.2710418701172
2016-12-13,2,147.132080078125
2016-12-14,30,146.9742889404297
2016-12-15,21,147.01939392089844
2016-12-16,16,145.90586853027344
2016-12-19,25,144.16131591796875
2016-12-20,21,143.49864196777344
2016-12-21,58,143.01174926757812
2016-12-22,63,141.24462890625
2016-12-23,56,141.3753662109375
2016-12-26,29,138.18821716308594
2016-12-27,28,142.47080993652344
2016-12-28,23,142.9171142578125
2016-12-29,24,144.2334442138672
2016-12-30,1,146.73536682128906
2017-01-02,26,147.3484649658203
2017-01-03,26,148.27259826660156
2017-01-04,27,147.005859375
2017-01-05,40,158.3660125732422
2017-01-06,15,157.96029663085938
2017-01-09,38,158.7266387939453
2017-01-10,51,160.89048767089844
2017-01-11,48,168.68934631347656
2017-01-12,52,169.9515838623047
2017-01-13,48,170.3122100830078
2017-01-16,70,170.71795654296875
2017-01-17,73,168.32870483398438
2017-01-18,72,172.29574584960938
2017-01-19,72,173.69320678710938
2017-01-20,81,167.3820037841797
2017-01-23,63,175.04562377929688
2017-01-24,59,174.86529541015625
2017-01-25,60,176.84881591796875
2017-01-27,58,176.12753295898438
2017-01-30,71,177.16436767578125
2017-01-31,68,178.65199279785156
2017-02-01,68,177.88565063476562
2017-02-02,71,174.82022094726562
2017-02-03,67,172.7915802001953
2017-02-06,78,173.42274475097656
2017-02-07,72,170.40237426757812
2017-02-08,66,170.6728515625
2017-02-09,58,174.59481811523438
2017-02-10,49,174.2341766357422
2017-02-13,44,169.275390625
2017-02-14,45,163.95594787597656
2017-02-15,43,165.26324462890625
2017-02-16,43,169.00489807128906
2017-02-17,40,166.70579528808594
2017-02-20,53,169.77125549316406
2017-02-21,59,168.55409240722656
2017-02-22,100,166.7959747314453
2017-02-23,67,168.55409240722656
2017-02-27,76,167.06643676757812
2017-02-28,100,168.55409240722656
2017-03-01,47,171.12367248535156
2017-03-02,32,165.443603515625
2017-03-03,31,165.89437866210938
2017-03-06,31,166.6607208251953
2017-03-07,29,163.59527587890625
2017-03-08,16,160.52987670898438
2017-03-09,29,159.4479217529297
2017-03-10,34,158.90695190429688
2017-03-14,31,164.00100708007812
2017-03-15,26,165.443603515625
2017-03-16,32,173.51287841796875
2017-03-17,32,173.107177734375
2017-03-20,50,175.00051879882812
2017-03-21,51,173.46780395507812
2017-03-22,42,168.32870483398438
2017-03-23,30,168.4639434814453
2017-03-24,38,168.41885375976562
2017-03-27,42,161.7920684814453
2017-03-28,42,163.7305450439453
2017-03-29,45,165.308349609375
2017-03-30,54,167.15660095214844
2017-03-31,66,169.68109130859375
2017-04-03,58,170.3122100830078
2017-04-05,57,176.53326416015625
2017-04-06,70,183.74606323242188
2017-04-07,68,180.18475341796875
2017-04-10,62,183.65586853027344
2017-04-11,55,179.1929931640625
2017-04-12,53,177.11929321289062
2017-04-13,40,171.98016357421875
2017-04-17,30,175.04562377929688
2017-04-18,31,168.86964416503906
2017-04-19,20,170.76303100585938
2017-04-20,54,170.6728515625
2017-04-21,48,168.8245849609375
2017-04-24,25,173.55795288085938
2017-04-25,36,175.3611602783203
2017-04-26,46,179.23805236816406
2017-04-27,40,178.7872772216797
2017-04-28,58,179.4183807373047
2017-05-02,81,176.53326416015625
2017-05-03,76,174.3243408203125
2017-05-04,92,174.9554443359375
2017-05-05,99,171.12367248535156
2017-05-08,60,172.47605895996094
2017-05-09,48,173.51287841796875
2017-05-10,50,178.0659637451172
2017-05-11,54,175.3611602783203
2017-05-12,37,177.7504119873047
2017-05-15,46,181.85269165039062
2017-05-16,51,181.8076171875
2017-05-17,50,186.36068725585938
2017-05-18,53,172.56619262695312
2017-05-19,62,174.45957946777344
2017-05-22,57,173.24241638183594
2017-05-23,62,174.50465393066406
2017-05-24,57,170.94334411621094
2017-05-25,63,173.87353515625
2017-05-26,48,179.28314208984375
2017-05-29,37,176.53326416015625
2017-05-30,32,175.8119659423828
2017-05-31,31,174.775146484375
2017-06-01,35,176.21768188476562
2017-06-02,34,175.58657836914062
2017-06-05,35,171.75477600097656
2017-06-06,37,173.19735717773438
2017-06-07,59,176.17259216308594
2017-06-08,75,179.46347045898438
2017-06-09,68,182.12318420410156
2017-06-12,70,181.2570037841797
2017-06-13,69,180.29965209960938
2017-06-14,66,180.75552368164062
2017-06-15,42,179.47909545898438
2017-06-16,39,177.65557861328125
2017-06-19,40,181.6672821044922
2017-06-20,41,182.12318420410156
2017-06-21,32,182.4878692626953
2017-06-22,35,180.20846557617188
2017-06-23,51,178.4305877685547
2017-06-27,50,176.9261474609375
2017-06-28,62,180.1173095703125
2017-06-29,61,187.22900390625
2017-06-30,65,185.45106506347656
2017-07-03,52,186.9554901123047
2017-07-04,55,189.9642791748047
2017-07-05,37,193.5657196044922
2017-07-06,23,193.70248413085938
2017-07-07,18,197.03038024902344
2017-07-10,13,198.8083038330078
2017-07-11,16,194.75099182128906
2017-07-12,24,195.02452087402344
2017-07-13,45,194.6142120361328
2017-07-14,53,196.16421508789062
2017-07-17,61,198.8083038330078
2017-07-18,66,197.0759735107422
2017-07-19,66,200.26708984375
2017-07-20,69,195.6627655029297
2017-07-21,52,195.7995147705078
2017-07-24,46,194.88772583007812
2017-07-25,44,196.11862182617188
2017-07-26,46,199.8112335205078
2017-07-27,38,195.84510803222656
2017-07-28,61,196.7568817138672
2017-07-31,57,201.72592163085938
2017-08-01,56,203.45822143554688
2017-08-02,59,200.3582763671875
2017-08-03,60,203.64060974121094
2017-08-04,58,208.1082000732422
2017-08-07,58,208.83761596679688
2017-08-08,58,210.4788055419922
2017-08-09,50,210.1140594482422
2017-08-10,44,203.0935516357422
2017-08-11,26,203.77737426757812
2017-08-14,7,211.84640502929688
2017-08-16,0,216.76988220214844
2017-08-17,8,213.89788818359375
2017-08-18,0,216.1316680908203
2017-08-21,30,213.0772705078125
2017-08-22,43,211.481689453125
2017-08-23,35,218.59339904785156
2017-08-24,48,224.33746337890625
2017-08-28,38,222.92422485351562
2017-08-29,39,225.11244201660156
2017-08-30,32,236.1902618408203
2017-08-31,32,231.9506072998047
2017-09-01,42,234.00205993652344
2017-09-04,51,232.31532287597656
2017-09-05,47,233.63735961914062
2017-09-06,41,239.88290405273438
2017-09-07,43,240.79464721679688
2017-09-08,40,240.20201110839844
2017-09-11,44,242.43582153320312
2017-09-12,41,245.9005126953125
2017-09-13,40,240.8402099609375
2017-09-14,35,242.2534942626953
2017-09-15,31,243.94021606445312
2017-09-18,42,239.38140869140625
2017-09-19,37,238.5608367919922
2017-09-20,25,236.28146362304688
2017-09-21,25,232.0417938232422
2017-09-22,43,225.15805053710938
2017-09-25,43,215.94932556152344
2017-09-26,61,220.96397399902344
2017-09-27,67,215.76693725585938
