date,recom,Price
2016-01-01,59,92.1197280883789
2016-01-04,60,93.70738220214844
2016-01-05,90,97.15177154541016
2016-01-06,94,94.91830444335938
2016-01-07,96,92.0614242553711
2016-01-08,86,93.38894653320312
2016-01-11,67,91.46044921875
2016-01-12,64,90.97159576416016
2016-01-13,61,90.0297622680664
2016-01-14,56,90.00733184814453
2016-01-15,67,87.2267074584961
2016-01-18,60,88.88611602783203
2016-01-19,57,89.56782531738281
2016-01-20,56,91.83716583251953
2016-01-21,54,91.97172546386719
2016-01-22,56,95.79732513427734
2016-01-25,54,99.31798553466797
2016-01-27,52,100.57374572753906
2016-01-28,0,97.9680404663086
2016-01-29,0,94.81515502929688
2016-02-01,0,94.23211669921875
2016-02-02,0,89.9938735961914
2016-02-03,0,87.31192016601562
2016-02-04,2,90.65765380859375
2016-02-05,4,93.02120971679688
2016-02-08,20,93.77913665771484
2016-02-09,16,89.6978759765625
2016-02-10,5,91.72056579589844
2016-02-11,8,89.8414077758789
2016-02-12,10,90.68006896972656
2016-02-15,24,93.411376953125
2016-02-16,22,92.720703125
2016-02-17,8,93.95853424072266
2016-02-18,11,94.79271697998047
2016-02-19,10,97.1876449584961
2016-02-22,27,98.90985107421875
2016-02-23,11,100.8204116821289
2016-02-24,15,99.51978302001953
2016-02-25,19,100.96842956542969
2016-02-26,47,98.58695220947266
2016-02-29,35,101.04017639160156
2016-03-01,20,102.5650405883789
2016-03-02,21,101.65011596679688
2016-03-03,16,104.03160095214844
2016-03-04,0,106.33235168457031
2016-03-08,14,106.40412139892578
2016-03-09,8,105.84797668457031
2016-03-10,17,106.37272644042969
2016-03-11,0,106.16192626953125
2016-03-14,22,105.92423248291016
2016-03-15,25,107.18898010253906
2016-03-16,15,107.64641571044922
2016-03-17,20,107.85273742675781
2016-03-18,0,108.79456329345703
2016-03-21,31,109.0681381225586
2016-03-22,33,110.34184265136719
2016-03-23,29,112.00574493408203
2016-03-28,81,110.05032348632812
2016-03-29,81,110.58402252197266
2016-03-30,88,114.06878662109375
2016-03-31,77,115.10479736328125
2016-04-01,84,113.25701904296875
2016-04-04,65,112.99690246582031
2016-04-05,72,112.96998596191406
2016-04-06,54,115.95246887207031
2016-04-07,61,114.57110595703125
2016-04-08,64,114.22127532958984
2016-04-11,62,116.58482360839844
2016-04-12,62,116.40093994140625
2016-04-13,74,117.82263946533203
2016-04-18,73,119.67941284179688
2016-04-20,64,122.13264465332031
2016-04-21,48,121.05626678466797
2016-04-22,37,120.49118041992188
2016-04-25,6,120.66158294677734
2016-04-26,17,122.70221710205078
2016-04-27,5,122.2223129272461
2016-04-28,15,122.74705505371094
2016-04-29,17,123.17313385009766
2016-05-02,16,122.41966247558594
2016-05-03,24,121.70207977294922
2016-05-04,8,118.5537109375
2016-05-05,24,118.3922348022461
2016-05-06,15,118.41016387939453
2016-05-09,33,118.95283508300781
2016-05-10,40,115.512939453125
2016-05-11,20,115.83135223388672
2016-05-12,41,115.05548095703125
2016-05-13,38,113.79969024658203
2016-05-16,53,116.21257019042969
2016-05-17,61,115.71025848388672
2016-05-18,52,117.44143676757812
2016-05-19,48,118.41915893554688
2016-05-20,56,117.05573272705078
2016-05-23,47,118.27112579345703
2016-05-24,49,118.41466522216797
2016-05-25,51,116.6386489868164
2016-05-26,56,118.30702209472656
2016-05-27,55,123.39289855957031
2016-05-30,60,123.06098937988281
2016-05-31,59,124.60382080078125
2016-06-01,63,123.316650390625
2016-06-02,63,123.72028350830078
2016-06-03,64,122.90851593017578
2016-06-06,61,122.8367691040039
2016-06-07,62,123.52743530273438
