date,recom
2016-01-01,58
2016-01-04,63
2016-01-05,69
2016-01-06,76
2016-01-07,79
2016-01-08,77
2016-01-11,75
2016-01-12,70
2016-01-13,58
2016-01-14,74
2016-01-15,65
2016-01-18,65
2016-01-19,64
2016-01-20,83
2016-01-21,58
2016-01-22,51
2016-01-25,54
2016-01-26,49
2016-01-27,49
2016-01-28,47
2016-01-29,37
2016-02-01,38
2016-02-02,42
2016-02-03,27
2016-02-04,40
2016-02-05,35
2016-02-08,41
2016-02-09,43
2016-02-10,46
2016-02-11,32
2016-02-12,36
2016-02-15,42
2016-02-16,35
2016-02-17,34
2016-02-18,55
2016-02-19,59
2016-02-22,50
2016-02-23,49
2016-02-24,48
2016-02-25,50
2016-02-26,53
2016-02-29,36
2016-03-01,51
2016-03-02,52
2016-03-03,47
2016-03-04,51
2016-03-07,57
2016-03-08,70
2016-03-09,64
2016-03-10,68
2016-03-11,61
2016-03-14,45
2016-03-15,61
2016-03-16,61
2016-03-17,57
2016-03-18,58
2016-03-21,60
2016-03-22,72
2016-03-23,53
2016-03-24,56
2016-03-25,51
2016-03-28,42
2016-03-29,41
2016-03-30,44
2016-03-31,42
2016-04-01,45
2016-04-04,27
2016-04-05,50
2016-04-06,66
2016-04-07,68
2016-04-08,61
2016-04-11,60
2016-04-12,54
2016-04-13,46
2016-04-14,47
2016-04-15,43
2016-04-18,34
2016-04-19,37
2016-04-20,57
2016-04-21,56
2016-04-22,59
2016-04-25,60
2016-04-26,52
2016-04-27,42
2016-04-28,34
2016-04-29,45
2016-05-02,49
2016-05-03,45
2016-05-04,25
2016-05-05,54
2016-05-06,40
2016-05-09,29
2016-05-10,32
2016-05-11,63
2016-05-12,24
2016-05-13,15
2016-05-16,35
2016-05-17,43
2016-05-18,30
2016-05-19,30
2016-05-20,35
2016-05-23,36
2016-05-24,30
2016-05-25,32
2016-05-26,43
2016-05-27,30
2016-05-30,14
2016-05-31,0
2016-06-01,8
2016-06-02,11
2016-06-03,20
2016-06-06,28
2016-06-07,38
2016-06-08,31
2016-06-09,37
2016-06-10,58
2016-06-13,44
2016-06-14,43
2016-06-15,64
2016-06-16,98
2016-06-17,74
2016-06-20,68
2016-06-21,65
2016-06-22,60
2016-06-23,51
2016-06-24,53
2016-06-27,54
2016-06-28,55
2016-06-29,84
2016-06-30,70
2016-07-01,68
2016-07-04,62
2016-07-05,60
2016-07-06,63
2016-07-07,57
2016-07-08,50
2016-07-11,47
2016-07-12,47
2016-07-13,33
2016-07-14,38
2016-07-15,37
2016-07-18,35
2016-07-19,38
