date,recom
2016-01-01,0
2016-01-04,0
2016-01-05,4
2016-01-06,23
2016-01-07,23
2016-01-08,27
2016-01-11,38
2016-01-12,37
2016-01-13,38
2016-01-14,47
2016-01-15,49
2016-01-18,43
2016-01-19,60
2016-01-20,74
2016-01-21,74
2016-01-22,96
2016-01-25,100
2016-01-26,100
2016-01-27,94
2016-01-28,84
2016-01-29,100
2016-02-01,100
2016-02-02,100
2016-02-03,100
2016-02-04,94
2016-02-05,59
2016-02-08,49
2016-02-09,45
2016-02-10,43
2016-02-11,39
2016-02-12,48
2016-02-15,62
2016-02-16,69
2016-02-17,72
2016-02-18,73
2016-02-19,71
2016-02-22,62
2016-02-23,49
2016-02-24,44
2016-02-25,36
2016-02-26,34
2016-02-29,37
2016-03-01,42
2016-03-02,42
2016-03-03,43
2016-03-04,49
2016-03-07,55
2016-03-08,58
2016-03-09,55
2016-03-10,56
2016-03-11,52
2016-03-14,36
2016-03-15,11
2016-03-16,4
2016-03-17,13
2016-03-18,7
2016-03-21,17
2016-03-22,30
2016-03-23,53
2016-03-24,60
2016-03-25,77
2016-03-28,71
2016-03-29,44
2016-03-30,33
2016-03-31,36
2016-04-01,43
2016-04-04,25
2016-04-05,29
2016-04-06,38
2016-04-07,59
2016-04-08,68
2016-04-11,66
2016-04-12,64
2016-04-13,52
2016-04-14,48
2016-04-15,44
2016-04-18,37
2016-04-19,34
2016-04-20,22
2016-04-21,42
2016-04-22,47
2016-04-25,72
2016-04-26,76
2016-04-27,60
2016-04-28,65
2016-04-29,69
2016-05-02,58
2016-05-03,64
2016-05-04,64
2016-05-05,84
2016-05-06,85
2016-05-09,84
2016-05-10,89
2016-05-11,91
2016-05-12,76
2016-05-13,45
2016-05-16,57
2016-05-17,83
2016-05-18,70
2016-05-19,66
2016-05-20,71
2016-05-23,68
2016-05-24,71
2016-05-25,69
2016-05-26,77
2016-05-27,61
2016-05-30,57
2016-05-31,53
2016-06-01,53
2016-06-02,45
2016-06-03,28
2016-06-06,15
2016-06-07,22
2016-06-08,6
2016-06-09,1
2016-06-10,21
2016-06-13,17
2016-06-14,24
2016-06-15,8
2016-06-16,1
2016-06-17,0
2016-06-20,6
2016-06-21,22
2016-06-22,10
2016-06-23,1
2016-06-24,0
2016-06-27,15
2016-06-28,42
2016-06-29,40
2016-06-30,34
2016-07-01,36
2016-07-04,34
2016-07-05,39
2016-07-06,44
2016-07-07,64
2016-07-08,82
2016-07-11,100
2016-07-12,100
2016-07-13,100
2016-07-14,100
2016-07-15,67
2016-07-18,100
2016-07-19,67
2016-07-20,65
2016-07-21,61
2016-07-22,66
2016-07-25,52
2016-07-26,54
2016-07-27,44
2016-07-28,31
2016-07-29,9
2016-08-01,43
2016-08-02,26
2016-08-03,15
2016-08-04,0
2016-08-05,25
2016-08-08,0
2016-08-09,0
2016-08-10,17
2016-08-11,63
2016-08-12,74
2016-08-15,67
2016-08-16,79
2016-08-17,94
2016-08-18,93
2016-08-19,87
2016-08-22,82
2016-08-23,83
2016-08-24,64
2016-08-25,55
2016-08-26,54
2016-08-29,53
2016-08-30,62
2016-08-31,61
2016-09-01,59
2016-09-02,57
2016-09-05,60
2016-09-06,64
2016-09-07,57
2016-09-08,45
2016-09-09,34
2016-09-12,2
2016-09-13,0
2016-09-14,6
2016-09-15,0
2016-09-16,0
2016-09-19,14
2016-09-20,17
2016-09-21,20
2016-09-22,36
2016-09-23,46
2016-09-26,23
2016-09-27,29
2016-09-28,26
2016-09-29,20
2016-09-30,41
2016-10-03,63
2016-10-04,68
2016-10-05,62
2016-10-06,62
2016-10-07,51
2016-10-10,36
2016-10-11,43
