date,recom
2016-01-01,16
2016-01-04,5
2016-01-05,11
2016-01-06,26
2016-01-07,45
2016-01-08,51
2016-01-11,55
2016-01-12,61
2016-01-13,60
2016-01-14,52
2016-01-15,65
2016-01-18,63
2016-01-19,70
2016-01-20,77
2016-01-21,83
2016-01-22,90
2016-01-25,96
2016-01-26,100
2016-01-27,80
2016-01-28,73
2016-01-29,61
2016-02-01,69
2016-02-02,63
2016-02-03,60
2016-02-04,49
2016-02-05,48
2016-02-08,46
2016-02-09,44
2016-02-10,50
2016-02-11,51
2016-02-12,41
2016-02-15,36
2016-02-16,21
2016-02-17,3
2016-02-18,8
2016-02-19,1
2016-02-22,6
2016-02-23,2
2016-02-24,15
2016-02-25,12
2016-02-26,32
2016-02-29,36
2016-03-01,55
2016-03-02,44
2016-03-03,43
2016-03-04,30
2016-03-07,37
2016-03-08,38
2016-03-09,47
2016-03-10,54
2016-03-11,65
2016-03-14,87
2016-03-15,71
2016-03-16,76
2016-03-17,57
2016-03-18,58
2016-03-21,71
2016-03-22,74
2016-03-23,89
2016-03-24,71
2016-03-25,66
2016-03-28,82
2016-03-29,80
2016-03-30,90
2016-03-31,89
2016-04-01,92
2016-04-04,95
2016-04-05,55
2016-04-06,51
2016-04-07,38
2016-04-08,32
2016-04-11,33
2016-04-12,36
2016-04-13,32
2016-04-14,36
2016-04-15,33
2016-04-18,35
2016-04-19,32
2016-04-20,26
2016-04-21,33
2016-04-22,22
2016-04-25,33
2016-04-26,29
2016-04-27,23
2016-04-28,19
2016-04-29,21
2016-05-02,24
2016-05-03,23
2016-05-04,41
2016-05-05,52
2016-05-06,54
2016-05-09,70
2016-05-10,99
2016-05-11,100
2016-05-12,94
2016-05-13,100
2016-05-16,100
2016-05-17,96
2016-05-18,96
2016-05-19,92
2016-05-20,74
2016-05-23,66
2016-05-24,55
2016-05-25,55
2016-05-26,54
2016-05-27,54
2016-05-30,53
2016-05-31,59
2016-06-01,58
2016-06-02,62
2016-06-03,69
2016-06-06,69
2016-06-07,67
2016-06-08,64
2016-06-09,56
2016-06-10,40
2016-06-13,36
2016-06-14,31
2016-06-15,29
2016-06-16,29
2016-06-17,32
2016-06-20,35
2016-06-21,37
2016-06-22,42
2016-06-23,42
2016-06-24,42
2016-06-27,44
2016-06-28,40
2016-06-29,36
2016-06-30,20
2016-07-01,17
2016-07-04,18
2016-07-05,21
2016-07-06,19
2016-07-07,27
2016-07-08,34
2016-07-11,38
2016-07-12,44
2016-07-13,52
2016-07-14,64
2016-07-15,67
2016-07-18,98
2016-07-19,82
2016-07-20,68
2016-07-21,54
2016-07-22,54
2016-07-25,47
2016-07-26,45
2016-07-27,45
2016-07-28,48
2016-07-29,74
2016-08-01,76
2016-08-02,75
2016-08-03,79
2016-08-04,77
2016-08-05,48
2016-08-08,46
2016-08-09,43
2016-08-10,40
2016-08-11,43
