date,recom
2016-01-01,31
2016-01-04,23
2016-01-05,28
2016-01-06,37
2016-01-07,38
2016-01-08,45
2016-01-11,40
2016-01-12,41
2016-01-13,46
2016-01-14,53
2016-01-15,52
2016-01-18,55
2016-01-19,62
2016-01-20,65
2016-01-21,69
2016-01-22,90
2016-01-25,96
2016-01-26,94
2016-01-27,100
2016-01-28,82
2016-01-29,70
2016-02-01,62
2016-02-02,60
2016-02-03,68
2016-02-04,71
2016-02-05,62
2016-02-08,54
2016-02-09,52
2016-02-10,51
2016-02-11,38
2016-02-12,37
2016-02-15,46
2016-02-16,44
2016-02-17,56
2016-02-18,56
2016-02-19,41
2016-02-22,19
2016-02-23,30
2016-02-24,30
2016-02-25,37
2016-02-26,42
2016-02-29,46
2016-03-01,83
2016-03-02,81
2016-03-03,83
2016-03-04,77
2016-03-07,86
2016-03-08,90
2016-03-09,47
2016-03-10,46
2016-03-11,44
2016-03-14,38
2016-03-15,42
2016-03-16,36
2016-03-17,36
2016-03-18,37
2016-03-21,40
2016-03-22,47
2016-03-23,42
2016-03-24,40
2016-03-25,40
2016-03-28,41
2016-03-29,16
2016-03-30,5
2016-03-31,2
2016-04-01,4
2016-04-04,15
2016-04-05,29
2016-04-06,44
2016-04-07,59
2016-04-08,45
2016-04-11,43
2016-04-12,46
2016-04-13,39
2016-04-14,40
2016-04-15,22
2016-04-18,28
2016-04-19,21
2016-04-20,41
2016-04-21,55
2016-04-22,72
2016-04-25,68
2016-04-26,70
2016-04-27,71
2016-04-28,77
2016-04-29,75
2016-05-02,74
2016-05-03,81
2016-05-04,74
2016-05-05,60
2016-05-06,58
2016-05-09,52
2016-05-10,51
2016-05-11,61
2016-05-12,67
2016-05-13,74
2016-05-16,78
2016-05-17,59
2016-05-18,50
2016-05-19,41
2016-05-20,41
2016-05-23,43
2016-05-24,38
2016-05-25,39
2016-05-26,8
2016-05-27,23
2016-05-30,28
2016-05-31,26
2016-06-01,26
2016-06-02,34
2016-06-03,39
2016-06-06,51
2016-06-07,54
2016-06-08,55
2016-06-09,41
2016-06-10,34
2016-06-13,19
2016-06-14,26
2016-06-15,33
2016-06-16,42
2016-06-17,47
2016-06-20,55
2016-06-21,67
2016-06-22,60
2016-06-23,60
2016-06-24,54
2016-06-27,57
2016-06-28,41
2016-06-29,41
2016-06-30,33
2016-07-01,49
2016-07-04,18
2016-07-05,13
2016-07-06,16
2016-07-07,18
2016-07-08,3
2016-07-11,12
2016-07-12,14
2016-07-13,26
2016-07-14,29
2016-07-15,7
2016-07-18,25
