date,recom
2016-01-01,18
2016-01-04,22
2016-01-05,33
2016-01-06,30
2016-01-07,41
2016-01-08,38
2016-01-11,53
2016-01-12,47
2016-01-13,49
2016-01-14,52
2016-01-15,49
2016-01-18,41
2016-01-19,50
2016-01-20,47
2016-01-21,36
2016-01-22,54
2016-01-25,55
2016-01-26,45
2016-01-27,35
2016-01-28,47
2016-01-29,62
2016-02-01,69
2016-02-02,57
2016-02-03,55
2016-02-04,55
2016-02-05,85
2016-02-08,89
2016-02-09,77
2016-02-10,72
2016-02-11,80
2016-02-12,49
2016-02-15,49
2016-02-16,51
2016-02-17,52
2016-02-18,58
2016-02-19,55
2016-02-22,60
2016-02-23,66
2016-02-24,59
2016-02-25,56
2016-02-26,61
2016-02-29,70
2016-03-01,78
2016-03-02,78
2016-03-03,83
2016-03-04,67
2016-03-07,65
2016-03-08,72
2016-03-09,64
2016-03-10,52
2016-03-11,52
2016-03-14,45
2016-03-15,48
2016-03-16,44
2016-03-17,44
2016-03-18,44
2016-03-21,46
2016-03-22,55
2016-03-23,55
2016-03-24,49
2016-03-25,44
2016-03-28,40
2016-03-29,37
2016-03-30,18
2016-03-31,11
2016-04-01,2
2016-04-04,25
2016-04-05,28
2016-04-06,25
2016-04-07,10
2016-04-08,35
2016-04-11,38
2016-04-12,40
2016-04-13,35
2016-04-14,39
2016-04-15,38
2016-04-18,36
2016-04-19,44
2016-04-20,51
2016-04-21,53
2016-04-22,60
2016-04-25,69
2016-04-26,35
2016-04-27,41
2016-04-28,44
2016-04-29,50
2016-05-02,49
2016-05-03,49
2016-05-04,60
2016-05-05,55
2016-05-06,64
2016-05-09,63
2016-05-10,66
2016-05-11,68
2016-05-12,28
2016-05-13,34
2016-05-16,32
2016-05-17,15
2016-05-18,0
2016-05-19,51
2016-05-20,52
2016-05-23,41
2016-05-24,50
2016-05-25,49
2016-05-26,77
2016-05-27,78
2016-05-30,83
2016-05-31,86
2016-06-01,81
2016-06-02,70
2016-06-03,59
2016-06-06,59
2016-06-07,57
2016-06-08,55
2016-06-09,60
2016-06-10,57
2016-06-13,53
2016-06-14,52
2016-06-15,50
2016-06-16,48
2016-06-17,47
2016-06-20,48
2016-06-21,47
2016-06-22,48
2016-06-23,4
2016-06-24,6
2016-06-27,15
2016-06-28,19
2016-06-29,19
2016-06-30,40
2016-07-01,59
2016-07-04,59
2016-07-05,61
2016-07-06,72
2016-07-07,66
2016-07-08,53
2016-07-11,46
2016-07-12,44
2016-07-13,47
2016-07-14,50
2016-07-15,46
2016-07-18,46
2016-07-19,50
2016-07-20,52
2016-07-21,65
2016-07-22,60
2016-07-25,55
2016-07-26,51
2016-07-27,49
2016-07-28,68
2016-07-29,63
2016-08-01,65
2016-08-02,70
2016-08-03,76
2016-08-04,53
2016-08-05,53
2016-08-08,56
2016-08-09,52
2016-08-10,57
2016-08-11,60
2016-08-12,58
2016-08-15,52
2016-08-16,48
2016-08-17,45
2016-08-18,38
2016-08-19,37
2016-08-22,38
2016-08-23,39
2016-08-24,40
2016-08-25,0
2016-08-26,0
2016-08-29,0
2016-08-30,0
2016-08-31,12
2016-09-01,33
2016-09-02,37
2016-09-05,43
2016-09-06,54
2016-09-07,58
2016-09-08,43
2016-09-09,51
2016-09-12,75
2016-09-13,59
2016-09-14,55
2016-09-15,62
2016-09-16,71
2016-09-19,74
2016-09-20,72
2016-09-21,68
2016-09-22,94
2016-09-23,95
2016-09-26,78
2016-09-27,82
2016-09-28,67
2016-09-29,58
2016-09-30,86
2016-10-03,50
2016-10-04,41
2016-10-05,70
2016-10-06,57
2016-10-07,34
2016-10-10,41
2016-10-11,39
2016-10-12,34
2016-10-13,33
2016-10-14,27
2016-10-17,37
2016-10-18,23
2016-10-19,20
2016-10-20,8
2016-10-21,5
2016-10-24,0
2016-10-25,0
2016-10-26,9
2016-10-27,7
2016-10-28,4
2016-10-31,44
2016-11-01,55
2016-11-02,54
2016-11-03,58
2016-11-04,78
2016-11-07,74
2016-11-08,62
2016-11-09,57
2016-11-10,73
2016-11-11,94
2016-11-14,85
2016-11-15,80
2016-11-16,83
2016-11-17,85
2016-11-18,77
2016-11-21,78
