date,recom
2016-01-01,52
2016-01-04,53
2016-01-05,54
2016-01-06,59
2016-01-07,55
2016-01-08,68
2016-01-11,68
2016-01-12,62
2016-01-13,62
2016-01-14,72
2016-01-15,76
2016-01-18,56
2016-01-19,57
2016-01-20,59
2016-01-21,61
2016-01-22,95
2016-01-25,100
2016-01-26,83
2016-01-27,75
2016-01-28,64
2016-01-29,54
2016-02-01,55
2016-02-02,49
2016-02-03,55
2016-02-04,86
2016-02-05,84
2016-02-08,82
2016-02-09,84
2016-02-10,87
2016-02-11,70
2016-02-12,63
2016-02-15,56
2016-02-16,54
2016-02-17,54
2016-02-18,57
2016-02-19,50
2016-02-22,46
2016-02-23,46
2016-02-24,43
2016-02-25,45
2016-02-26,52
2016-02-29,55
2016-03-01,54
2016-03-02,55
2016-03-03,35
2016-03-04,22
2016-03-07,10
2016-03-08,13
2016-03-09,17
2016-03-10,31
2016-03-11,20
2016-03-14,16
2016-03-15,23
2016-03-16,29
2016-03-17,33
2016-03-18,33
2016-03-21,46
2016-03-22,66
2016-03-23,62
2016-03-24,62
2016-03-25,61
2016-03-28,62
2016-03-29,57
2016-03-30,44
2016-03-31,29
2016-04-01,39
2016-04-04,39
2016-04-05,39
2016-04-06,38
2016-04-07,55
2016-04-08,64
2016-04-11,61
2016-04-12,59
2016-04-13,72
2016-04-14,59
2016-04-15,67
2016-04-18,74
2016-04-19,76
2016-04-20,85
2016-04-21,81
2016-04-22,88
2016-04-25,90
2016-04-26,98
2016-04-27,77
2016-04-28,72
2016-04-29,73
2016-05-02,75
2016-05-03,80
2016-05-04,79
2016-05-05,86
2016-05-06,70
2016-05-09,67
2016-05-10,72
2016-05-11,69
2016-05-12,54
2016-05-13,36
2016-05-16,58
2016-05-17,53
2016-05-18,36
2016-05-19,29
2016-05-20,29
2016-05-23,23
2016-05-24,23
2016-05-25,61
2016-05-26,76
2016-05-27,82
2016-05-30,80
2016-05-31,75
2016-06-01,96
2016-06-02,95
2016-06-03,98
2016-06-06,95
2016-06-07,92
2016-06-08,53
2016-06-09,53
2016-06-10,51
2016-06-13,49
2016-06-14,48
2016-06-15,48
2016-06-16,47
2016-06-17,48
2016-06-20,49
2016-06-21,49
2016-06-22,42
2016-06-23,39
2016-06-24,37
2016-06-27,35
2016-06-28,36
2016-06-29,0
2016-06-30,0
2016-07-01,7
2016-07-04,8
2016-07-05,6
2016-07-06,20
2016-07-07,26
2016-07-08,38
2016-07-11,34
2016-07-12,54
2016-07-13,72
2016-07-14,84
2016-07-15,77
2016-07-18,69
2016-07-19,82
2016-07-20,80
2016-07-21,65
2016-07-22,81
2016-07-25,69
2016-07-26,100
2016-07-27,95
2016-07-28,91
2016-07-29,95
2016-08-01,91
2016-08-02,100
2016-08-03,92
2016-08-04,96
2016-08-05,82
2016-08-08,75
2016-08-09,74
2016-08-10,61
2016-08-11,57
2016-08-12,52
2016-08-15,49
2016-08-16,48
2016-08-17,48
2016-08-18,48
2016-08-19,46
2016-08-22,46
2016-08-23,43
2016-08-24,23
2016-08-25,18
2016-08-26,0
2016-08-29,3
2016-08-30,5
2016-08-31,10
2016-09-01,15
2016-09-02,15
2016-09-05,16
2016-09-06,20
2016-09-07,22
2016-09-08,34
2016-09-09,42
2016-09-12,58
2016-09-13,63
2016-09-14,64
2016-09-15,85
2016-09-16,58
2016-09-19,53
2016-09-20,61
2016-09-21,62
2016-09-22,56
2016-09-23,55
2016-09-26,52
2016-09-27,51
2016-09-28,51
2016-09-29,39
2016-09-30,32
2016-10-03,24
2016-10-04,42
2016-10-05,25
2016-10-06,18
2016-10-07,18
2016-10-10,18
2016-10-11,18
2016-10-12,19
2016-10-13,17
2016-10-14,39
2016-10-17,55
2016-10-18,44
2016-10-19,55
2016-10-20,52
2016-10-21,43
2016-10-24,31
2016-10-25,38
2016-10-26,27
2016-10-27,23
2016-10-28,20
2016-10-31,53
2016-11-01,55
2016-11-02,58
2016-11-03,59
2016-11-04,78
2016-11-07,99
2016-11-08,66
2016-11-09,75
2016-11-10,99
2016-11-11,96
2016-11-14,85
2016-11-15,85
2016-11-16,89
2016-11-17,92
2016-11-18,100
2016-11-21,100
2016-11-22,100
2016-11-23,100
2016-11-24,64
2016-11-25,62
2016-11-28,52
2016-11-29,55
