date,recom
2016-01-01,6
2016-01-04,11
2016-01-05,5
2016-01-06,22
2016-01-07,25
2016-01-08,13
2016-01-11,33
2016-01-12,13
2016-01-13,38
2016-01-14,48
2016-01-15,42
2016-01-18,44
2016-01-19,52
2016-01-20,49
2016-01-21,51
2016-01-22,61
2016-01-25,72
2016-01-26,70
2016-01-27,87
2016-01-28,93
2016-01-29,100
2016-02-01,100
2016-02-02,100
2016-02-03,100
2016-02-04,100
2016-02-05,98
2016-02-08,66
2016-02-09,64
2016-02-10,57
2016-02-11,66
2016-02-12,97
2016-02-15,68
2016-02-16,69
2016-02-17,64
2016-02-18,58
2016-02-19,47
2016-02-22,49
2016-02-23,43
2016-02-24,39
2016-02-25,14
2016-02-26,48
2016-02-29,53
2016-03-01,51
2016-03-02,48
2016-03-03,50
2016-03-04,42
2016-03-07,45
2016-03-08,45
2016-03-09,45
2016-03-10,32
2016-03-11,26
2016-03-14,24
2016-03-15,25
2016-03-16,20
2016-03-17,29
2016-03-18,47
2016-03-21,47
2016-03-22,49
2016-03-23,47
2016-03-24,50
2016-03-25,41
2016-03-28,44
2016-03-29,30
2016-03-30,32
2016-03-31,32
2016-04-01,55
2016-04-04,76
2016-04-05,71
2016-04-06,86
2016-04-07,87
2016-04-08,64
2016-04-11,54
2016-04-12,63
2016-04-13,52
2016-04-14,62
2016-04-15,54
2016-04-18,56
2016-04-19,51
2016-04-20,53
2016-04-21,51
2016-04-22,38
2016-04-25,49
2016-04-26,23
2016-04-27,2
2016-04-28,38
2016-04-29,57
2016-05-02,60
2016-05-03,56
2016-05-04,62
2016-05-05,54
2016-05-06,41
2016-05-09,47
2016-05-10,45
2016-05-11,53
2016-05-12,47
2016-05-13,54
2016-05-16,49
2016-05-17,56
2016-05-18,54
2016-05-19,47
2016-05-20,49
2016-05-23,51
2016-05-24,50
2016-05-25,51
2016-05-26,33
2016-05-27,13
2016-05-30,17
2016-05-31,25
2016-06-01,57
2016-06-02,71
2016-06-03,92
2016-06-06,90
2016-06-07,87
2016-06-08,56
2016-06-09,53
2016-06-10,51
2016-06-13,48
2016-06-14,45
2016-06-15,44
2016-06-16,47
2016-06-17,48
2016-06-20,52
2016-06-21,54
2016-06-22,53
2016-06-23,52
2016-06-24,48
2016-06-27,46
2016-06-28,46
2016-06-29,13
2016-06-30,9
2016-07-01,7
2016-07-04,17
2016-07-05,22
2016-07-06,30
2016-07-07,27
2016-07-08,19
2016-07-11,31
2016-07-12,41
2016-07-13,38
2016-07-14,35
2016-07-15,18
2016-07-18,25
2016-07-19,25
2016-07-20,30
2016-07-21,43
2016-07-22,51
2016-07-25,57
2016-07-26,55
2016-07-27,39
2016-07-28,43
2016-07-29,54
2016-08-01,55
2016-08-02,59
2016-08-03,72
2016-08-04,73
2016-08-05,63
2016-08-08,68
2016-08-09,80
2016-08-10,84
2016-08-11,83
2016-08-12,88
2016-08-15,79
2016-08-16,90
2016-08-17,60
2016-08-18,49
2016-08-19,47
2016-08-22,45
2016-08-23,48
2016-08-24,47
2016-08-25,43
2016-08-26,27
2016-08-29,19
2016-08-30,5
2016-08-31,25
2016-09-01,45
2016-09-02,83
2016-09-05,88
2016-09-06,91
2016-09-07,88
2016-09-08,86
2016-09-09,86
2016-09-12,60
2016-09-13,52
2016-09-14,46
2016-09-15,40
2016-09-16,42
2016-09-19,54
2016-09-20,55
2016-09-21,51
2016-09-22,51
2016-09-23,47
2016-09-26,45
2016-09-27,54
2016-09-28,50
2016-09-29,47
2016-09-30,26
2016-10-03,17
2016-10-04,14
2016-10-05,13
2016-10-06,10
2016-10-07,22
2016-10-10,25
2016-10-11,29
2016-10-12,27
2016-10-13,26
2016-10-14,47
2016-10-17,62
2016-10-18,58
2016-10-19,60
2016-10-20,56
2016-10-21,69
2016-10-24,69
2016-10-25,69
2016-10-26,60
2016-10-27,53
2016-10-28,52
2016-10-31,54
2016-11-01,57
2016-11-02,49
2016-11-03,38
2016-11-04,45
2016-11-07,57
2016-11-08,44
2016-11-09,44
2016-11-10,49
2016-11-11,49
2016-11-14,39
2016-11-15,0
2016-11-16,15
2016-11-17,24
2016-11-18,6
2016-11-21,27
2016-11-22,34
2016-11-23,45
2016-11-24,25
2016-11-25,13
2016-11-28,30
2016-11-29,45
2016-11-30,55
2016-12-01,98
2016-12-02,91
2016-12-05,100
2016-12-06,100
2016-12-07,100
2016-12-08,63
2016-12-09,45
2016-12-12,41
2016-12-13,29
2016-12-14,29
2016-12-15,34
2016-12-16,35
2016-12-19,34
2016-12-20,46
2016-12-21,52
2016-12-22,55
2016-12-23,54
2016-12-26,53
2016-12-27,41
2016-12-28,38
2016-12-29,36
2016-12-30,32
2017-01-02,25
2017-01-03,19
2017-01-04,35
2017-01-05,48
2017-01-06,62
2017-01-09,67
2017-01-10,85
2017-01-11,75
2017-01-12,63
2017-01-13,54
2017-01-16,49
2017-01-17,37
2017-01-18,26
2017-01-19,24
2017-01-20,33
2017-01-23,45
2017-01-24,50
2017-01-25,55
2017-01-26,79
2017-01-27,77
2017-01-30,77
2017-01-31,85
2017-02-01,91
2017-02-02,93
2017-02-03,87
2017-02-06,85
2017-02-07,61
2017-02-08,57
2017-02-09,58
2017-02-10,55
2017-02-13,55
2017-02-14,60
2017-02-15,59
2017-02-16,57
2017-02-17,56
2017-02-20,55
2017-02-21,59
2017-02-22,59
2017-02-23,51
2017-02-24,70
2017-02-27,71
2017-02-28,68
2017-03-01,70
2017-03-02,67
2017-03-03,63
2017-03-06,49
2017-03-07,56
2017-03-08,55
2017-03-09,54
2017-03-10,51
2017-03-13,54
2017-03-14,52
2017-03-15,54
2017-03-16,56
2017-03-17,52
2017-03-20,58
2017-03-21,56
2017-03-22,55
2017-03-23,55
2017-03-24,27
2017-03-27,19
2017-03-28,13
2017-03-29,12
2017-03-30,19
2017-03-31,40
2017-04-03,40
2017-04-04,45
2017-04-05,79
2017-04-06,100
2017-04-07,83
2017-04-10,72
2017-04-11,62
2017-04-12,43
2017-04-13,35
2017-04-14,23
2017-04-17,23
2017-04-18,19
2017-04-19,45
2017-04-20,46
2017-04-21,6
2017-04-24,9
2017-04-25,20
2017-04-26,32
2017-04-27,38
2017-04-28,5
2017-05-01,23
2017-05-02,36
2017-05-03,39
2017-05-04,10
2017-05-05,13
2017-05-08,19
2017-05-09,39
2017-05-10,43
2017-05-11,81
2017-05-12,77
2017-05-15,86
2017-05-16,79
2017-05-17,85
2017-05-18,55
2017-05-19,52
2017-05-22,58
2017-05-23,59
2017-05-24,59
2017-05-25,72
2017-05-26,68
2017-05-29,64
2017-05-30,62
2017-05-31,73
2017-06-01,71
2017-06-02,59
2017-06-05,62
2017-06-06,63
2017-06-07,64
2017-06-08,30
2017-06-09,28
2017-06-12,21
2017-06-13,21
2017-06-14,14
2017-06-15,32
2017-06-16,35
2017-06-19,31
2017-06-20,32
2017-06-21,28
2017-06-22,36
2017-06-23,21
2017-06-26,22
2017-06-27,28
2017-06-28,38
2017-06-29,33
2017-06-30,51
2017-07-03,37
2017-07-04,32
2017-07-05,30
2017-07-06,46
2017-07-07,41
2017-07-10,41
2017-07-11,44
2017-07-12,63
2017-07-13,64
2017-07-14,62
2017-07-17,57
2017-07-18,64
2017-07-19,55
2017-07-20,58
2017-07-21,50
2017-07-24,71
2017-07-25,69
2017-07-26,68
2017-07-27,64
2017-07-28,80
2017-07-31,83
2017-08-01,80
2017-08-02,72
2017-08-03,67
2017-08-04,50
2017-08-07,50
2017-08-08,48
2017-08-09,42
2017-08-10,40
2017-08-11,43
2017-08-14,42
2017-08-15,41
2017-08-16,44
2017-08-17,45
2017-08-18,48
2017-08-21,38
2017-08-22,29
2017-08-23,21
2017-08-24,22
2017-08-25,18
2017-08-28,25
2017-08-29,24
2017-08-30,24
2017-08-31,28
2017-09-01,77
2017-09-04,69
2017-09-05,79
2017-09-06,84
2017-09-07,84
2017-09-08,79
