date,recom
2016-01-01,50
2016-01-04,39
2016-01-05,43
2016-01-06,51
2016-01-07,51
2016-01-08,40
2016-01-11,46
2016-01-12,53
2016-01-13,55
2016-01-14,56
2016-01-15,53
2016-01-18,35
2016-01-19,37
2016-01-20,37
2016-01-21,41
2016-01-22,70
2016-01-25,75
2016-01-26,79
2016-01-27,89
2016-01-28,96
2016-01-29,84
2016-02-01,83
2016-02-02,71
2016-02-03,76
2016-02-04,83
2016-02-05,66
2016-02-08,60
2016-02-09,54
2016-02-10,64
2016-02-11,69
2016-02-12,68
2016-02-15,66
2016-02-16,80
2016-02-17,84
2016-02-18,77
2016-02-19,58
2016-02-22,40
2016-02-23,3
2016-02-24,3
2016-02-25,7
2016-02-26,54
2016-02-29,66
2016-03-01,73
2016-03-02,69
2016-03-03,70
2016-03-04,69
2016-03-07,60
2016-03-08,54
2016-03-09,70
2016-03-10,78
2016-03-11,85
2016-03-14,83
2016-03-15,70
2016-03-16,76
2016-03-17,80
2016-03-18,75
2016-03-21,61
2016-03-22,52
2016-03-23,56
2016-03-24,56
2016-03-25,41
2016-03-28,42
2016-03-29,38
2016-03-30,23
2016-03-31,9
2016-04-01,46
2016-04-04,49
2016-04-05,35
2016-04-06,35
2016-04-07,32
2016-04-08,9
2016-04-11,11
2016-04-12,18
2016-04-13,33
2016-04-14,41
2016-04-15,50
2016-04-18,66
2016-04-19,100
2016-04-20,88
2016-04-21,99
2016-04-22,100
2016-04-25,94
2016-04-26,64
2016-04-27,49
2016-04-28,41
2016-04-29,47
2016-05-02,53
2016-05-03,50
2016-05-04,56
2016-05-05,58
2016-05-06,55
2016-05-09,56
2016-05-10,51
2016-05-11,50
2016-05-12,20
2016-05-13,0
2016-05-16,14
2016-05-17,21
2016-05-18,16
2016-05-19,15
2016-05-20,14
2016-05-23,16
2016-05-24,0
2016-05-25,0
2016-05-26,32
2016-05-27,42
2016-05-30,37
2016-05-31,76
2016-06-01,80
2016-06-02,72
2016-06-03,83
2016-06-06,88
2016-06-07,75
2016-06-08,67
2016-06-09,61
2016-06-10,52
2016-06-13,49
2016-06-14,43
2016-06-15,45
2016-06-16,47
2016-06-17,48
2016-06-20,48
2016-06-21,49
2016-06-22,48
2016-06-23,49
2016-06-24,47
2016-06-27,46
2016-06-28,12
2016-06-29,5
2016-06-30,0
2016-07-01,5
2016-07-04,4
2016-07-05,9
2016-07-06,11
2016-07-07,15
2016-07-08,39
2016-07-11,53
2016-07-12,82
2016-07-13,96
2016-07-14,92
2016-07-15,100
2016-07-18,77
2016-07-19,85
2016-07-20,76
2016-07-21,68
2016-07-22,90
2016-07-25,91
2016-07-26,91
2016-07-27,76
2016-07-28,70
2016-07-29,41
2016-08-01,52
2016-08-02,43
2016-08-03,42
2016-08-04,33
2016-08-05,24
2016-08-08,13
2016-08-09,16
2016-08-10,4
2016-08-11,16
2016-08-12,40
2016-08-15,41
2016-08-16,48
2016-08-17,60
2016-08-18,80
2016-08-19,66
2016-08-22,76
2016-08-23,82
2016-08-24,84
2016-08-25,93
2016-08-26,100
2016-08-29,84
2016-08-30,60
2016-08-31,58
2016-09-01,53
2016-09-02,54
2016-09-05,61
2016-09-06,54
2016-09-07,56
2016-09-08,56
2016-09-09,54
2016-09-12,50
2016-09-13,48
2016-09-14,45
2016-09-15,51
2016-09-16,30
2016-09-19,28
2016-09-20,25
2016-09-21,22
2016-09-22,20
2016-09-23,22
2016-09-26,31
2016-09-27,44
2016-09-28,43
2016-09-29,63
2016-09-30,90
2016-10-03,77
2016-10-04,62
2016-10-05,73
2016-10-06,94
2016-10-07,83
2016-10-10,73
2016-10-11,66
2016-10-12,45
2016-10-13,39
2016-10-14,27
2016-10-17,13
2016-10-18,27
2016-10-19,35
2016-10-20,46
2016-10-21,38
2016-10-24,43
2016-10-25,29
2016-10-26,35
2016-10-27,39
2016-10-28,29
2016-10-31,29
2016-11-01,14
2016-11-02,21
2016-11-03,26
2016-11-04,27
2016-11-07,40
2016-11-08,52
2016-11-09,38
2016-11-10,55
2016-11-11,67
2016-11-14,66
2016-11-15,61
2016-11-16,61
2016-11-17,63
2016-11-18,71
2016-11-21,55
2016-11-22,64
2016-11-23,67
2016-11-24,62
2016-11-25,56
2016-11-28,43
2016-11-29,37
2016-11-30,37
2016-12-01,39
2016-12-02,0
2016-12-05,32
2016-12-06,35
2016-12-07,57
2016-12-08,47
2016-12-09,38
2016-12-12,32
2016-12-13,25
2016-12-14,6
2016-12-15,53
2016-12-16,64
2016-12-19,63
2016-12-20,60
2016-12-21,63
2016-12-22,50
2016-12-23,51
2016-12-26,45
2016-12-27,49
2016-12-28,50
2016-12-29,49
2016-12-30,68
2017-01-02,63
2017-01-03,59
2017-01-04,58
2017-01-05,59
2017-01-06,43
2017-01-09,43
2017-01-10,45
2017-01-11,41
2017-01-12,26
2017-01-13,40
2017-01-16,45
2017-01-17,47
2017-01-18,52
2017-01-19,66
2017-01-20,61
2017-01-23,61
2017-01-24,57
2017-01-25,54
2017-01-26,67
2017-01-27,42
2017-01-30,40
2017-01-31,39
2017-02-01,66
2017-02-02,87
2017-02-03,94
2017-02-06,94
2017-02-07,85
2017-02-08,64
2017-02-09,64
2017-02-10,57
2017-02-13,49
2017-02-14,49
2017-02-15,47
2017-02-16,50
2017-02-17,43
2017-02-20,47
2017-02-21,47
2017-02-22,55
2017-02-23,48
2017-02-24,60
2017-02-27,64
2017-02-28,49
2017-03-01,54
2017-03-02,56
2017-03-03,53
2017-03-06,34
2017-03-07,37
2017-03-08,58
2017-03-09,55
2017-03-10,56
2017-03-13,90
2017-03-14,65
2017-03-15,77
2017-03-16,78
2017-03-17,79
2017-03-20,99
2017-03-21,91
2017-03-22,85
2017-03-23,81
2017-03-24,98
2017-03-27,85
2017-03-28,75
2017-03-29,68
2017-03-30,66
2017-03-31,73
2017-04-03,70
2017-04-04,65
2017-04-05,65
2017-04-06,73
2017-04-07,79
2017-04-10,75
2017-04-11,64
2017-04-12,68
2017-04-13,55
2017-04-14,36
2017-04-17,31
2017-04-18,24
2017-04-19,21
2017-04-20,13
2017-04-21,4
2017-04-24,24
2017-04-25,27
2017-04-26,21
2017-04-27,10
2017-04-28,5
2017-05-01,28
2017-05-02,23
2017-05-03,10
2017-05-04,0
2017-05-05,0
2017-05-08,4
2017-05-09,6
2017-05-10,6
2017-05-11,2
2017-05-12,10
2017-05-15,10
2017-05-16,18
2017-05-17,17
2017-05-18,31
2017-05-19,2
2017-05-22,3
2017-05-23,2
2017-05-24,18
2017-05-25,24
2017-05-26,49
2017-05-29,48
2017-05-30,77
2017-05-31,86
2017-06-01,71
2017-06-02,60
2017-06-05,65
2017-06-06,63
2017-06-07,40
2017-06-08,40
2017-06-09,31
2017-06-12,29
2017-06-13,26
2017-06-14,31
2017-06-15,29
2017-06-16,46
2017-06-19,46
2017-06-20,53
2017-06-21,48
2017-06-22,50
2017-06-23,35
2017-06-26,50
2017-06-27,45
2017-06-28,38
2017-06-29,46
2017-06-30,53
2017-07-03,44
2017-07-04,42
2017-07-05,55
2017-07-06,53
2017-07-07,55
2017-07-10,55
2017-07-11,53
2017-07-12,52
2017-07-13,57
2017-07-14,47
2017-07-17,40
2017-07-18,57
2017-07-19,69
2017-07-20,68
2017-07-21,71
2017-07-24,79
2017-07-25,79
2017-07-26,66
2017-07-27,59
2017-07-28,51
2017-07-31,45
2017-08-01,49
2017-08-02,57
2017-08-03,78
2017-08-04,79
2017-08-07,70
2017-08-08,72
2017-08-09,81
2017-08-10,89
2017-08-11,64
2017-08-14,53
2017-08-15,50
2017-08-16,41
2017-08-17,44
2017-08-18,75
2017-08-21,63
2017-08-22,66
2017-08-23,65
2017-08-24,74
2017-08-25,58
2017-08-28,56
2017-08-29,55
2017-08-30,45
2017-08-31,43
2017-09-01,51
2017-09-04,44
2017-09-05,49
2017-09-06,48
2017-09-07,51
2017-09-08,66
2017-09-11,64
2017-09-12,53
2017-09-13,46
2017-09-14,24
2017-09-15,25
2017-09-18,19
2017-09-19,34
2017-09-20,34
2017-09-21,37
2017-09-22,63
2017-09-25,58
2017-09-26,59
2017-09-27,58
2017-09-28,61
2017-09-29,78
2017-10-02,75
2017-10-03,88
2017-10-04,57
2017-10-05,53
2017-10-06,47
2017-10-09,34
2017-10-10,51
2017-10-11,69
2017-10-12,96
2017-10-13,78
2017-10-16,62
2017-10-17,69
2017-10-18,70
2017-10-19,48
2017-10-20,43
2017-10-23,42
2017-10-24,52
2017-10-25,51
2017-10-26,48
2017-10-27,43
2017-10-30,41
2017-10-31,22
2017-11-01,30
2017-11-02,43
2017-11-03,40
2017-11-06,38
2017-11-07,40
2017-11-08,32
2017-11-09,32
2017-11-10,40
2017-11-13,35
2017-11-14,31
2017-11-15,32
2017-11-16,39
2017-11-17,46
2017-11-20,32
2017-11-21,31
2017-11-22,36
2017-11-23,34
2017-11-24,29
2017-11-27,28
2017-11-28,34
2017-11-29,38
2017-11-30,44
2017-12-01,58
2017-12-04,56
2017-12-05,55
2017-12-06,45
2017-12-07,10
2017-12-08,23
