date,recom
2016-01-01,13
2016-01-04,10
2016-01-05,22
2016-01-06,6
2016-01-07,18
2016-01-08,33
2016-01-11,54
2016-01-12,60
2016-01-13,82
2016-01-14,91
2016-01-15,95
2016-01-18,79
2016-01-19,79
2016-01-20,93
2016-01-21,97
2016-01-22,100
2016-01-25,100
2016-01-26,76
2016-01-27,67
2016-01-28,46
2016-01-29,46
2016-02-01,54
2016-02-02,57
2016-02-03,57
2016-02-04,51
2016-02-05,49
2016-02-08,42
2016-02-09,40
2016-02-10,44
2016-02-11,41
2016-02-12,37
2016-02-15,35
2016-02-16,34
2016-02-17,9
2016-02-18,9
2016-02-19,2
2016-02-22,10
2016-02-23,11
2016-02-24,23
2016-02-25,7
2016-02-26,20
2016-02-29,28
2016-03-01,21
2016-03-02,26
2016-03-03,42
2016-03-04,46
2016-03-07,61
2016-03-08,67
2016-03-09,79
2016-03-10,85
2016-03-11,87
2016-03-14,85
2016-03-15,83
2016-03-16,87
2016-03-17,60
2016-03-18,59
2016-03-21,57
2016-03-22,57
2016-03-23,67
2016-03-24,71
2016-03-25,69
2016-03-28,69
2016-03-29,69
2016-03-30,76
2016-03-31,75
2016-04-01,74
2016-04-04,71
2016-04-05,75
2016-04-06,62
2016-04-07,51
2016-04-08,40
2016-04-11,38
2016-04-12,38
2016-04-13,35
2016-04-14,43
2016-04-15,43
2016-04-18,43
2016-04-19,55
2016-04-20,57
2016-04-21,47
2016-04-22,41
2016-04-25,49
2016-04-26,45
2016-04-27,24
2016-04-28,21
2016-04-29,49
2016-05-02,59
2016-05-03,68
2016-05-04,69
2016-05-05,73
2016-05-06,73
2016-05-09,58
2016-05-10,70
2016-05-11,68
2016-05-12,74
2016-05-13,64
2016-05-16,63
2016-05-17,59
2016-05-18,62
2016-05-19,58
2016-05-20,59
2016-05-23,56
2016-05-24,55
2016-05-25,53
2016-05-26,52
2016-05-27,36
2016-05-30,8
2016-05-31,2
2016-06-01,48
2016-06-02,47
2016-06-03,60
2016-06-06,73
2016-06-07,73
2016-06-08,46
2016-06-09,45
2016-06-10,44
2016-06-13,48
2016-06-14,52
2016-06-15,49
2016-06-16,50
2016-06-17,48
2016-06-20,46
2016-06-21,50
2016-06-22,53
2016-06-23,55
2016-06-24,53
2016-06-27,52
2016-06-28,47
2016-06-29,9
2016-06-30,7
2016-07-01,11
2016-07-04,15
2016-07-05,9
2016-07-06,25
2016-07-07,21
2016-07-08,41
2016-07-11,24
2016-07-12,18
2016-07-13,12
2016-07-14,32
2016-07-15,21
2016-07-18,63
2016-07-19,40
2016-07-20,44
2016-07-21,27
2016-07-22,18
2016-07-25,22
2016-07-26,27
2016-07-27,14
2016-07-28,22
2016-07-29,0
2016-08-01,37
2016-08-02,41
2016-08-03,66
2016-08-04,86
2016-08-05,78
2016-08-08,82
2016-08-09,77
2016-08-10,55
2016-08-11,43
2016-08-12,46
2016-08-15,44
2016-08-16,41
2016-08-17,41
2016-08-18,53
2016-08-19,54
2016-08-22,57
2016-08-23,50
2016-08-24,52
2016-08-25,52
2016-08-26,51
2016-08-29,52
2016-08-30,43
2016-08-31,27
2016-09-01,29
2016-09-02,25
2016-09-05,18
2016-09-06,13
2016-09-07,9
2016-09-08,59
2016-09-09,61
2016-09-12,69
2016-09-13,100
2016-09-14,55
2016-09-15,57
2016-09-16,52
2016-09-19,39
2016-09-20,53
2016-09-21,52
2016-09-22,54
2016-09-23,52
2016-09-26,60
2016-09-27,52
2016-09-28,51
2016-09-29,37
2016-09-30,58
2016-10-03,61
2016-10-04,61
2016-10-05,62
2016-10-06,49
2016-10-07,29
2016-10-10,14
2016-10-11,15
2016-10-12,10
2016-10-13,21
2016-10-14,22
2016-10-17,46
2016-10-18,25
2016-10-19,31
2016-10-20,36
