date,recom
2016-01-01,19
2016-01-04,24
2016-01-05,27
2016-01-06,27
2016-01-07,42
2016-01-08,44
2016-01-11,51
2016-01-12,53
2016-01-13,49
2016-01-14,42
2016-01-15,45
2016-01-18,50
2016-01-19,50
2016-01-20,59
2016-01-21,62
2016-01-22,73
2016-01-25,64
2016-01-26,64
2016-01-27,59
2016-01-28,63
2016-01-29,78
2016-02-01,78
2016-02-02,74
2016-02-03,69
2016-02-04,66
2016-02-05,62
2016-02-08,61
2016-02-09,46
2016-02-10,39
2016-02-11,41
2016-02-12,34
2016-02-15,11
2016-02-16,13
2016-02-17,10
2016-02-18,10
2016-02-19,3
2016-02-22,20
2016-02-23,26
2016-02-24,17
2016-02-25,5
2016-02-26,17
2016-02-29,17
2016-03-01,30
2016-03-02,49
2016-03-03,44
2016-03-04,46
2016-03-07,45
2016-03-08,55
2016-03-09,42
2016-03-10,58
2016-03-11,69
2016-03-14,100
2016-03-15,88
2016-03-16,74
2016-03-17,69
2016-03-18,74
2016-03-21,100
2016-03-22,92
2016-03-23,89
2016-03-24,84
2016-03-25,90
2016-03-28,100
2016-03-29,94
2016-03-30,64
2016-03-31,59
2016-04-01,84
2016-04-04,80
2016-04-05,56
2016-04-06,51
2016-04-07,52
2016-04-08,34
2016-04-11,34
2016-04-12,37
2016-04-13,31
2016-04-14,39
2016-04-15,39
2016-04-18,44
2016-04-19,37
2016-04-20,36
2016-04-21,45
2016-04-22,47
2016-04-25,54
2016-04-26,37
2016-04-27,31
2016-04-28,29
2016-04-29,41
2016-05-02,45
2016-05-03,51
2016-05-04,61
2016-05-05,61
2016-05-06,60
2016-05-09,49
2016-05-10,79
2016-05-11,86
2016-05-12,67
2016-05-13,73
2016-05-16,82
2016-05-17,68
2016-05-18,44
2016-05-19,83
2016-05-20,87
2016-05-23,82
2016-05-24,79
2016-05-25,71
2016-05-26,67
2016-05-27,55
2016-05-30,50
2016-05-31,46
2016-06-01,93
2016-06-02,89
2016-06-03,90
2016-06-06,93
2016-06-07,96
2016-06-08,60
2016-06-09,60
2016-06-10,54
2016-06-13,48
2016-06-14,49
2016-06-15,47
2016-06-16,44
2016-06-17,42
2016-06-20,43
2016-06-21,44
2016-06-22,45
2016-06-23,45
2016-06-24,44
2016-06-27,44
2016-06-28,46
2016-06-29,4
2016-06-30,6
2016-07-01,15
2016-07-04,13
2016-07-05,13
2016-07-06,14
2016-07-07,16
2016-07-08,33
2016-07-11,33
2016-07-12,36
2016-07-13,49
2016-07-14,63
2016-07-15,50
2016-07-18,46
2016-07-19,75
2016-07-20,100
2016-07-21,100
2016-07-22,77
2016-07-25,73
2016-07-26,72
2016-07-27,52
2016-07-28,53
2016-07-29,48
2016-08-01,50
2016-08-02,51
2016-08-03,62
2016-08-04,55
2016-08-05,49
2016-08-08,46
2016-08-09,44
2016-08-10,42
2016-08-11,43
2016-08-12,47
2016-08-15,47
2016-08-16,5
2016-08-17,23
2016-08-18,18
2016-08-19,2
2016-08-22,16
2016-08-23,32
2016-08-24,51
2016-08-25,51
2016-08-26,50
2016-08-29,44
2016-08-30,30
2016-08-31,28
2016-09-01,43
2016-09-02,43
2016-09-05,50
2016-09-06,54
2016-09-07,73
2016-09-08,68
2016-09-09,58
2016-09-12,73
2016-09-13,58
2016-09-14,53
2016-09-15,64
2016-09-16,70
2016-09-19,65
2016-09-20,58
2016-09-21,56
2016-09-22,44
2016-09-23,44
2016-09-26,51
2016-09-27,79
2016-09-28,65
2016-09-29,55
2016-09-30,91
2016-10-03,92
2016-10-04,87
2016-10-05,97
2016-10-06,100
2016-10-07,90
2016-10-10,52
2016-10-11,52
2016-10-12,43
2016-10-13,34
2016-10-14,54
2016-10-17,63
2016-10-18,52
2016-10-19,51
2016-10-20,46
2016-10-21,43
2016-10-24,47
2016-10-25,52
2016-10-26,49
2016-10-27,41
2016-10-28,47
2016-10-31,48
2016-11-01,52
2016-11-02,37
2016-11-03,21
2016-11-04,34
2016-11-07,45
2016-11-08,49
2016-11-09,41
2016-11-10,51
2016-11-11,55
2016-11-14,47
2016-11-15,21
2016-11-16,52
2016-11-17,84
2016-11-18,60
2016-11-21,63
2016-11-22,63
2016-11-23,57
2016-11-24,41
2016-11-25,22
2016-11-28,18
2016-11-29,17
2016-11-30,32
2016-12-01,42
2016-12-02,48
2016-12-05,44
2016-12-06,39
2016-12-07,32
2016-12-08,32
2016-12-09,22
2016-12-12,22
2016-12-13,0
2016-12-14,15
2016-12-15,1
2016-12-16,8
2016-12-19,16
2016-12-20,19
2016-12-21,20
2016-12-22,42
2016-12-23,37
2016-12-26,42
2016-12-27,43
2016-12-28,36
2016-12-29,26
2016-12-30,34
2017-01-02,31
2017-01-03,33
2017-01-04,33
2017-01-05,67
2017-01-06,61
2017-01-09,64
2017-01-10,66
2017-01-11,64
2017-01-12,55
2017-01-13,57
2017-01-16,52
2017-01-17,49
2017-01-18,57
2017-01-19,61
2017-01-20,58
2017-01-23,62
2017-01-24,71
2017-01-25,82
2017-01-26,76
2017-01-27,79
2017-01-30,82
2017-01-31,78
2017-02-01,64
2017-02-02,61
2017-02-03,75
2017-02-06,73
2017-02-07,80
2017-02-08,69
2017-02-09,69
2017-02-10,65
2017-02-13,61
2017-02-14,55
2017-02-15,51
2017-02-16,40
2017-02-17,40
2017-02-20,34
2017-02-21,25
2017-02-22,9
2017-02-23,44
2017-02-24,53
2017-02-27,60
2017-02-28,69
2017-03-01,64
2017-03-02,58
2017-03-03,47
2017-03-06,52
2017-03-07,45
2017-03-08,41
2017-03-09,41
2017-03-10,40
2017-03-13,52
2017-03-14,51
2017-03-15,67
2017-03-16,68
2017-03-17,68
2017-03-20,77
2017-03-21,66
2017-03-22,66
2017-03-23,55
2017-03-24,47
2017-03-27,33
2017-03-28,48
2017-03-29,47
2017-03-30,54
2017-03-31,61
2017-04-03,61
2017-04-04,53
2017-04-05,87
2017-04-06,86
2017-04-07,82
2017-04-10,73
2017-04-11,29
2017-04-12,40
2017-04-13,36
2017-04-14,32
2017-04-17,0
2017-04-18,0
2017-04-19,11
2017-04-20,50
2017-04-21,51
2017-04-24,50
2017-04-25,23
2017-04-26,46
2017-04-27,53
2017-04-28,29
2017-05-01,43
2017-05-02,77
2017-05-03,70
2017-05-04,64
2017-05-05,63
2017-05-08,74
2017-05-09,44
2017-05-10,47
2017-05-11,66
2017-05-12,65
2017-05-15,69
2017-05-16,65
2017-05-17,71
2017-05-18,63
2017-05-19,82
2017-05-22,87
2017-05-23,76
2017-05-24,74
2017-05-25,81
2017-05-26,84
2017-05-29,53
2017-05-30,49
2017-05-31,41
2017-06-01,41
2017-06-02,42
2017-06-05,73
2017-06-06,64
2017-06-07,63
2017-06-08,57
2017-06-09,53
2017-06-12,41
2017-06-13,45
2017-06-14,45
2017-06-15,44
2017-06-16,36
2017-06-19,0
2017-06-20,0
2017-06-21,10
2017-06-22,20
2017-06-23,15
2017-06-26,9
