date,recom
2016-01-01,29
2016-01-04,29
2016-01-05,27
2016-01-06,50
2016-01-07,54
2016-01-08,57
2016-01-11,56
2016-01-12,55
2016-01-13,38
2016-01-14,42
2016-01-15,40
2016-01-18,38
2016-01-19,38
2016-01-20,48
2016-01-21,47
2016-01-22,67
2016-01-25,86
2016-01-26,100
2016-01-27,92
2016-01-28,93
2016-01-29,97
2016-02-01,96
2016-02-02,96
2016-02-03,100
2016-02-04,91
2016-02-05,53
2016-02-08,52
2016-02-09,51
2016-02-10,50
2016-02-11,53
2016-02-12,54
2016-02-15,55
2016-02-16,53
2016-02-17,53
2016-02-18,58
2016-02-19,56
2016-02-22,51
2016-02-23,40
2016-02-24,23
2016-02-25,10
2016-02-26,7
2016-02-29,7
2016-03-01,10
2016-03-02,12
2016-03-03,20
2016-03-04,60
2016-03-07,82
2016-03-08,87
2016-03-09,89
2016-03-10,84
2016-03-11,77
2016-03-14,80
2016-03-15,63
2016-03-16,53
2016-03-17,49
2016-03-18,45
2016-03-21,44
2016-03-22,51
2016-03-23,55
2016-03-24,57
2016-03-25,59
2016-03-28,57
2016-03-29,62
2016-03-30,58
2016-03-31,62
2016-04-01,87
2016-04-04,90
2016-04-05,89
2016-04-06,90
2016-04-07,91
2016-04-08,66
2016-04-11,60
2016-04-12,59
2016-04-13,55
2016-04-14,54
2016-04-15,57
2016-04-18,48
2016-04-19,50
2016-04-20,51
2016-04-21,51
2016-04-22,58
2016-04-25,57
2016-04-26,58
2016-04-27,31
2016-04-28,20
2016-04-29,20
2016-05-02,19
2016-05-03,16
2016-05-04,13
2016-05-05,13
2016-05-06,24
2016-05-09,23
2016-05-10,26
2016-05-11,29
2016-05-12,42
2016-05-13,35
2016-05-16,16
2016-05-17,0
2016-05-18,7
2016-05-19,13
2016-05-20,15
2016-05-23,14
2016-05-24,17
2016-05-25,12
2016-05-26,4
2016-05-27,11
2016-05-30,24
2016-05-31,22
2016-06-01,62
2016-06-02,63
2016-06-03,80
2016-06-06,78
2016-06-07,82
2016-06-08,48
2016-06-09,53
2016-06-10,57
2016-06-13,55
2016-06-14,55
2016-06-15,55
2016-06-16,51
2016-06-17,51
2016-06-20,48
2016-06-21,46
2016-06-22,49
2016-06-23,50
2016-06-24,43
2016-06-27,42
2016-06-28,44
2016-06-29,8
2016-06-30,0
2016-07-01,22
2016-07-04,22
2016-07-05,21
2016-07-06,69
2016-07-07,76
2016-07-08,62
2016-07-11,70
2016-07-12,73
2016-07-13,80
2016-07-14,92
2016-07-15,78
2016-07-18,83
2016-07-19,86
2016-07-20,75
2016-07-21,74
2016-07-22,100
2016-07-25,100
2016-07-26,100
2016-07-27,95
2016-07-28,90
2016-07-29,100
2016-08-01,100
2016-08-02,99
2016-08-03,55
2016-08-04,54
2016-08-05,50
2016-08-08,91
2016-08-09,62
2016-08-10,59
2016-08-11,59
2016-08-12,62
2016-08-15,52
2016-08-16,48
2016-08-17,52
2016-08-18,52
2016-08-19,42
2016-08-22,31
2016-08-23,0
2016-08-24,17
2016-08-25,21
2016-08-26,26
2016-08-29,0
2016-08-30,0
2016-08-31,25
2016-09-01,33
2016-09-02,35
2016-09-05,0
2016-09-06,0
2016-09-07,0
2016-09-08,0
2016-09-09,8
2016-09-12,20
2016-09-13,23
2016-09-14,28
2016-09-15,49
2016-09-16,41
2016-09-19,54
2016-09-20,41
2016-09-21,52
2016-09-22,52
2016-09-23,50
2016-09-26,71
2016-09-27,70
2016-09-28,71
2016-09-29,73
2016-09-30,100
2016-10-03,96
2016-10-04,100
2016-10-05,98
2016-10-06,100
2016-10-07,97
2016-10-10,100
2016-10-11,67
2016-10-12,52
2016-10-13,46
2016-10-14,39
2016-10-17,38
2016-10-18,47
2016-10-19,59
2016-10-20,55
2016-10-21,63
2016-10-24,58
2016-10-25,69
2016-10-26,70
2016-10-27,54
2016-10-28,43
2016-10-31,45
2016-11-01,35
2016-11-02,39
2016-11-03,23
2016-11-04,43
2016-11-07,41
2016-11-08,65
2016-11-09,41
2016-11-10,45
2016-11-11,44
2016-11-14,48
2016-11-15,53
2016-11-16,57
2016-11-17,50
2016-11-18,47
2016-11-21,36
2016-11-22,26
2016-11-23,26
2016-11-24,40
2016-11-25,63
2016-11-28,64
2016-11-29,63
2016-11-30,66
2016-12-01,68
2016-12-02,57
2016-12-05,42
2016-12-06,37
2016-12-07,48
2016-12-08,49
2016-12-09,43
2016-12-12,37
2016-12-13,37
2016-12-14,38
2016-12-15,18
2016-12-16,23
2016-12-19,43
2016-12-20,43
2016-12-21,50
2016-12-22,51
2016-12-23,37
2016-12-26,15
2016-12-27,22
2016-12-28,17
2016-12-29,22
2016-12-30,18
2017-01-02,12
2017-01-03,27
2017-01-04,35
2017-01-05,47
2017-01-06,50
2017-01-09,62
2017-01-10,67
2017-01-11,62
2017-01-12,62
2017-01-13,62
2017-01-16,47
2017-01-17,46
2017-01-18,47
2017-01-19,48
2017-01-20,58
2017-01-23,65
2017-01-24,56
2017-01-25,62
2017-01-26,65
2017-01-27,65
2017-01-30,62
2017-01-31,62
2017-02-01,86
2017-02-02,71
2017-02-03,72
2017-02-06,76
2017-02-07,75
2017-02-08,89
2017-02-09,83
2017-02-10,80
2017-02-13,68
2017-02-14,61
2017-02-15,70
2017-02-16,66
2017-02-17,78
2017-02-20,64
2017-02-21,64
2017-02-22,58
2017-02-23,53
2017-02-24,65
2017-02-27,57
2017-02-28,60
2017-03-01,61
2017-03-02,65
2017-03-03,60
2017-03-06,13
2017-03-07,20
2017-03-08,1
2017-03-09,22
2017-03-10,12
2017-03-13,30
2017-03-14,41
2017-03-15,66
2017-03-16,57
2017-03-17,70
2017-03-20,76
2017-03-21,68
2017-03-22,83
2017-03-23,80
2017-03-24,91
2017-03-27,93
2017-03-28,95
2017-03-29,91
2017-03-30,95
2017-03-31,91
2017-04-03,82
2017-04-04,67
