date,recom
2016-01-01,44
2016-01-04,46
2016-01-05,52
2016-01-06,47
2016-01-07,50
2016-01-08,55
2016-01-11,57
2016-01-12,54
2016-01-13,52
2016-01-14,45
2016-01-15,40
2016-01-18,51
2016-01-19,58
2016-01-20,54
2016-01-21,56
2016-01-22,72
2016-01-25,65
2016-01-26,56
2016-01-27,60
2016-01-28,57
2016-01-29,79
2016-02-01,100
2016-02-02,88
2016-02-03,83
2016-02-04,83
2016-02-05,88
2016-02-08,100
2016-02-09,85
2016-02-10,66
2016-02-11,63
2016-02-12,65
2016-02-15,77
2016-02-16,83
2016-02-17,64
2016-02-18,64
2016-02-19,66
2016-02-22,73
2016-02-23,59
2016-02-24,57
2016-02-25,53
2016-02-26,46
2016-02-29,30
2016-03-01,49
2016-03-02,49
2016-03-03,52
2016-03-04,45
2016-03-07,47
2016-03-08,61
2016-03-09,49
2016-03-10,46
2016-03-11,37
2016-03-14,27
2016-03-15,29
2016-03-16,24
2016-03-17,29
2016-03-18,27
2016-03-21,32
2016-03-22,43
2016-03-23,41
2016-03-24,43
2016-03-25,36
2016-03-28,33
2016-03-29,23
2016-03-30,16
2016-03-31,14
2016-04-01,21
2016-04-04,33
2016-04-05,38
2016-04-06,46
2016-04-07,79
2016-04-08,51
2016-04-11,47
2016-04-12,52
2016-04-13,53
2016-04-14,67
2016-04-15,55
2016-04-18,47
2016-04-19,42
2016-04-20,52
2016-04-21,69
2016-04-22,87
2016-04-25,79
2016-04-26,81
2016-04-27,77
2016-04-28,81
2016-04-29,80
2016-05-02,86
2016-05-03,91
2016-05-04,85
2016-05-05,90
2016-05-06,99
2016-05-09,72
2016-05-10,61
2016-05-11,61
2016-05-12,54
2016-05-13,53
2016-05-16,54
2016-05-17,53
2016-05-18,48
2016-05-19,42
2016-05-20,42
2016-05-23,42
2016-05-24,37
2016-05-25,38
2016-05-26,33
2016-05-27,31
2016-05-30,14
2016-05-31,16
2016-06-01,23
2016-06-02,17
2016-06-03,0
2016-06-06,16
2016-06-07,23
2016-06-08,32
2016-06-09,33
2016-06-10,12
2016-06-13,32
2016-06-14,37
2016-06-15,33
2016-06-16,31
2016-06-17,13
2016-06-20,40
2016-06-21,48
2016-06-22,53
2016-06-23,49
2016-06-24,12
2016-06-27,34
2016-06-28,30
2016-06-29,5
2016-06-30,15
2016-07-01,45
2016-07-04,35
2016-07-05,35
2016-07-06,6
2016-07-07,11
2016-07-08,21
2016-07-11,16
2016-07-12,5
2016-07-13,36
2016-07-14,57
2016-07-15,55
2016-07-18,57
2016-07-19,59
2016-07-20,57
2016-07-21,38
2016-07-22,44
2016-07-25,38
2016-07-26,39
2016-07-27,35
2016-07-28,44
2016-07-29,39
2016-08-01,58
2016-08-02,67
2016-08-03,83
2016-08-04,78
2016-08-05,79
2016-08-08,75
2016-08-09,59
2016-08-10,50
2016-08-11,50
2016-08-12,42
2016-08-15,40
2016-08-16,35
2016-08-17,41
2016-08-18,46
2016-08-19,53
2016-08-22,56
2016-08-23,52
2016-08-24,53
2016-08-25,45
2016-08-26,47
2016-08-29,43
2016-08-30,13
2016-08-31,10
2016-09-01,12
2016-09-02,19
2016-09-05,26
2016-09-06,30
2016-09-07,44
2016-09-08,63
2016-09-09,85
2016-09-12,81
2016-09-13,90
2016-09-14,100
2016-09-15,85
2016-09-16,51
2016-09-19,64
2016-09-20,66
2016-09-21,68
2016-09-22,72
2016-09-23,70
2016-09-26,65
2016-09-27,59
2016-09-28,67
2016-09-29,70
2016-09-30,76
2016-10-03,70
2016-10-04,73
2016-10-05,68
2016-10-06,58
2016-10-07,39
2016-10-10,27
2016-10-11,28
2016-10-12,22
2016-10-13,33
2016-10-14,34
2016-10-17,35
2016-10-18,63
2016-10-19,66
2016-10-20,61
2016-10-21,71
2016-10-24,74
2016-10-25,75
2016-10-26,63
2016-10-27,55
2016-10-28,50
2016-10-31,49
2016-11-01,56
2016-11-02,48
2016-11-03,38
2016-11-04,46
2016-11-07,47
2016-11-08,47
2016-11-09,56
2016-11-10,64
2016-11-11,66
2016-11-14,67
2016-11-15,61
2016-11-16,62
2016-11-17,54
2016-11-18,37
2016-11-21,33
2016-11-22,46
2016-11-23,46
2016-11-24,39
2016-11-25,39
2016-11-28,52
2016-11-29,58
2016-11-30,60
2016-12-01,66
2016-12-02,60
2016-12-05,68
2016-12-06,60
2016-12-07,48
2016-12-08,37
2016-12-09,16
2016-12-12,2
2016-12-13,14
2016-12-14,20
2016-12-15,22
2016-12-16,29
2016-12-19,36
2016-12-20,32
2016-12-21,43
2016-12-22,45
2016-12-23,36
2016-12-26,27
2016-12-27,19
2016-12-28,18
2016-12-29,15
2016-12-30,17
2017-01-02,19
2017-01-03,28
2017-01-04,39
2017-01-05,39
2017-01-06,49
2017-01-09,44
2017-01-10,42
2017-01-11,45
2017-01-12,53
2017-01-13,41
2017-01-16,33
2017-01-17,35
2017-01-18,26
2017-01-19,31
2017-01-20,36
2017-01-23,56
2017-01-24,100
2017-01-25,100
2017-01-26,85
2017-01-27,87
2017-01-30,94
2017-01-31,100
2017-02-01,100
2017-02-02,91
2017-02-03,90
2017-02-06,69
2017-02-07,72
2017-02-08,72
2017-02-09,59
2017-02-10,58
2017-02-13,59
2017-02-14,57
2017-02-15,58
2017-02-16,57
2017-02-17,59
2017-02-20,62
2017-02-21,56
2017-02-22,51
2017-02-23,44
2017-02-24,16
2017-02-27,23
2017-02-28,16
2017-03-01,16
2017-03-02,22
2017-03-03,18
2017-03-06,26
2017-03-07,20
2017-03-08,26
2017-03-09,34
2017-03-10,31
2017-03-13,36
2017-03-14,34
2017-03-15,65
2017-03-16,64
2017-03-17,60
2017-03-20,64
2017-03-21,59
2017-03-22,51
2017-03-23,49
2017-03-24,47
2017-03-27,42
2017-03-28,45
2017-03-29,41
2017-03-30,44
2017-03-31,54
2017-04-03,55
2017-04-04,53
2017-04-05,73
2017-04-06,73
2017-04-07,79
2017-04-10,66
2017-04-11,31
2017-04-12,22
2017-04-13,17
2017-04-14,14
2017-04-17,10
2017-04-18,7
2017-04-19,49
2017-04-20,33
2017-04-21,53
2017-04-24,58
2017-04-25,61
2017-04-26,69
2017-04-27,78
2017-04-28,65
2017-05-01,45
2017-05-02,35
2017-05-03,29
2017-05-04,44
2017-05-05,88
2017-05-08,81
2017-05-09,86
2017-05-10,83
2017-05-11,85
2017-05-12,58
2017-05-15,47
2017-05-16,44
2017-05-17,45
2017-05-18,53
2017-05-19,57
2017-05-22,57
2017-05-23,48
2017-05-24,50
2017-05-25,50
2017-05-26,64
2017-05-29,57
2017-05-30,58
2017-05-31,55
2017-06-01,62
2017-06-02,49
2017-06-05,44
2017-06-06,40
2017-06-07,39
2017-06-08,31
2017-06-09,39
2017-06-12,45
2017-06-13,48
2017-06-14,47
2017-06-15,47
2017-06-16,41
2017-06-19,44
2017-06-20,44
2017-06-21,43
2017-06-22,42
2017-06-23,37
2017-06-26,34
2017-06-27,34
2017-06-28,39
2017-06-29,2
2017-06-30,22
2017-07-03,29
2017-07-04,22
2017-07-05,19
2017-07-06,45
2017-07-07,40
2017-07-10,44
2017-07-11,34
2017-07-12,33
2017-07-13,6
2017-07-14,42
2017-07-17,39
2017-07-18,38
2017-07-19,30
2017-07-20,36
2017-07-21,44
2017-07-24,47
2017-07-25,44
2017-07-26,48
2017-07-27,45
2017-07-28,55
2017-07-31,65
2017-08-01,63
2017-08-02,66
2017-08-03,67
2017-08-04,80
2017-08-07,59
2017-08-08,56
2017-08-09,56
2017-08-10,60
2017-08-11,61
2017-08-14,61
2017-08-15,55
2017-08-16,56
2017-08-17,56
2017-08-18,55
2017-08-21,47
2017-08-22,44
2017-08-23,44
2017-08-24,31
2017-08-25,0
2017-08-28,5
2017-08-29,16
2017-08-30,23
2017-08-31,23
2017-09-01,26
2017-09-04,26
2017-09-05,40
2017-09-06,46
2017-09-07,36
2017-09-08,30
2017-09-11,13
2017-09-12,27
2017-09-13,34
2017-09-14,43
2017-09-15,40
2017-09-18,83
2017-09-19,84
2017-09-20,82
2017-09-21,78
2017-09-22,79
2017-09-25,84
2017-09-26,83
2017-09-27,78
2017-09-28,72
2017-09-29,86
2017-10-02,81
2017-10-03,88
2017-10-04,100
2017-10-05,83
2017-10-06,59
2017-10-09,58
2017-10-10,76
2017-10-11,100
2017-10-12,86
2017-10-13,66
2017-10-16,59
2017-10-17,63
2017-10-18,49
2017-10-19,61
2017-10-20,47
2017-10-23,44
2017-10-24,64
2017-10-25,59
2017-10-26,90
2017-10-27,77
2017-10-30,94
2017-10-31,92
2017-11-01,96
2017-11-02,77
2017-11-03,63
2017-11-06,56
2017-11-07,57
2017-11-08,54
2017-11-09,54
2017-11-10,52
2017-11-13,49
2017-11-14,51
2017-11-15,52
2017-11-16,55
2017-11-17,50
2017-11-20,49
2017-11-21,48
2017-11-22,0
2017-11-23,2
2017-11-24,0
2017-11-27,0
2017-11-28,0
2017-11-29,0
2017-11-30,0
2017-12-01,3
2017-12-04,13
2017-12-05,19
2017-12-06,14
2017-12-07,2
2017-12-08,9
2017-12-11,21
2017-12-12,25
2017-12-13,20
2017-12-14,3
2017-12-15,36
2017-12-18,49
2017-12-19,54
2017-12-20,55
2017-12-21,65
2017-12-22,57
2017-12-25,55
2017-12-26,53
2017-12-27,47
2017-12-28,38
2017-12-29,40
2018-01-01,40
2018-01-02,41
2018-01-03,42
2018-01-04,46
2018-01-05,48
2018-01-08,44
2018-01-09,45
2018-01-10,43
2018-01-11,38
2018-01-12,32
2018-01-15,17
2018-01-16,40
2018-01-17,49
2018-01-18,61
2018-01-19,71
2018-01-22,85
2018-01-23,88
2018-01-24,84
2018-01-25,60
2018-01-26,58
2018-01-29,56
2018-01-30,61
2018-01-31,61
2018-02-01,65
2018-02-02,73
2018-02-05,64
2018-02-06,69
2018-02-07,70
2018-02-08,76
2018-02-09,60
2018-02-12,53
2018-02-13,45
2018-02-14,36
2018-02-15,0
2018-02-16,16
2018-02-19,9
2018-02-20,27
2018-02-21,29
2018-02-22,36
2018-02-23,45
2018-02-26,41
2018-02-27,32
2018-02-28,27
2018-03-01,22
2018-03-02,19
2018-03-05,19
2018-03-06,36
2018-03-07,39
2018-03-08,52
2018-03-09,67
2018-03-12,70
2018-03-13,71
2018-03-14,72
2018-03-15,54
2018-03-16,40
2018-03-19,47
2018-03-20,47
2018-03-21,46
2018-03-22,51
2018-03-23,55
2018-03-26,57
2018-03-27,81
2018-03-28,84
2018-03-29,79
2018-03-30,88
2018-04-02,90
2018-04-03,94
2018-04-04,88
2018-04-05,83
2018-04-06,91
2018-04-09,90
2018-04-10,84
2018-04-11,82
2018-04-12,79
2018-04-13,75
2018-04-16,67
2018-04-17,70
2018-04-18,61
2018-04-19,61
2018-04-20,55
2018-04-23,54
2018-04-24,57
2018-04-25,53
2018-04-26,34
2018-04-27,0
2018-04-30,0
2018-05-01,0
2018-05-02,0
2018-05-03,0
2018-05-04,4
2018-05-07,1
2018-05-08,7
2018-05-09,43
2018-05-10,50
2018-05-11,52
2018-05-14,58
2018-05-15,62
2018-05-16,46
2018-05-17,47
2018-05-18,48
2018-05-21,48
2018-05-22,53
2018-05-23,49
2018-05-24,51
2018-05-25,53
2018-05-28,53
2018-05-29,51
2018-05-30,53
2018-05-31,54
2018-06-01,58
2018-06-04,62
2018-06-05,39
2018-06-06,34
2018-06-07,22
2018-06-08,18
2018-06-11,23
2018-06-12,25
2018-06-13,50
2018-06-14,39
2018-06-15,35
2018-06-18,61
2018-06-19,57
2018-06-20,65
2018-06-21,76
2018-06-22,77
2018-06-25,71
2018-06-26,69
2018-06-27,58
2018-06-28,56
2018-06-29,53
2018-07-02,48
2018-07-03,73
2018-07-04,66
2018-07-05,64
2018-07-06,57
2018-07-09,80
2018-07-10,49
2018-07-11,49
2018-07-12,51
2018-07-13,56
2018-07-16,40
2018-07-17,44
2018-07-18,42
2018-07-19,41
2018-07-20,28
2018-07-23,36
2018-07-24,42
2018-07-25,46
2018-07-26,43
2018-07-27,45
2018-07-30,54
2018-07-31,48
2018-08-01,50
2018-08-02,53
2018-08-03,59
2018-08-06,47
2018-08-07,55
2018-08-08,54
2018-08-09,53
2018-08-10,94
2018-08-13,100
2018-08-14,67
2018-08-15,65
2018-08-16,64
2018-08-17,95
2018-08-20,57
2018-08-21,51
2018-08-22,52
2018-08-23,55
2018-08-24,50
2018-08-27,36
2018-08-28,33
2018-08-29,32
2018-08-30,38
2018-08-31,34
2018-09-03,40
2018-09-04,45
2018-09-05,45
2018-09-06,49
2018-09-07,20
2018-09-10,10
2018-09-11,0
2018-09-12,0
2018-09-13,0
2018-09-14,19
2018-09-17,0
2018-09-18,0
2018-09-19,0
2018-09-20,0
2018-09-21,27
2018-09-24,50
2018-09-25,60
2018-09-26,71
2018-09-27,68
2018-09-28,63
2018-10-01,64
2018-10-02,70
2018-10-03,72
2018-10-04,67
2018-10-05,87
2018-10-08,100
2018-10-09,88
2018-10-10,88
2018-10-11,89
2018-10-12,65
2018-10-15,65
2018-10-16,69
2018-10-17,70
2018-10-18,63
2018-10-19,63
2018-10-22,56
2018-10-23,47
2018-10-24,41
2018-10-25,46
2018-10-26,48
2018-10-29,57
2018-10-30,76
2018-10-31,78
2018-11-01,72
2018-11-02,65
2018-11-05,67
2018-11-06,44
2018-11-07,44
2018-11-08,39
2018-11-09,39
2018-11-12,40
2018-11-13,37
2018-11-14,37
2018-11-15,36
2018-11-16,43
2018-11-19,48
2018-11-20,51
2018-11-21,50
2018-11-22,41
2018-11-23,37
2018-11-26,37
2018-11-27,23
2018-11-28,24
2018-11-29,21
2018-11-30,10
2018-12-03,20
2018-12-04,39
2018-12-05,43
2018-12-06,100
2018-12-07,49
2018-12-10,51
2018-12-11,48
2018-12-12,55
2018-12-13,67
2018-12-14,66
2018-12-17,45
2018-12-18,46
2018-12-19,27
2018-12-20,23
2018-12-21,31
2018-12-24,40
2018-12-25,27
2018-12-26,23
2018-12-27,18
2018-12-28,17
2018-12-31,18
2019-01-01,23
2019-01-02,0
2019-01-03,0
2019-01-04,26
2019-01-07,37
2019-01-08,47
2019-01-09,43
2019-01-10,38
2019-01-11,39
2019-01-14,33
2019-01-15,35
2019-01-16,41
2019-01-17,39
2019-01-18,42
2019-01-21,39
2019-01-22,44
2019-01-23,50
2019-01-24,52
2019-01-25,57
2019-01-28,69
2019-01-29,78
2019-01-30,77
2019-01-31,77
2019-02-01,85
2019-02-04,91
2019-02-05,86
2019-02-06,83
2019-02-07,75
2019-02-08,48
2019-02-11,47
2019-02-12,45
2019-02-13,47
2019-02-14,42
2019-02-15,47
2019-02-18,50
2019-02-19,52
2019-02-20,53
2019-02-21,47
2019-02-22,51
2019-02-25,48
2019-02-26,43
2019-02-27,42
2019-02-28,24
2019-03-01,10
2019-03-04,12
2019-03-05,20
2019-03-06,25
2019-03-07,27
2019-03-08,62
2019-03-11,89
2019-03-12,88
2019-03-13,100
2019-03-14,100
2019-03-15,88
2019-03-18,90
2019-03-19,89
2019-03-20,92
2019-03-21,82
2019-03-22,80
2019-03-25,72
2019-03-26,52
2019-03-27,50
2019-03-28,52
2019-03-29,67
2019-04-01,50
2019-04-02,50
2019-04-03,34
2019-04-04,3
2019-04-05,30
2019-04-08,33
2019-04-09,32
2019-04-10,19
2019-04-11,14
2019-04-12,0
2019-04-15,0
2019-04-16,9
2019-04-17,29
2019-04-18,31
2019-04-19,40
2019-04-22,61
2019-04-23,60
2019-04-24,56
2019-04-25,55
2019-04-26,46
2019-04-29,42
2019-04-30,34
2019-05-01,41
2019-05-02,53
2019-05-03,75
2019-05-06,77
2019-05-07,84
2019-05-08,97
2019-05-09,93
2019-05-10,98
2019-05-13,95
2019-05-14,91
2019-05-15,61
2019-05-16,56
2019-05-17,49
2019-05-20,57
2019-05-21,65
2019-05-22,68
2019-05-23,66
2019-05-24,89
2019-05-27,90
2019-05-28,78
2019-05-29,72
2019-05-30,72
2019-05-31,62
2019-06-03,37
2019-06-04,39
2019-06-05,37
2019-06-06,37
2019-06-07,34
2019-06-10,38
2019-06-11,30
2019-06-12,37
2019-06-13,39
2019-06-14,38
2019-06-17,39
2019-06-18,27
2019-06-19,32
2019-06-20,34
2019-06-21,17
2019-06-24,21
2019-06-25,24
2019-06-26,16
2019-06-27,7
2019-06-28,16
2019-07-01,25
2019-07-02,27
2019-07-03,13
2019-07-04,23
2019-07-05,28
2019-07-08,33
2019-07-09,34
2019-07-10,33
2019-07-11,46
2019-07-12,56
2019-07-15,56
2019-07-16,57
2019-07-17,53
2019-07-18,38
2019-07-19,29
2019-07-22,27
2019-07-23,26
2019-07-24,30
2019-07-25,50
2019-07-26,57
2019-07-29,61
2019-07-30,85
2019-07-31,99
2019-08-01,91
2019-08-02,84
2019-08-05,90
2019-08-06,100
2019-08-07,100
2019-08-08,89
2019-08-09,79
2019-08-12,69
2019-08-13,87
2019-08-14,72
2019-08-15,60
2019-08-16,55
2019-08-19,53
2019-08-20,51
2019-08-21,49
2019-08-22,44
2019-08-23,39
2019-08-26,44
2019-08-27,37
2019-08-28,40
2019-08-29,38
2019-08-30,39
2019-09-02,29
2019-09-03,44
2019-09-04,35
2019-09-05,33
2019-09-06,35
2019-09-09,39
2019-09-10,40
2019-09-11,45
2019-09-12,55
2019-09-13,68
2019-09-16,55
2019-09-17,58
2019-09-18,64
2019-09-19,57
2019-09-20,59
2019-09-23,75
2019-09-24,82
2019-09-25,82
2019-09-26,83
2019-09-27,78
2019-09-30,61
2019-10-01,51
2019-10-02,56
2019-10-03,44
2019-10-04,60
2019-10-07,48
2019-10-08,52
2019-10-09,49
2019-10-10,50
2019-10-11,55
2019-10-14,53
2019-10-15,51
2019-10-16,50
2019-10-17,45
2019-10-18,43
2019-10-21,9
2019-10-22,0
2019-10-23,0
2019-10-24,15
2019-10-25,19
2019-10-28,33
2019-10-29,41
2019-10-30,47
2019-10-31,44
2019-11-01,48
2019-11-04,29
2019-11-05,38
2019-11-06,35
2019-11-07,39
2019-11-08,37
2019-11-11,55
2019-11-12,65
2019-11-13,65
2019-11-14,77
2019-11-15,80
2019-11-18,89
2019-11-19,74
2019-11-20,75
2019-11-21,71
2019-11-22,53
2019-11-25,44
2019-11-26,49
2019-11-27,89
2019-11-28,91
2019-11-29,88
2019-12-02,93
2019-12-03,91
2019-12-04,52
2019-12-05,52
2019-12-06,52
2019-12-09,50
2019-12-10,48
2019-12-11,47
2019-12-12,45
2019-12-13,42
2019-12-16,42
2019-12-17,42
2019-12-18,43
2019-12-19,43
2019-12-20,44
2019-12-23,47
2019-12-24,46
2019-12-25,4
2019-12-26,1
2019-12-27,0
2019-12-30,2
2019-12-31,2
2020-01-01,17
2020-01-02,7
2020-01-03,0
2020-01-06,11
2020-01-07,10
2020-01-08,9
2020-01-09,26
2020-01-10,46
2020-01-13,53
2020-01-14,47
2020-01-15,45
2020-01-16,48
2020-01-17,39
2020-01-20,37
2020-01-21,44
2020-01-22,57
2020-01-23,63
2020-01-24,68
2020-01-27,100
2020-01-28,100
2020-01-29,100
