date,recom
2016-01-01,45
2016-01-04,40
2016-01-05,0
2016-01-06,0
2016-01-07,10
2016-01-08,12
2016-01-11,21
2016-01-12,39
2016-01-13,47
2016-01-14,44
2016-01-15,45
2016-01-18,40
2016-01-19,43
2016-01-20,46
2016-01-21,52
2016-01-22,64
2016-01-25,76
2016-01-26,81
2016-01-27,100
2016-01-28,100
2016-01-29,83
2016-02-01,83
2016-02-02,83
2016-02-03,78
2016-02-04,68
2016-02-05,47
2016-02-08,34
2016-02-09,22
2016-02-10,29
2016-02-11,43
2016-02-12,56
2016-02-15,59
2016-02-16,60
2016-02-17,63
2016-02-18,65
2016-02-19,60
2016-02-22,47
2016-02-23,50
2016-02-24,46
2016-02-25,43
2016-02-26,51
2016-02-29,61
2016-03-01,84
2016-03-02,88
2016-03-03,89
2016-03-04,100
2016-03-07,99
2016-03-08,98
2016-03-09,66
2016-03-10,52
2016-03-11,49
2016-03-14,48
2016-03-15,54
2016-03-16,49
2016-03-17,45
2016-03-18,45
2016-03-21,46
2016-03-22,55
2016-03-23,51
2016-03-24,49
2016-03-25,49
2016-03-28,49
2016-03-29,45
2016-03-30,17
2016-03-31,15
2016-04-01,21
2016-04-04,23
2016-04-05,35
2016-04-06,53
2016-04-07,54
2016-04-08,43
2016-04-11,36
2016-04-12,42
2016-04-13,37
2016-04-14,45
2016-04-15,48
2016-04-18,51
2016-04-19,48
2016-04-20,52
2016-04-21,45
2016-04-22,26
2016-04-25,33
2016-04-26,27
2016-04-27,4
2016-04-28,11
2016-04-29,26
2016-05-02,28
2016-05-03,32
2016-05-04,43
2016-05-05,44
2016-05-06,27
2016-05-09,51
2016-05-10,56
2016-05-11,68
2016-05-12,59
2016-05-13,55
2016-05-16,19
2016-05-17,46
2016-05-18,65
2016-05-19,62
2016-05-20,67
2016-05-23,77
2016-05-24,91
2016-05-25,90
2016-05-26,97
2016-05-27,80
2016-05-30,77
2016-05-31,50
2016-06-01,51
2016-06-02,53
2016-06-03,58
2016-06-06,56
2016-06-07,53
2016-06-08,52
2016-06-09,48
2016-06-10,48
2016-06-13,52
2016-06-14,52
2016-06-15,49
2016-06-16,51
2016-06-17,49
2016-06-20,42
2016-06-21,0
2016-06-22,0
2016-06-23,7
2016-06-24,5
2016-06-27,0
2016-06-28,19
2016-06-29,51
2016-06-30,52
2016-07-01,62
2016-07-04,82
2016-07-05,81
2016-07-06,84
2016-07-07,85
2016-07-08,88
2016-07-11,60
2016-07-12,42
2016-07-13,38
2016-07-14,44
2016-07-15,42
2016-07-18,40
2016-07-19,40
2016-07-20,40
2016-07-21,51
2016-07-22,52
2016-07-25,50
2016-07-26,48
2016-07-27,43
2016-07-28,50
2016-07-29,41
2016-08-01,24
2016-08-02,23
2016-08-03,36
2016-08-04,40
2016-08-05,46
2016-08-08,55
2016-08-09,63
2016-08-10,55
2016-08-11,54
2016-08-12,60
2016-08-15,67
