date,recom
2016-01-01,24
2016-01-04,21
2016-01-05,14
2016-01-06,30
2016-01-07,46
2016-01-08,52
2016-01-11,50
2016-01-12,32
2016-01-13,28
2016-01-14,30
2016-01-15,28
2016-01-18,27
2016-01-19,35
2016-01-20,43
2016-01-21,41
2016-01-22,61
2016-01-25,92
2016-01-26,73
2016-01-27,77
2016-01-28,85
2016-01-29,84
2016-02-01,82
2016-02-02,97
2016-02-03,77
2016-02-04,79
2016-02-05,76
2016-02-08,67
2016-02-09,73
2016-02-10,81
2016-02-11,72
2016-02-12,84
2016-02-15,85
2016-02-16,75
2016-02-17,76
2016-02-18,70
2016-02-19,64
2016-02-22,54
2016-02-23,38
2016-02-24,39
2016-02-25,21
2016-02-26,57
2016-02-29,52
2016-03-01,59
2016-03-02,40
2016-03-03,39
2016-03-04,37
2016-03-07,44
2016-03-08,42
2016-03-09,34
2016-03-10,34
2016-03-11,39
2016-03-14,35
2016-03-15,34
2016-03-16,24
2016-03-17,26
2016-03-18,41
2016-03-21,44
2016-03-22,45
2016-03-23,27
2016-03-24,28
2016-03-25,0
2016-03-28,0
2016-03-29,3
2016-03-30,0
2016-03-31,2
2016-04-01,12
2016-04-04,21
2016-04-05,27
2016-04-06,33
2016-04-07,46
2016-04-08,4
2016-04-11,36
2016-04-12,40
2016-04-13,44
2016-04-14,39
2016-04-15,16
2016-04-18,0
2016-04-19,26
2016-04-20,31
2016-04-21,65
2016-04-22,74
2016-04-25,58
2016-04-26,61
2016-04-27,55
2016-04-28,35
2016-04-29,43
2016-05-02,49
2016-05-03,37
2016-05-04,23
2016-05-05,43
2016-05-06,44
2016-05-09,34
2016-05-10,24
2016-05-11,21
2016-05-12,50
2016-05-13,30
2016-05-16,5
2016-05-17,0
2016-05-18,0
2016-05-19,44
2016-05-20,61
2016-05-23,51
2016-05-24,53
2016-05-25,51
2016-05-26,41
2016-05-27,35
2016-05-30,47
2016-05-31,44
2016-06-01,59
2016-06-02,67
2016-06-03,66
2016-06-06,71
2016-06-07,69
2016-06-08,50
2016-06-09,48
2016-06-10,58
2016-06-13,85
2016-06-14,83
2016-06-15,71
2016-06-16,61
2016-06-17,46
2016-06-20,33
2016-06-21,24
2016-06-22,29
2016-06-23,41
2016-06-24,39
2016-06-27,25
2016-06-28,25
2016-06-29,32
2016-06-30,33
2016-07-01,38
2016-07-04,48
2016-07-05,38
2016-07-06,45
2016-07-07,45
2016-07-08,39
2016-07-11,23
2016-07-12,16
2016-07-13,11
2016-07-14,27
2016-07-15,35
2016-07-18,64
2016-07-19,69
2016-07-20,86
2016-07-21,85
2016-07-22,79
2016-07-25,54
2016-07-26,47
2016-07-27,45
2016-07-28,87
2016-07-29,85
2016-08-01,73
2016-08-02,70
2016-08-03,100
2016-08-04,62
2016-08-05,55
2016-08-08,55
2016-08-09,52
2016-08-10,58
2016-08-11,59
2016-08-12,52
2016-08-15,43
2016-08-16,41
2016-08-17,41
2016-08-18,25
2016-08-19,36
2016-08-22,47
2016-08-23,49
2016-08-24,47
2016-08-25,0
2016-08-26,0
2016-08-29,0
2016-08-30,0
2016-08-31,0
2016-09-01,11
2016-09-02,0
2016-09-05,0
2016-09-06,0
2016-09-07,12
2016-09-08,22
2016-09-09,27
2016-09-12,38
2016-09-13,49
2016-09-14,47
2016-09-15,51
2016-09-16,54
2016-09-19,73
2016-09-20,72
2016-09-21,84
2016-09-22,100
2016-09-23,81
2016-09-26,62
2016-09-27,57
2016-09-28,57
