date,recom
2016-01-01,65
2016-01-04,55
2016-01-05,59
2016-01-06,57
2016-01-07,63
2016-01-08,57
2016-01-11,53
2016-01-12,46
2016-01-13,43
2016-01-14,30
2016-01-15,25
2016-01-18,27
2016-01-19,47
2016-01-20,52
2016-01-21,60
2016-01-22,82
2016-01-25,71
2016-01-26,51
2016-01-27,48
2016-01-28,38
2016-01-29,45
2016-02-01,64
2016-02-02,55
2016-02-03,53
2016-02-04,54
2016-02-05,55
2016-02-08,65
2016-02-09,69
2016-02-10,64
2016-02-11,57
2016-02-12,69
2016-02-15,66
2016-02-16,57
2016-02-17,43
2016-02-18,44
2016-02-19,35
2016-02-22,22
2016-02-23,34
2016-02-24,42
2016-02-25,29
2016-02-26,17
2016-02-29,30
2016-03-01,54
2016-03-02,61
2016-03-03,59
2016-03-04,66
2016-03-07,68
2016-03-08,68
2016-03-09,52
2016-03-10,45
2016-03-11,56
2016-03-14,79
2016-03-15,78
2016-03-16,76
2016-03-17,71
2016-03-18,88
2016-03-21,92
2016-03-22,100
2016-03-23,83
2016-03-24,75
2016-03-25,75
2016-03-28,85
2016-03-29,65
2016-03-30,61
2016-03-31,61
2016-04-01,72
2016-04-04,68
2016-04-05,71
2016-04-06,78
2016-04-07,60
2016-04-08,41
2016-04-11,27
2016-04-12,29
2016-04-13,22
2016-04-14,0
2016-04-15,15
2016-04-18,0
2016-04-19,17
2016-04-20,35
2016-04-21,4
2016-04-22,34
2016-04-25,53
2016-04-26,5
2016-04-27,6
2016-04-28,20
2016-04-29,17
2016-05-02,16
2016-05-03,6
2016-05-04,25
2016-05-05,19
2016-05-06,16
2016-05-09,22
2016-05-10,8
2016-05-11,63
2016-05-12,68
2016-05-13,88
2016-05-16,85
2016-05-17,83
2016-05-18,76
2016-05-19,46
2016-05-20,42
2016-05-23,44
2016-05-24,39
2016-05-25,42
2016-05-26,39
2016-05-27,51
2016-05-30,55
2016-05-31,52
2016-06-01,51
2016-06-02,37
2016-06-03,42
2016-06-06,52
2016-06-07,51
2016-06-08,53
2016-06-09,44
2016-06-10,33
2016-06-13,24
2016-06-14,26
2016-06-15,17
2016-06-16,26
2016-06-17,34
2016-06-20,32
2016-06-21,34
2016-06-22,33
2016-06-23,37
2016-06-24,32
2016-06-27,33
2016-06-28,39
2016-06-29,44
2016-06-30,50
2016-07-01,68
2016-07-04,60
2016-07-05,57
2016-07-06,54
2016-07-07,58
2016-07-08,51
2016-07-11,36
2016-07-12,38
2016-07-13,45
2016-07-14,66
2016-07-15,76
2016-07-18,68
2016-07-19,71
2016-07-20,71
2016-07-21,74
2016-07-22,88
2016-07-25,65
2016-07-26,69
2016-07-27,69
2016-07-28,82
2016-07-29,80
2016-08-01,65
2016-08-02,52
2016-08-03,50
2016-08-04,57
2016-08-05,54
2016-08-08,61
2016-08-09,59
2016-08-10,50
2016-08-11,51
2016-08-12,46
2016-08-15,28
2016-08-16,24
2016-08-17,26
2016-08-18,30
2016-08-19,0
2016-08-22,22
2016-08-23,4
2016-08-24,0
2016-08-25,0
2016-08-26,0
2016-08-29,12
2016-08-30,4
2016-08-31,5
2016-09-01,31
2016-09-02,45
2016-09-05,43
2016-09-06,42
2016-09-07,49
2016-09-08,51
2016-09-09,38
2016-09-12,55
2016-09-13,51
2016-09-14,41
2016-09-15,55
2016-09-16,54
2016-09-19,79
2016-09-20,78
2016-09-21,83
2016-09-22,88
