date,recom
2016-01-01,0
2016-01-04,0
2016-01-05,12
2016-01-06,23
2016-01-07,35
2016-01-08,52
2016-01-11,60
2016-01-12,62
2016-01-13,63
2016-01-14,66
2016-01-15,63
2016-01-18,50
2016-01-19,47
2016-01-20,51
2016-01-21,56
2016-01-22,75
2016-01-25,73
2016-01-26,74
2016-01-27,79
2016-01-28,100
2016-01-29,87
2016-02-01,87
2016-02-02,82
2016-02-03,81
2016-02-04,84
2016-02-05,100
2016-02-08,73
2016-02-09,55
2016-02-10,52
2016-02-11,52
2016-02-12,63
2016-02-15,67
2016-02-16,69
2016-02-17,66
2016-02-18,63
2016-02-19,66
2016-02-22,62
2016-02-23,53
2016-02-24,51
2016-02-25,41
2016-02-26,10
2016-02-29,13
2016-03-01,30
2016-03-02,41
2016-03-03,45
2016-03-04,52
2016-03-07,61
2016-03-08,92
2016-03-09,66
2016-03-10,50
2016-03-11,45
2016-03-14,47
2016-03-15,48
2016-03-16,37
2016-03-17,36
2016-03-18,35
2016-03-21,37
2016-03-22,42
2016-03-23,35
2016-03-24,37
2016-03-25,41
2016-03-28,40
2016-03-29,39
2016-03-30,0
2016-03-31,2
2016-04-01,18
2016-04-04,26
2016-04-05,24
2016-04-06,39
2016-04-07,43
2016-04-08,36
2016-04-11,62
2016-04-12,68
2016-04-13,75
2016-04-14,97
2016-04-15,93
2016-04-18,100
2016-04-19,100
2016-04-20,90
2016-04-21,99
2016-04-22,100
2016-04-25,100
2016-04-26,98
2016-04-27,95
2016-04-28,100
2016-04-29,100
2016-05-02,100
2016-05-03,100
2016-05-04,63
2016-05-05,57
2016-05-06,55
2016-05-09,48
2016-05-10,40
2016-05-11,36
2016-05-12,33
2016-05-13,41
2016-05-16,37
2016-05-17,23
2016-05-18,24
2016-05-19,48
2016-05-20,41
2016-05-23,39
2016-05-24,18
2016-05-25,7
2016-05-26,18
2016-05-27,16
2016-05-30,23
2016-05-31,19
2016-06-01,25
2016-06-02,43
2016-06-03,45
2016-06-06,50
2016-06-07,47
2016-06-08,34
2016-06-09,42
2016-06-10,30
2016-06-13,27
2016-06-14,14
2016-06-15,16
2016-06-16,24
2016-06-17,24
2016-06-20,32
2016-06-21,42
2016-06-22,50
2016-06-23,61
2016-06-24,46
2016-06-27,51
2016-06-28,50
2016-06-29,46
2016-06-30,51
2016-07-01,68
2016-07-04,64
2016-07-05,56
2016-07-06,54
2016-07-07,53
2016-07-08,48
2016-07-11,43
2016-07-12,41
2016-07-13,49
2016-07-14,48
2016-07-15,39
2016-07-18,37
2016-07-19,37
2016-07-20,27
2016-07-21,29
2016-07-22,37
2016-07-25,27
2016-07-26,28
2016-07-27,39
2016-07-28,48
2016-07-29,57
2016-08-01,63
2016-08-02,68
2016-08-03,89
2016-08-04,96
2016-08-05,72
2016-08-08,65
2016-08-09,62
2016-08-10,52
2016-08-11,54
2016-08-12,51
2016-08-15,49
2016-08-16,47
2016-08-17,52
2016-08-18,53
2016-08-19,56
2016-08-22,56
2016-08-23,51
2016-08-24,42
2016-08-25,39
2016-08-26,12
2016-08-29,3
2016-08-30,6
2016-08-31,24
2016-09-01,23
2016-09-02,24
2016-09-05,34
2016-09-06,42
2016-09-07,67
2016-09-08,79
2016-09-09,91
2016-09-12,86
2016-09-13,60
2016-09-14,63
2016-09-15,52
2016-09-16,56
2016-09-19,100
2016-09-20,100
2016-09-21,79
2016-09-22,73
2016-09-23,65
2016-09-26,50
2016-09-27,51
2016-09-28,38
2016-09-29,39
2016-09-30,42
2016-10-03,27
2016-10-04,24
2016-10-05,34
2016-10-06,33
2016-10-07,27
2016-10-10,22
2016-10-11,18
