date,recom
2016-01-01,83
2016-01-04,85
2016-01-05,82
2016-01-06,62
2016-01-07,50
2016-01-08,48
2016-01-11,38
2016-01-12,50
2016-01-13,60
2016-01-14,62
2016-01-15,58
2016-01-18,58
2016-01-19,67
2016-01-20,55
2016-01-21,52
2016-01-22,53
2016-01-25,56
2016-01-26,31
2016-01-27,35
2016-01-28,36
2016-01-29,50
2016-02-01,55
2016-02-02,66
2016-02-03,74
2016-02-04,78
2016-02-05,87
2016-02-08,68
2016-02-09,57
2016-02-10,43
2016-02-11,36
2016-02-12,30
2016-02-15,36
2016-02-16,44
2016-02-17,43
2016-02-18,47
2016-02-19,47
2016-02-22,49
2016-02-23,47
2016-02-24,51
2016-02-25,65
2016-02-26,80
2016-02-29,83
2016-03-01,83
2016-03-02,79
2016-03-03,75
2016-03-04,49
2016-03-07,51
2016-03-08,47
2016-03-09,47
2016-03-10,48
2016-03-11,53
2016-03-14,52
2016-03-15,45
2016-03-16,43
2016-03-17,43
2016-03-18,48
2016-03-21,51
2016-03-22,47
2016-03-23,46
2016-03-24,34
2016-03-25,7
2016-03-28,0
2016-03-29,7
2016-03-30,10
2016-03-31,12
2016-04-01,55
2016-04-04,62
2016-04-05,56
2016-04-06,62
2016-04-07,69
2016-04-08,55
2016-04-11,89
2016-04-12,96
2016-04-13,81
2016-04-14,100
2016-04-15,83
2016-04-18,75
2016-04-19,60
2016-04-20,44
2016-04-21,37
2016-04-22,36
2016-04-25,43
2016-04-26,34
2016-04-27,31
2016-04-28,14
2016-04-29,16
2016-05-02,15
2016-05-03,6
2016-05-04,11
2016-05-05,22
2016-05-06,35
2016-05-09,20
2016-05-10,32
2016-05-11,31
2016-05-12,33
2016-05-13,29
2016-05-16,38
2016-05-17,14
2016-05-18,73
2016-05-19,67
2016-05-20,67
2016-05-23,67
2016-05-24,63
2016-05-25,52
2016-05-26,45
2016-05-27,59
2016-05-30,50
2016-05-31,71
2016-06-01,95
2016-06-02,92
2016-06-03,95
2016-06-06,89
2016-06-07,87
2016-06-08,47
2016-06-09,47
2016-06-10,49
2016-06-13,48
2016-06-14,48
2016-06-15,46
2016-06-16,46
2016-06-17,43
2016-06-20,43
2016-06-21,43
2016-06-22,46
2016-06-23,47
2016-06-24,47
2016-06-27,48
2016-06-28,43
2016-06-29,4
2016-06-30,7
2016-07-01,11
2016-07-04,9
2016-07-05,10
2016-07-06,55
2016-07-07,65
2016-07-08,57
2016-07-11,37
2016-07-12,43
2016-07-13,44
2016-07-14,49
2016-07-15,52
2016-07-18,83
2016-07-19,83
2016-07-20,80
2016-07-21,85
2016-07-22,75
2016-07-25,47
2016-07-26,46
2016-07-27,46
2016-07-28,46
2016-07-29,51
2016-08-01,48
2016-08-02,50
2016-08-03,52
2016-08-04,48
2016-08-05,48
2016-08-08,47
2016-08-09,46
2016-08-10,46
2016-08-11,48
2016-08-12,50
2016-08-15,10
2016-08-16,17
2016-08-17,23
2016-08-18,18
2016-08-19,21
2016-08-22,67
2016-08-23,70
2016-08-24,75
2016-08-25,78
2016-08-26,75
2016-08-29,78
2016-08-30,61
2016-08-31,51
2016-09-01,56
2016-09-02,60
2016-09-05,62
2016-09-06,67
2016-09-07,71
2016-09-08,67
2016-09-09,55
2016-09-12,52
2016-09-13,48
2016-09-14,45
2016-09-15,41
2016-09-16,36
2016-09-19,31
2016-09-20,24
2016-09-21,27
2016-09-22,15
2016-09-23,14
2016-09-26,13
2016-09-27,24
2016-09-28,36
2016-09-29,20
2016-09-30,50
2016-10-03,56
2016-10-04,27
2016-10-05,33
2016-10-06,56
2016-10-07,49
2016-10-10,40
2016-10-11,70
2016-10-12,63
2016-10-13,69
2016-10-14,70
2016-10-17,93
2016-10-18,88
2016-10-19,91
2016-10-20,82
2016-10-21,81
2016-10-24,81
2016-10-25,76
2016-10-26,51
2016-10-27,42
2016-10-28,40
2016-10-31,47
2016-11-01,48
2016-11-02,52
2016-11-03,53
2016-11-04,63
2016-11-07,66
2016-11-08,54
2016-11-09,51
2016-11-10,50
2016-11-11,35
2016-11-14,33
2016-11-15,42
2016-11-16,40
2016-11-17,37
2016-11-18,41
2016-11-21,53
2016-11-22,66
2016-11-23,100
2016-11-24,98
2016-11-25,89
2016-11-28,100
2016-11-29,73
2016-11-30,52
2016-12-01,49
2016-12-02,53
2016-12-05,55
2016-12-06,57
2016-12-07,53
2016-12-08,46
2016-12-09,46
2016-12-12,37
2016-12-13,42
2016-12-14,44
2016-12-15,45
2016-12-16,29
2016-12-19,0
2016-12-20,0
2016-12-21,0
2016-12-22,1
2016-12-23,2
2016-12-26,0
2016-12-27,0
2016-12-28,0
2016-12-29,2
2016-12-30,8
2017-01-02,20
2017-01-03,25
2017-01-04,21
2017-01-05,49
2017-01-06,51
2017-01-09,61
2017-01-10,64
2017-01-11,78
2017-01-12,70
2017-01-13,100
2017-01-16,83
2017-01-17,86
2017-01-18,94
2017-01-19,89
2017-01-20,100
2017-01-23,100
2017-01-24,100
2017-01-25,81
2017-01-26,95
2017-01-27,100
2017-01-30,100
2017-01-31,100
2017-02-01,86
2017-02-02,96
2017-02-03,97
2017-02-06,96
2017-02-07,92
2017-02-08,71
2017-02-09,71
2017-02-10,81
2017-02-13,92
2017-02-14,89
2017-02-15,56
2017-02-16,32
2017-02-17,26
2017-02-20,30
2017-02-21,38
2017-02-22,40
2017-02-23,0
2017-02-24,35
2017-02-27,40
2017-02-28,55
2017-03-01,64
2017-03-02,81
2017-03-03,81
2017-03-06,79
2017-03-07,76
2017-03-08,71
2017-03-09,61
2017-03-10,51
2017-03-13,43
2017-03-14,39
2017-03-15,41
2017-03-16,46
2017-03-17,51
2017-03-20,50
2017-03-21,45
2017-03-22,49
2017-03-23,49
2017-03-24,47
2017-03-27,34
2017-03-28,10
2017-03-29,1
2017-03-30,5
2017-03-31,11
2017-04-03,8
2017-04-04,6
2017-04-05,13
2017-04-06,28
2017-04-07,47
2017-04-10,80
2017-04-11,68
2017-04-12,98
2017-04-13,100
2017-04-14,90
2017-04-17,94
2017-04-18,93
2017-04-19,93
2017-04-20,67
2017-04-21,51
2017-04-24,75
2017-04-25,60
2017-04-26,57
2017-04-27,52
2017-04-28,48
2017-05-01,49
2017-05-02,43
2017-05-03,35
2017-05-04,30
2017-05-05,46
2017-05-08,44
2017-05-09,20
2017-05-10,20
2017-05-11,0
2017-05-12,0
2017-05-15,0
2017-05-16,0
2017-05-17,14
2017-05-18,43
2017-05-19,40
2017-05-22,35
2017-05-23,50
2017-05-24,47
2017-05-25,38
2017-05-26,33
2017-05-29,46
2017-05-30,64
2017-05-31,65
2017-06-01,70
2017-06-02,72
2017-06-05,77
2017-06-06,68
2017-06-07,75
2017-06-08,71
2017-06-09,70
2017-06-12,61
2017-06-13,79
2017-06-14,73
2017-06-15,37
2017-06-16,38
2017-06-19,43
2017-06-20,18
2017-06-21,31
2017-06-22,55
2017-06-23,58
2017-06-26,54
2017-06-27,22
2017-06-28,9
2017-06-29,35
2017-06-30,63
2017-07-03,58
2017-07-04,75
2017-07-05,83
2017-07-06,63
2017-07-07,65
2017-07-10,75
2017-07-11,45
2017-07-12,49
2017-07-13,59
2017-07-14,53
2017-07-17,48
2017-07-18,50
2017-07-19,51
2017-07-20,49
2017-07-21,55
2017-07-24,52
2017-07-25,51
2017-07-26,48
2017-07-27,30
2017-07-28,59
2017-07-31,54
2017-08-01,59
2017-08-02,59
2017-08-03,73
2017-08-04,75
2017-08-07,78
2017-08-08,95
2017-08-09,93
2017-08-10,55
2017-08-11,54
2017-08-14,52
2017-08-15,50
2017-08-16,46
2017-08-17,51
2017-08-18,55
2017-08-21,59
2017-08-22,60
2017-08-23,53
2017-08-24,55
2017-08-25,49
2017-08-28,50
2017-08-29,40
2017-08-30,53
2017-08-31,59
2017-09-01,85
2017-09-04,79
2017-09-05,81
2017-09-06,79
2017-09-07,95
2017-09-08,55
2017-09-11,50
2017-09-12,47
2017-09-13,49
2017-09-14,56
2017-09-15,51
2017-09-18,51
2017-09-19,50
2017-09-20,49
2017-09-21,51
2017-09-22,48
2017-09-25,49
2017-09-26,44
2017-09-27,35
2017-09-28,9
2017-09-29,12
2017-10-02,11
2017-10-03,1
2017-10-04,0
2017-10-05,3
2017-10-06,67
2017-10-09,75
2017-10-10,81
2017-10-11,79
2017-10-12,74
2017-10-13,73
2017-10-16,62
2017-10-17,64
2017-10-18,95
2017-10-19,97
2017-10-20,72
2017-10-23,82
2017-10-24,73
2017-10-25,83
2017-10-26,60
2017-10-27,70
2017-10-30,78
2017-10-31,75
2017-11-01,61
2017-11-02,60
2017-11-03,29
2017-11-06,34
2017-11-07,34
2017-11-08,26
2017-11-09,31
2017-11-10,8
2017-11-13,29
2017-11-14,40
2017-11-15,0
2017-11-16,8
2017-11-17,50
2017-11-20,54
2017-11-21,33
2017-11-22,65
2017-11-23,53
2017-11-24,32
2017-11-27,29
2017-11-28,39
2017-11-29,65
2017-11-30,78
2017-12-01,94
2017-12-04,75
2017-12-05,83
2017-12-06,77
2017-12-07,76
2017-12-08,59
2017-12-11,67
2017-12-12,68
2017-12-13,81
2017-12-14,78
2017-12-15,57
2017-12-18,49
2017-12-19,48
2017-12-20,42
2017-12-21,40
2017-12-22,45
2017-12-25,46
2017-12-26,39
2017-12-27,25
2017-12-28,4
2017-12-29,31
2018-01-01,36
2018-01-02,34
2018-01-03,38
2018-01-04,50
2018-01-05,53
2018-01-08,48
2018-01-09,44
2018-01-10,41
2018-01-11,43
2018-01-12,49
2018-01-15,54
2018-01-16,47
2018-01-17,55
2018-01-18,54
2018-01-19,70
2018-01-22,55
2018-01-23,48
2018-01-24,44
2018-01-25,0
2018-01-26,32
2018-01-29,35
2018-01-30,51
2018-01-31,58
2018-02-01,54
2018-02-02,72
2018-02-05,44
2018-02-06,42
2018-02-07,44
2018-02-08,48
2018-02-09,44
2018-02-12,44
2018-02-13,56
2018-02-14,54
2018-02-15,56
2018-02-16,41
2018-02-19,41
2018-02-20,43
2018-02-21,49
2018-02-22,47
2018-02-23,28
2018-02-26,4
2018-02-27,25
2018-02-28,0
2018-03-01,4
2018-03-02,0
2018-03-05,0
2018-03-06,5
2018-03-07,25
2018-03-08,0
2018-03-09,15
2018-03-12,15
2018-03-13,18
2018-03-14,0
2018-03-15,25
2018-03-16,18
2018-03-19,54
2018-03-20,71
2018-03-21,67
2018-03-22,66
2018-03-23,58
2018-03-26,52
