date,recom
2016-01-01,50
2016-01-04,40
2016-01-05,41
2016-01-06,27
2016-01-07,5
2016-01-08,18
2016-01-11,24
2016-01-12,35
2016-01-13,46
2016-01-14,47
2016-01-15,42
2016-01-18,31
2016-01-19,31
2016-01-20,31
2016-01-21,39
2016-01-22,60
2016-01-25,71
2016-01-26,69
2016-01-27,69
2016-01-28,79
2016-01-29,100
2016-02-01,100
2016-02-02,100
2016-02-03,87
2016-02-04,84
2016-02-05,85
2016-02-08,58
2016-02-09,50
2016-02-10,42
2016-02-11,38
2016-02-12,41
2016-02-15,55
2016-02-16,63
2016-02-17,67
2016-02-18,69
2016-02-19,70
2016-02-22,62
2016-02-23,52
2016-02-24,41
2016-02-25,33
2016-02-26,24
2016-02-29,22
2016-03-01,53
2016-03-02,63
2016-03-03,67
2016-03-04,72
2016-03-07,83
2016-03-08,100
2016-03-09,87
2016-03-10,78
2016-03-11,70
2016-03-14,61
2016-03-15,64
2016-03-16,56
2016-03-17,51
2016-03-18,48
2016-03-21,46
2016-03-22,54
2016-03-23,55
2016-03-24,56
2016-03-25,53
2016-03-28,52
2016-03-29,53
2016-03-30,39
2016-03-31,6
2016-04-01,17
2016-04-04,21
2016-04-05,23
2016-04-06,28
2016-04-07,23
2016-04-08,19
2016-04-11,21
2016-04-12,23
2016-04-13,26
2016-04-14,26
2016-04-15,29
2016-04-18,43
2016-04-19,46
2016-04-20,43
2016-04-21,50
2016-04-22,56
2016-04-25,52
2016-04-26,44
2016-04-27,20
2016-04-28,30
2016-04-29,39
2016-05-02,39
2016-05-03,44
2016-05-04,47
2016-05-05,37
2016-05-06,44
2016-05-09,56
2016-05-10,53
2016-05-11,50
2016-05-12,41
2016-05-13,54
2016-05-16,65
2016-05-17,75
2016-05-18,82
2016-05-19,80
2016-05-20,76
2016-05-23,72
2016-05-24,63
2016-05-25,55
2016-05-26,46
2016-05-27,48
2016-05-30,52
2016-05-31,48
2016-06-01,51
2016-06-02,56
2016-06-03,57
2016-06-06,54
2016-06-07,55
2016-06-08,52
2016-06-09,51
2016-06-10,57
2016-06-13,53
2016-06-14,41
2016-06-15,31
2016-06-16,30
2016-06-17,3
2016-06-20,10
2016-06-21,12
2016-06-22,38
2016-06-23,47
2016-06-24,34
2016-06-27,33
2016-06-28,28
2016-06-29,18
2016-06-30,3
2016-07-01,31
2016-07-04,49
2016-07-05,71
2016-07-06,82
2016-07-07,90
2016-07-08,72
2016-07-11,69
2016-07-12,66
2016-07-13,46
2016-07-14,76
2016-07-15,88
2016-07-18,100
2016-07-19,98
2016-07-20,72
2016-07-21,85
2016-07-22,87
2016-07-25,83
2016-07-26,63
2016-07-27,52
2016-07-28,57
2016-07-29,64
2016-08-01,64
2016-08-02,38
2016-08-03,41
2016-08-04,29
2016-08-05,20
2016-08-08,33
2016-08-09,49
2016-08-10,45
2016-08-11,49
2016-08-12,49
2016-08-15,42
2016-08-16,42
2016-08-17,34
2016-08-18,31
2016-08-19,30
2016-08-22,31
2016-08-23,43
2016-08-24,46
2016-08-25,48
2016-08-26,33
2016-08-29,31
2016-08-30,39
2016-08-31,34
2016-09-01,10
2016-09-02,41
2016-09-05,44
2016-09-06,54
2016-09-07,49
2016-09-08,63
2016-09-09,59
2016-09-12,69
2016-09-13,69
2016-09-14,82
2016-09-15,87
2016-09-16,72
2016-09-19,63
2016-09-20,56
2016-09-21,68
2016-09-22,69
2016-09-23,86
2016-09-26,71
2016-09-27,66
2016-09-28,76
2016-09-29,72
2016-09-30,89
2016-10-03,67
2016-10-04,74
2016-10-05,68
2016-10-06,78
2016-10-07,40
2016-10-10,38
2016-10-11,40
2016-10-12,36
2016-10-13,63
2016-10-14,45
2016-10-17,65
2016-10-18,53
2016-10-19,48
2016-10-20,53
2016-10-21,33
2016-10-24,37
2016-10-25,25
2016-10-26,40
2016-10-27,32
2016-10-28,55
2016-10-31,56
2016-11-01,67
2016-11-02,58
2016-11-03,64
2016-11-04,68
2016-11-07,45
2016-11-08,40
2016-11-09,37
2016-11-10,35
2016-11-11,37
2016-11-14,36
2016-11-15,38
2016-11-16,50
2016-11-17,52
2016-11-18,54
2016-11-21,54
2016-11-22,52
2016-11-23,47
2016-11-24,49
2016-11-25,34
2016-11-28,17
2016-11-29,0
2016-11-30,14
2016-12-01,20
2016-12-02,41
2016-12-05,44
2016-12-06,40
2016-12-07,47
2016-12-08,62
2016-12-09,58
2016-12-12,47
2016-12-13,37
2016-12-14,34
2016-12-15,65
2016-12-16,62
2016-12-19,63
2016-12-20,59
2016-12-21,57
2016-12-22,43
2016-12-23,40
2016-12-26,44
2016-12-27,43
2016-12-28,42
2016-12-29,34
2016-12-30,42
2017-01-02,39
2017-01-03,37
2017-01-04,24
2017-01-05,41
2017-01-06,43
2017-01-09,50
2017-01-10,50
2017-01-11,44
2017-01-12,24
2017-01-13,28
2017-01-16,15
2017-01-17,22
2017-01-18,29
2017-01-19,53
2017-01-20,71
2017-01-23,94
2017-01-24,84
2017-01-25,73
2017-01-26,93
2017-01-27,68
2017-01-30,57
2017-01-31,49
2017-02-01,87
2017-02-02,98
2017-02-03,100
2017-02-06,89
2017-02-07,78
2017-02-08,59
2017-02-09,59
2017-02-10,53
2017-02-13,53
2017-02-14,52
2017-02-15,57
2017-02-16,53
2017-02-17,44
2017-02-20,42
2017-02-21,44
2017-02-22,46
2017-02-23,39
2017-02-24,56
2017-02-27,60
2017-02-28,48
2017-03-01,45
2017-03-02,47
2017-03-03,44
2017-03-06,32
2017-03-07,30
2017-03-08,49
2017-03-09,50
2017-03-10,48
2017-03-13,51
2017-03-14,51
2017-03-15,62
2017-03-16,58
2017-03-17,59
2017-03-20,73
2017-03-21,59
2017-03-22,61
2017-03-23,60
2017-03-24,16
2017-03-27,0
2017-03-28,16
2017-03-29,22
2017-03-30,35
2017-03-31,66
2017-04-03,61
2017-04-04,69
2017-04-05,78
2017-04-06,88
2017-04-07,66
2017-04-10,43
2017-04-11,43
2017-04-12,49
2017-04-13,43
2017-04-14,36
2017-04-17,38
2017-04-18,34
2017-04-19,42
2017-04-20,34
2017-04-21,42
2017-04-24,38
2017-04-25,39
2017-04-26,45
2017-04-27,38
2017-04-28,11
2017-05-01,25
2017-05-02,35
2017-05-03,57
2017-05-04,65
2017-05-05,70
2017-05-08,74
2017-05-09,58
2017-05-10,47
2017-05-11,48
2017-05-12,56
2017-05-15,63
2017-05-16,65
2017-05-17,68
2017-05-18,71
2017-05-19,60
2017-05-22,60
2017-05-23,60
2017-05-24,54
2017-05-25,53
2017-05-26,61
2017-05-29,49
2017-05-30,34
2017-05-31,38
2017-06-01,39
2017-06-02,40
2017-06-05,40
2017-06-06,35
2017-06-07,67
2017-06-08,58
2017-06-09,42
2017-06-12,53
2017-06-13,48
2017-06-14,42
2017-06-15,38
2017-06-16,54
2017-06-19,68
2017-06-20,68
2017-06-21,71
2017-06-22,67
2017-06-23,63
2017-06-26,57
2017-06-27,50
2017-06-28,55
2017-06-29,44
2017-06-30,44
2017-07-03,31
2017-07-04,48
2017-07-05,43
2017-07-06,49
2017-07-07,52
2017-07-10,32
2017-07-11,33
2017-07-12,39
2017-07-13,67
2017-07-14,62
2017-07-17,67
2017-07-18,63
2017-07-19,64
2017-07-20,50
2017-07-21,65
2017-07-24,68
2017-07-25,74
2017-07-26,82
2017-07-27,75
2017-07-28,80
2017-07-31,69
2017-08-01,71
2017-08-02,79
2017-08-03,100
2017-08-04,100
2017-08-07,72
2017-08-08,56
2017-08-09,53
2017-08-10,42
2017-08-11,36
2017-08-14,34
2017-08-15,27
2017-08-16,33
2017-08-17,40
