date,recom
2016-01-01,65
2016-01-04,68
2016-01-05,73
2016-01-06,72
2016-01-07,62
2016-01-08,59
2016-01-11,46
2016-01-12,35
2016-01-13,36
2016-01-14,44
2016-01-15,58
2016-01-18,65
2016-01-19,63
2016-01-20,91
2016-01-21,76
2016-01-22,70
2016-01-25,55
2016-01-26,49
2016-01-27,34
2016-01-28,57
2016-01-29,50
2016-02-01,45
2016-02-02,44
2016-02-03,51
2016-02-04,47
2016-02-05,46
2016-02-08,50
2016-02-09,61
2016-02-10,49
2016-02-11,57
2016-02-12,50
2016-02-15,41
2016-02-16,34
2016-02-17,40
2016-02-18,37
2016-02-19,63
2016-02-22,74
2016-02-23,89
2016-02-24,81
2016-02-25,89
2016-02-26,100
2016-02-29,100
2016-03-01,65
2016-03-02,63
2016-03-03,66
2016-03-04,67
2016-03-07,61
2016-03-08,55
2016-03-09,54
2016-03-10,44
2016-03-11,30
2016-03-14,28
2016-03-15,26
2016-03-16,33
2016-03-17,33
2016-03-18,19
2016-03-21,15
2016-03-22,4
2016-03-23,10
2016-03-24,8
2016-03-25,6
2016-03-28,12
2016-03-29,17
2016-03-30,34
2016-03-31,61
2016-04-01,56
2016-04-04,64
2016-04-05,64
2016-04-06,62
2016-04-07,54
2016-04-08,47
2016-04-11,50
2016-04-12,57
2016-04-13,63
2016-04-14,62
2016-04-15,54
2016-04-18,50
2016-04-19,58
2016-04-20,60
2016-04-21,61
2016-04-22,61
2016-04-25,53
2016-04-26,45
2016-04-27,40
2016-04-28,26
2016-04-29,25
2016-05-02,24
2016-05-03,23
2016-05-04,22
2016-05-05,56
2016-05-06,53
2016-05-09,49
2016-05-10,58
2016-05-11,50
2016-05-12,57
2016-05-13,41
2016-05-16,22
2016-05-17,16
2016-05-18,0
2016-05-19,14
2016-05-20,40
2016-05-23,81
2016-05-24,79
2016-05-25,77
2016-05-26,85
2016-05-27,91
2016-05-30,93
2016-05-31,87
2016-06-01,92
2016-06-02,75
2016-06-03,70
2016-06-06,81
2016-06-07,80
2016-06-08,64
2016-06-09,58
2016-06-10,50
2016-06-13,51
2016-06-14,51
2016-06-15,52
2016-06-16,51
2016-06-17,50
2016-06-20,23
2016-06-21,3
2016-06-22,0
2016-06-23,4
2016-06-24,2
2016-06-27,1
2016-06-28,3
2016-06-29,10
2016-06-30,23
2016-07-01,29
2016-07-04,32
2016-07-05,30
2016-07-06,22
2016-07-07,35
2016-07-08,45
2016-07-11,48
2016-07-12,56
2016-07-13,97
2016-07-14,74
2016-07-15,57
2016-07-18,48
2016-07-19,45
2016-07-20,45
2016-07-21,44
2016-07-22,46
2016-07-25,52
2016-07-26,56
2016-07-27,47
2016-07-28,32
2016-07-29,45
2016-08-01,62
2016-08-02,66
2016-08-03,83
2016-08-04,87
2016-08-05,100
2016-08-08,68
2016-08-09,54
2016-08-10,51
2016-08-11,55
2016-08-12,55
2016-08-15,62
2016-08-16,62
2016-08-17,63
2016-08-18,60
2016-08-19,59
2016-08-22,58
2016-08-23,53
2016-08-24,53
2016-08-25,52
2016-08-26,41
2016-08-29,0
2016-08-30,0
2016-08-31,20
2016-09-01,20
2016-09-02,20
2016-09-05,0
2016-09-06,0
2016-09-07,53
2016-09-08,47
2016-09-09,45
2016-09-12,59
2016-09-13,57
2016-09-14,61
2016-09-15,28
2016-09-16,28
2016-09-19,27
2016-09-20,31
2016-09-21,40
2016-09-22,34
2016-09-23,31
2016-09-26,32
2016-09-27,33
2016-09-28,28
2016-09-29,41
2016-09-30,61
2016-10-03,71
2016-10-04,78
2016-10-05,83
2016-10-06,81
2016-10-07,77
2016-10-10,53
2016-10-11,46
2016-10-12,44
2016-10-13,38
2016-10-14,29
2016-10-17,40
2016-10-18,44
2016-10-19,47
2016-10-20,46
2016-10-21,46
2016-10-24,45
2016-10-25,50
2016-10-26,46
2016-10-27,35
2016-10-28,28
2016-10-31,23
2016-11-01,12
2016-11-02,1
2016-11-03,6
2016-11-04,22
2016-11-07,26
2016-11-08,28
2016-11-09,47
2016-11-10,52
2016-11-11,52
2016-11-14,61
2016-11-15,47
2016-11-16,66
2016-11-17,66
2016-11-18,62
2016-11-21,68
2016-11-22,57
2016-11-23,55
2016-11-24,62
2016-11-25,75
2016-11-28,58
2016-11-29,60
2016-11-30,62
2016-12-01,63
2016-12-02,48
2016-12-05,52
2016-12-06,50
2016-12-07,57
2016-12-08,49
2016-12-09,45
2016-12-12,31
2016-12-13,0
2016-12-14,28
2016-12-15,25
2016-12-16,34
2016-12-19,32
2016-12-20,13
2016-12-21,21
2016-12-22,41
2016-12-23,30
2016-12-26,42
2016-12-27,42
2016-12-28,40
2016-12-29,34
2016-12-30,50
2017-01-02,43
2017-01-03,39
2017-01-04,52
2017-01-05,61
2017-01-06,61
2017-01-09,64
2017-01-10,53
2017-01-11,40
2017-01-12,53
2017-01-13,29
2017-01-16,24
2017-01-17,35
2017-01-18,49
2017-01-19,31
2017-01-20,37
2017-01-23,16
2017-01-24,6
2017-01-25,14
2017-01-26,75
2017-01-27,84
2017-01-30,87
2017-01-31,89
2017-02-01,93
2017-02-02,83
2017-02-03,62
2017-02-06,58
2017-02-07,59
2017-02-08,60
2017-02-09,49
2017-02-10,56
2017-02-13,54
2017-02-14,55
2017-02-15,55
2017-02-16,53
2017-02-17,57
2017-02-20,59
2017-02-21,62
2017-02-22,60
2017-02-23,38
2017-02-24,37
2017-02-27,40
2017-02-28,34
2017-03-01,23
2017-03-02,41
2017-03-03,40
2017-03-06,54
2017-03-07,50
2017-03-08,47
2017-03-09,54
2017-03-10,58
2017-03-13,69
2017-03-14,73
2017-03-15,90
2017-03-16,73
2017-03-17,66
2017-03-20,64
2017-03-21,55
2017-03-22,36
2017-03-23,31
2017-03-24,21
2017-03-27,24
2017-03-28,35
2017-03-29,37
2017-03-30,51
2017-03-31,55
2017-04-03,60
2017-04-04,63
2017-04-05,62
2017-04-06,71
2017-04-07,55
2017-04-10,48
2017-04-11,39
2017-04-12,39
2017-04-13,31
2017-04-14,38
2017-04-17,40
2017-04-18,41
2017-04-19,63
2017-04-20,60
2017-04-21,63
2017-04-24,50
2017-04-25,47
2017-04-26,61
2017-04-27,59
2017-04-28,54
2017-05-01,19
2017-05-02,33
2017-05-03,48
2017-05-04,53
2017-05-05,52
2017-05-08,81
2017-05-09,89
2017-05-10,72
2017-05-11,68
2017-05-12,48
2017-05-15,40
2017-05-16,32
2017-05-17,28
2017-05-18,40
2017-05-19,63
