date,recom
2016-01-01,64
2016-01-04,72
2016-01-05,71
2016-01-06,64
2016-01-07,60
2016-01-08,60
2016-01-11,73
2016-01-12,72
2016-01-13,68
2016-01-14,66
2016-01-15,67
2016-01-18,60
2016-01-19,43
2016-01-20,31
2016-01-21,44
2016-01-22,51
2016-01-25,100
2016-01-26,99
2016-01-27,94
2016-01-28,87
2016-01-29,100
2016-02-01,100
2016-02-02,100
2016-02-03,100
2016-02-04,100
2016-02-05,96
2016-02-08,82
2016-02-09,66
2016-02-10,52
2016-02-11,48
2016-02-12,44
2016-02-15,56
2016-02-16,61
2016-02-17,55
2016-02-18,50
2016-02-19,52
2016-02-22,43
2016-02-23,38
2016-02-24,32
2016-02-25,23
2016-02-26,18
2016-02-29,36
2016-03-01,44
2016-03-02,45
2016-03-03,47
2016-03-04,47
2016-03-07,66
2016-03-08,74
2016-03-09,79
2016-03-10,81
2016-03-11,89
2016-03-14,68
2016-03-15,49
2016-03-16,46
2016-03-17,43
2016-03-18,41
2016-03-21,49
2016-03-22,57
2016-03-23,54
2016-03-24,54
2016-03-25,50
2016-03-28,41
2016-03-29,40
2016-03-30,41
2016-03-31,34
2016-04-01,51
2016-04-04,19
2016-04-05,24
2016-04-06,24
2016-04-07,34
2016-04-08,18
2016-04-11,54
2016-04-12,90
2016-04-13,86
2016-04-14,97
2016-04-15,72
2016-04-18,79
2016-04-19,57
2016-04-20,58
2016-04-21,68
2016-04-22,33
2016-04-25,24
2016-04-26,12
2016-04-27,19
2016-04-28,26
2016-04-29,31
2016-05-02,32
2016-05-03,16
2016-05-04,23
2016-05-05,16
2016-05-06,23
2016-05-09,28
2016-05-10,0
2016-05-11,0
2016-05-12,20
2016-05-13,23
2016-05-16,36
2016-05-17,38
2016-05-18,28
2016-05-19,27
2016-05-20,34
2016-05-23,30
2016-05-24,30
2016-05-25,19
2016-05-26,69
2016-05-27,60
2016-05-30,61
2016-05-31,62
2016-06-01,91
2016-06-02,80
2016-06-03,64
2016-06-06,54
2016-06-07,48
2016-06-08,42
2016-06-09,39
2016-06-10,36
2016-06-13,44
2016-06-14,50
2016-06-15,53
2016-06-16,57
2016-06-17,57
2016-06-20,60
2016-06-21,52
2016-06-22,56
2016-06-23,50
2016-06-24,40
2016-06-27,25
2016-06-28,33
2016-06-29,35
2016-06-30,46
2016-07-01,75
2016-07-04,90
2016-07-05,94
2016-07-06,91
2016-07-07,100
2016-07-08,98
2016-07-11,58
2016-07-12,55
2016-07-13,61
2016-07-14,85
2016-07-15,97
2016-07-18,61
2016-07-19,58
2016-07-20,53
2016-07-21,57
2016-07-22,48
2016-07-25,49
2016-07-26,49
2016-07-27,52
2016-07-28,56
2016-07-29,64
2016-08-01,57
2016-08-02,63
2016-08-03,73
2016-08-04,72
2016-08-05,57
2016-08-08,53
2016-08-09,49
2016-08-10,46
2016-08-11,46
2016-08-12,41
2016-08-15,41
2016-08-16,44
2016-08-17,54
2016-08-18,60
2016-08-19,73
2016-08-22,73
2016-08-23,67
2016-08-24,69
2016-08-25,65
2016-08-26,51
2016-08-29,46
2016-08-30,36
2016-08-31,29
2016-09-01,30
2016-09-02,42
2016-09-05,46
2016-09-06,40
2016-09-07,39
2016-09-08,45
2016-09-09,53
2016-09-12,49
2016-09-13,39
2016-09-14,29
2016-09-15,6
2016-09-16,14
2016-09-19,35
2016-09-20,29
2016-09-21,30
2016-09-22,33
2016-09-23,34
2016-09-26,41
2016-09-27,45
2016-09-28,44
2016-09-29,41
2016-09-30,84
2016-10-03,71
2016-10-04,66
2016-10-05,67
2016-10-06,90
2016-10-07,63
2016-10-10,46
2016-10-11,46
2016-10-12,42
2016-10-13,26
2016-10-14,41
2016-10-17,49
2016-10-18,39
2016-10-19,41
2016-10-20,39
2016-10-21,12
2016-10-24,67
2016-10-25,60
2016-10-26,47
2016-10-27,39
2016-10-28,12
2016-10-31,14
2016-11-01,23
2016-11-02,22
2016-11-03,22
2016-11-04,0
2016-11-07,29
2016-11-08,49
2016-11-09,0
2016-11-10,58
2016-11-11,72
2016-11-14,76
2016-11-15,77
2016-11-16,74
2016-11-17,73
2016-11-18,88
2016-11-21,69
2016-11-22,72
2016-11-23,85
2016-11-24,95
2016-11-25,95
2016-11-28,100
2016-11-29,100
2016-11-30,96
2016-12-01,88
2016-12-02,72
2016-12-05,68
2016-12-06,75
2016-12-07,68
2016-12-08,63
2016-12-09,44
2016-12-12,29
2016-12-13,21
2016-12-14,7
2016-12-15,18
2016-12-16,28
2016-12-19,49
2016-12-20,45
2016-12-21,46
2016-12-22,40
2016-12-23,30
2016-12-26,20
2016-12-27,27
2016-12-28,27
2016-12-29,26
2016-12-30,32
2017-01-02,38
2017-01-03,36
2017-01-04,43
2017-01-05,47
2017-01-06,42
2017-01-09,50
2017-01-10,59
2017-01-11,55
2017-01-12,63
2017-01-13,78
2017-01-16,69
2017-01-17,73
2017-01-18,71
2017-01-19,74
2017-01-20,75
2017-01-23,73
2017-01-24,71
2017-01-25,65
2017-01-26,61
2017-01-27,54
2017-01-30,57
2017-01-31,53
2017-02-01,52
2017-02-02,52
2017-02-03,53
2017-02-06,50
2017-02-07,49
2017-02-08,50
2017-02-09,46
2017-02-10,20
2017-02-13,27
2017-02-14,27
2017-02-15,29
2017-02-16,27
2017-02-17,20
2017-02-20,29
2017-02-21,30
2017-02-22,33
