date,recom
2016-01-01,42
2016-01-04,36
2016-01-05,42
2016-01-06,40
2016-01-07,49
2016-01-08,51
2016-01-11,49
2016-01-12,48
2016-01-13,52
2016-01-14,55
2016-01-15,57
2016-01-18,48
2016-01-19,56
2016-01-20,66
2016-01-21,67
2016-01-22,83
2016-01-25,100
2016-01-26,94
2016-01-27,75
2016-01-28,81
2016-01-29,95
2016-02-01,86
2016-02-02,77
2016-02-03,88
2016-02-04,65
2016-02-05,53
2016-02-08,38
2016-02-09,23
2016-02-10,34
2016-02-11,57
2016-02-12,67
2016-02-15,78
2016-02-16,84
2016-02-17,89
2016-02-18,94
2016-02-19,78
2016-02-22,61
2016-02-23,49
2016-02-24,48
2016-02-25,43
2016-02-26,48
2016-02-29,52
2016-03-01,53
2016-03-02,53
2016-03-03,57
2016-03-04,62
2016-03-07,61
2016-03-08,60
2016-03-09,55
2016-03-10,44
2016-03-11,26
2016-03-14,11
2016-03-15,7
2016-03-16,0
2016-03-17,15
2016-03-18,19
2016-03-21,25
2016-03-22,18
2016-03-23,0
2016-03-24,30
2016-03-25,29
2016-03-28,28
2016-03-29,18
2016-03-30,19
2016-03-31,25
2016-04-01,27
2016-04-04,26
2016-04-05,25
2016-04-06,36
2016-04-07,35
2016-04-08,36
2016-04-11,18
2016-04-12,21
2016-04-13,24
2016-04-14,47
2016-04-15,46
2016-04-18,47
2016-04-19,46
2016-04-20,58
2016-04-21,61
2016-04-22,73
2016-04-25,63
2016-04-26,18
2016-04-27,31
2016-04-28,33
2016-04-29,34
2016-05-02,37
2016-05-03,27
2016-05-04,42
2016-05-05,57
2016-05-06,65
2016-05-09,73
2016-05-10,77
2016-05-11,83
2016-05-12,67
2016-05-13,55
2016-05-16,70
2016-05-17,67
2016-05-18,64
2016-05-19,71
2016-05-20,96
2016-05-23,70
2016-05-24,69
2016-05-25,77
2016-05-26,82
2016-05-27,71
2016-05-30,77
2016-05-31,82
2016-06-01,96
2016-06-02,97
2016-06-03,94
2016-06-06,95
2016-06-07,95
2016-06-08,52
2016-06-09,52
2016-06-10,51
2016-06-13,50
2016-06-14,50
2016-06-15,49
2016-06-16,49
2016-06-17,48
2016-06-20,49
2016-06-21,49
2016-06-22,49
2016-06-23,49
2016-06-24,50
2016-06-27,56
2016-06-28,55
2016-06-29,27
2016-06-30,26
2016-07-01,27
2016-07-04,20
2016-07-05,21
2016-07-06,41
2016-07-07,37
2016-07-08,40
2016-07-11,41
2016-07-12,45
2016-07-13,46
2016-07-14,44
2016-07-15,44
2016-07-18,47
2016-07-19,46
2016-07-20,48
2016-07-21,42
2016-07-22,40
2016-07-25,3
2016-07-26,0
2016-07-27,0
2016-07-28,0
2016-07-29,0
2016-08-01,6
2016-08-02,0
2016-08-03,0
2016-08-04,1
2016-08-05,40
2016-08-08,41
2016-08-09,45
2016-08-10,44
2016-08-11,36
2016-08-12,19
2016-08-15,31
2016-08-16,33
2016-08-17,36
2016-08-18,34
2016-08-19,31
2016-08-22,46
2016-08-23,42
2016-08-24,45
2016-08-25,45
2016-08-26,53
2016-08-29,78
2016-08-30,76
