date,recom
2016-01-01,41
2016-01-04,32
2016-01-05,23
2016-01-06,54
2016-01-07,61
2016-01-08,63
2016-01-11,61
2016-01-12,57
2016-01-13,40
2016-01-14,37
2016-01-15,36
2016-01-18,40
2016-01-19,47
2016-01-20,48
2016-01-21,40
2016-01-22,54
2016-01-25,57
2016-01-26,57
2016-01-27,48
2016-01-28,57
2016-01-29,57
2016-02-01,60
2016-02-02,55
2016-02-03,28
2016-02-04,30
2016-02-05,41
2016-02-08,65
2016-02-09,69
2016-02-10,80
2016-02-11,84
2016-02-12,87
2016-02-15,57
2016-02-16,56
2016-02-17,56
2016-02-18,59
2016-02-19,73
2016-02-22,63
2016-02-23,55
2016-02-24,55
2016-02-25,50
2016-02-26,47
2016-02-29,48
2016-03-01,51
2016-03-02,51
2016-03-03,52
2016-03-04,57
2016-03-07,45
2016-03-08,42
2016-03-09,43
2016-03-10,46
2016-03-11,49
2016-03-14,52
2016-03-15,50
2016-03-16,46
2016-03-17,43
2016-03-18,39
2016-03-21,37
2016-03-22,51
2016-03-23,52
2016-03-24,55
2016-03-25,56
2016-03-28,54
2016-03-29,57
2016-03-30,56
2016-03-31,63
2016-04-01,55
2016-04-04,47
2016-04-05,38
2016-04-06,40
2016-04-07,41
2016-04-08,40
2016-04-11,48
2016-04-12,64
2016-04-13,77
2016-04-14,96
2016-04-15,75
2016-04-18,77
2016-04-19,94
2016-04-20,50
2016-04-21,89
2016-04-22,99
2016-04-25,74
2016-04-26,91
2016-04-27,72
2016-04-28,44
2016-04-29,49
2016-05-02,49
2016-05-03,45
2016-05-04,35
2016-05-05,59
2016-05-06,55
2016-05-09,49
2016-05-10,37
2016-05-11,29
2016-05-12,44
2016-05-13,29
2016-05-16,0
2016-05-17,0
2016-05-18,0
2016-05-19,0
2016-05-20,0
2016-05-23,0
2016-05-24,11
2016-05-25,11
2016-05-26,21
2016-05-27,35
2016-05-30,42
2016-05-31,45
2016-06-01,58
2016-06-02,57
2016-06-03,46
2016-06-06,62
2016-06-07,60
2016-06-08,40
2016-06-09,42
2016-06-10,43
2016-06-13,40
2016-06-14,41
2016-06-15,53
2016-06-16,55
2016-06-17,56
2016-06-20,56
2016-06-21,51
2016-06-22,49
2016-06-23,47
2016-06-24,0
2016-06-27,48
2016-06-28,48
2016-06-29,48
2016-06-30,48
2016-07-01,66
2016-07-04,37
2016-07-05,33
2016-07-06,41
2016-07-07,39
2016-07-08,46
2016-07-11,70
2016-07-12,70
2016-07-13,68
2016-07-14,67
2016-07-15,66
2016-07-18,89
2016-07-19,85
2016-07-20,75
2016-07-21,61
2016-07-22,62
2016-07-25,51
2016-07-26,50
2016-07-27,48
2016-07-28,44
2016-07-29,47
2016-08-01,61
2016-08-02,67
2016-08-03,76
2016-08-04,77
2016-08-05,62
2016-08-08,57
2016-08-09,48
2016-08-10,24
2016-08-11,24
2016-08-12,7
2016-08-15,19
2016-08-16,25
2016-08-17,26
2016-08-18,22
2016-08-19,10
2016-08-22,53
2016-08-23,50
2016-08-24,51
2016-08-25,36
2016-08-26,2
2016-08-29,30
2016-08-30,22
2016-08-31,22
2016-09-01,9
2016-09-02,0
2016-09-05,26
2016-09-06,23
2016-09-07,29
2016-09-08,27
2016-09-09,58
2016-09-12,60
2016-09-13,67
2016-09-14,72
2016-09-15,77
2016-09-16,65
2016-09-19,45
2016-09-20,45
2016-09-21,50
2016-09-22,52
2016-09-23,56
2016-09-26,61
2016-09-27,54
2016-09-28,67
2016-09-29,62
2016-09-30,74
2016-10-03,73
2016-10-04,74
2016-10-05,70
2016-10-06,66
2016-10-07,45
2016-10-10,51
2016-10-11,66
2016-10-12,60
2016-10-13,76
2016-10-14,85
2016-10-17,80
2016-10-18,78
2016-10-19,68
2016-10-20,67
2016-10-21,60
2016-10-24,57
2016-10-25,47
2016-10-26,50
2016-10-27,60
2016-10-28,64
2016-10-31,63
2016-11-01,60
2016-11-02,64
2016-11-03,68
2016-11-04,72
2016-11-07,55
2016-11-08,38
2016-11-09,28
2016-11-10,23
2016-11-11,35
2016-11-14,50
2016-11-15,59
2016-11-16,61
2016-11-17,62
2016-11-18,67
2016-11-21,65
2016-11-22,72
2016-11-23,57
2016-11-24,53
2016-11-25,45
2016-11-28,0
2016-11-29,30
2016-11-30,42
2016-12-01,38
2016-12-02,15
2016-12-05,0
2016-12-06,0
2016-12-07,40
2016-12-08,46
2016-12-09,47
2016-12-12,30
2016-12-13,29
2016-12-14,29
2016-12-15,0
2016-12-16,11
2016-12-19,13
2016-12-20,14
2016-12-21,27
2016-12-22,34
2016-12-23,0
2016-12-26,15
2016-12-27,21
2016-12-28,23
2016-12-29,26
2016-12-30,18
2017-01-02,29
2017-01-03,44
2017-01-04,50
2017-01-05,50
2017-01-06,41
2017-01-09,44
2017-01-10,36
2017-01-11,46
2017-01-12,70
2017-01-13,91
2017-01-16,98
2017-01-17,100
2017-01-18,100
2017-01-19,85
2017-01-20,85
2017-01-23,88
2017-01-24,67
2017-01-25,71
2017-01-26,59
2017-01-27,59
2017-01-30,67
2017-01-31,55
2017-02-01,57
2017-02-02,64
2017-02-03,53
2017-02-06,51
2017-02-07,59
2017-02-08,57
2017-02-09,55
2017-02-10,57
2017-02-13,66
2017-02-14,54
2017-02-15,55
2017-02-16,47
2017-02-17,44
2017-02-20,38
2017-02-21,48
2017-02-22,59
2017-02-23,68
2017-02-24,61
2017-02-27,67
2017-02-28,68
2017-03-01,41
2017-03-02,42
2017-03-03,47
2017-03-06,51
2017-03-07,49
2017-03-08,46
2017-03-09,23
2017-03-10,24
2017-03-13,37
2017-03-14,26
2017-03-15,15
2017-03-16,44
2017-03-17,63
2017-03-20,76
2017-03-21,74
2017-03-22,52
2017-03-23,48
2017-03-24,41
2017-03-27,30
2017-03-28,42
2017-03-29,42
2017-03-30,44
2017-03-31,52
2017-04-03,52
2017-04-04,37
2017-04-05,29
2017-04-06,37
2017-04-07,49
2017-04-10,49
2017-04-11,41
2017-04-12,42
2017-04-13,17
2017-04-14,20
2017-04-17,33
2017-04-18,22
2017-04-19,37
2017-04-20,54
2017-04-21,75
2017-04-24,100
2017-04-25,74
2017-04-26,67
2017-04-27,56
2017-04-28,63
2017-05-01,73
2017-05-02,85
2017-05-03,70
2017-05-04,72
2017-05-05,80
2017-05-08,69
2017-05-09,83
2017-05-10,82
2017-05-11,63
2017-05-12,54
2017-05-15,55
2017-05-16,76
2017-05-17,63
2017-05-18,89
2017-05-19,93
2017-05-22,92
2017-05-23,92
2017-05-24,98
2017-05-25,63
2017-05-26,56
2017-05-29,54
2017-05-30,54
2017-05-31,57
2017-06-01,54
2017-06-02,52
2017-06-05,47
2017-06-06,48
2017-06-07,48
2017-06-08,48
2017-06-09,52
2017-06-12,52
2017-06-13,51
2017-06-14,49
2017-06-15,17
2017-06-16,0
2017-06-19,7
2017-06-20,11
2017-06-21,12
2017-06-22,29
2017-06-23,5
2017-06-26,26
