date,recom
2016-01-01,39
2016-01-04,35
2016-01-05,48
2016-01-06,57
2016-01-07,59
2016-01-08,64
2016-01-11,61
2016-01-12,59
2016-01-13,58
2016-01-14,60
2016-01-15,53
2016-01-18,47
2016-01-19,42
2016-01-20,49
2016-01-21,59
2016-01-22,68
2016-01-25,71
2016-01-26,69
2016-01-27,61
2016-01-28,83
2016-01-29,74
2016-02-01,72
2016-02-02,77
2016-02-03,82
2016-02-04,91
2016-02-05,86
2016-02-08,72
2016-02-09,73
2016-02-10,47
2016-02-11,49
2016-02-12,50
2016-02-15,51
2016-02-16,69
2016-02-17,55
2016-02-18,48
2016-02-19,47
2016-02-22,51
2016-02-23,48
2016-02-24,45
2016-02-25,43
2016-02-26,49
2016-02-29,40
2016-03-01,24
2016-03-02,25
2016-03-03,32
2016-03-04,31
2016-03-07,37
2016-03-08,51
2016-03-09,73
2016-03-10,78
2016-03-11,83
2016-03-14,79
2016-03-15,72
2016-03-16,78
2016-03-17,73
2016-03-18,71
2016-03-21,96
2016-03-22,62
2016-03-23,69
2016-03-24,75
2016-03-25,69
2016-03-28,62
2016-03-29,67
2016-03-30,65
2016-03-31,73
2016-04-01,75
2016-04-04,70
2016-04-05,67
2016-04-06,59
2016-04-07,45
2016-04-08,32
2016-04-11,35
2016-04-12,36
2016-04-13,29
2016-04-14,36
2016-04-15,41
2016-04-18,29
2016-04-19,47
2016-04-20,28
2016-04-21,32
2016-04-22,21
2016-04-25,23
2016-04-26,7
2016-04-27,0
2016-04-28,0
2016-04-29,17
2016-05-02,16
2016-05-03,23
2016-05-04,28
2016-05-05,37
2016-05-06,26
2016-05-09,22
2016-05-10,28
2016-05-11,29
2016-05-12,48
2016-05-13,45
2016-05-16,48
2016-05-17,67
2016-05-18,36
2016-05-19,34
2016-05-20,40
2016-05-23,41
2016-05-24,41
2016-05-25,53
2016-05-26,77
2016-05-27,82
2016-05-30,79
2016-05-31,75
2016-06-01,80
2016-06-02,53
2016-06-03,55
2016-06-06,58
2016-06-07,54
2016-06-08,52
2016-06-09,51
2016-06-10,50
2016-06-13,48
2016-06-14,46
2016-06-15,46
2016-06-16,45
2016-06-17,46
2016-06-20,47
2016-06-21,50
2016-06-22,48
2016-06-23,16
2016-06-24,13
2016-06-27,23
2016-06-28,17
2016-06-29,20
2016-06-30,37
2016-07-01,48
2016-07-04,36
2016-07-05,38
2016-07-06,41
2016-07-07,40
2016-07-08,42
2016-07-11,40
2016-07-12,41
2016-07-13,47
2016-07-14,51
2016-07-15,47
2016-07-18,54
2016-07-19,53
2016-07-20,51
2016-07-21,49
2016-07-22,48
2016-07-25,23
2016-07-26,26
2016-07-27,38
2016-07-28,31
2016-07-29,34
2016-08-01,51
2016-08-02,55
2016-08-03,81
2016-08-04,84
2016-08-05,89
2016-08-08,85
2016-08-09,81
2016-08-10,50
2016-08-11,56
2016-08-12,64
2016-08-15,67
2016-08-16,68
2016-08-17,66
2016-08-18,63
2016-08-19,68
2016-08-22,83
2016-08-23,86
2016-08-24,57
2016-08-25,59
2016-08-26,61
2016-08-29,46
2016-08-30,11
2016-08-31,35
2016-09-01,35
2016-09-02,30
2016-09-05,29
2016-09-06,0
2016-09-07,58
2016-09-08,60
2016-09-09,62
2016-09-12,52
2016-09-13,51
2016-09-14,58
2016-09-15,55
2016-09-16,40
2016-09-19,34
2016-09-20,36
2016-09-21,43
2016-09-22,44
2016-09-23,51
2016-09-26,70
2016-09-27,63
2016-09-28,72
2016-09-29,72
2016-09-30,97
2016-10-03,71
2016-10-04,74
2016-10-05,80
2016-10-06,96
2016-10-07,49
2016-10-10,40
2016-10-11,42
2016-10-12,36
2016-10-13,30
2016-10-14,53
2016-10-17,83
2016-10-18,76
2016-10-19,80
2016-10-20,75
2016-10-21,84
2016-10-24,89
2016-10-25,85
2016-10-26,64
2016-10-27,52
2016-10-28,57
2016-10-31,89
2016-11-01,85
2016-11-02,73
2016-11-03,66
2016-11-04,75
2016-11-07,100
2016-11-08,71
2016-11-09,76
2016-11-10,78
2016-11-11,100
2016-11-14,53
2016-11-15,42
2016-11-16,46
2016-11-17,57
2016-11-18,52
2016-11-21,54
2016-11-22,60
2016-11-23,62
2016-11-24,51
2016-11-25,47
