date,recom
2016-01-01,81
2016-01-04,85
2016-01-05,77
2016-01-06,85
2016-01-07,76
2016-01-08,63
2016-01-11,58
2016-01-12,49
2016-01-13,35
2016-01-14,36
2016-01-15,37
2016-01-18,29
2016-01-19,52
2016-01-20,59
2016-01-21,60
2016-01-22,67
2016-01-25,69
2016-01-26,47
2016-01-27,46
2016-01-28,26
2016-01-29,21
2016-02-01,29
2016-02-02,27
2016-02-03,33
2016-02-04,33
2016-02-05,47
2016-02-08,37
2016-02-09,45
2016-02-10,49
2016-02-11,55
2016-02-12,52
2016-02-15,58
2016-02-16,41
2016-02-17,42
2016-02-18,42
2016-02-19,52
2016-02-22,49
2016-02-23,86
2016-02-24,62
2016-02-25,45
2016-02-26,36
2016-02-29,39
2016-03-01,50
2016-03-02,60
2016-03-03,61
2016-03-04,58
2016-03-07,61
2016-03-08,65
2016-03-09,68
2016-03-10,49
2016-03-11,61
2016-03-14,61
2016-03-15,65
2016-03-16,50
2016-03-17,41
2016-03-18,37
2016-03-21,46
2016-03-22,46
2016-03-23,61
2016-03-24,83
2016-03-25,67
2016-03-28,71
2016-03-29,67
2016-03-30,50
2016-03-31,38
2016-04-01,48
2016-04-04,37
2016-04-05,8
2016-04-06,14
2016-04-07,21
2016-04-08,12
2016-04-11,0
2016-04-12,0
2016-04-13,20
2016-04-14,36
2016-04-15,59
2016-04-18,55
2016-04-19,59
2016-04-20,53
2016-04-21,80
2016-04-22,84
2016-04-25,81
2016-04-26,70
2016-04-27,57
2016-04-28,41
2016-04-29,47
2016-05-02,53
2016-05-03,59
2016-05-04,75
2016-05-05,72
2016-05-06,64
2016-05-09,63
2016-05-10,78
2016-05-11,84
2016-05-12,80
2016-05-13,87
2016-05-16,71
2016-05-17,48
2016-05-18,45
2016-05-19,40
2016-05-20,47
2016-05-23,47
2016-05-24,44
2016-05-25,51
2016-05-26,58
2016-05-27,60
2016-05-30,53
2016-05-31,60
2016-06-01,90
2016-06-02,86
2016-06-03,87
2016-06-06,83
2016-06-07,86
2016-06-08,46
2016-06-09,44
2016-06-10,44
2016-06-13,43
2016-06-14,44
2016-06-15,43
2016-06-16,45
2016-06-17,45
2016-06-20,47
2016-06-21,49
2016-06-22,48
2016-06-23,49
2016-06-24,48
2016-06-27,50
2016-06-28,48
2016-06-29,9
2016-06-30,10
2016-07-01,16
2016-07-04,9
2016-07-05,8
2016-07-06,54
2016-07-07,57
2016-07-08,52
2016-07-11,34
2016-07-12,35
2016-07-13,43
2016-07-14,55
2016-07-15,50
2016-07-18,54
2016-07-19,50
2016-07-20,50
2016-07-21,53
2016-07-22,43
2016-07-25,32
2016-07-26,32
2016-07-27,32
2016-07-28,32
2016-07-29,16
2016-08-01,38
2016-08-02,38
2016-08-03,41
2016-08-04,64
2016-08-05,70
2016-08-08,73
2016-08-09,73
2016-08-10,72
2016-08-11,58
2016-08-12,61
2016-08-15,45
2016-08-16,43
2016-08-17,45
2016-08-18,51
2016-08-19,56
2016-08-22,63
2016-08-23,56
2016-08-24,58
2016-08-25,60
2016-08-26,60
2016-08-29,53
2016-08-30,47
2016-08-31,44
2016-09-01,27
2016-09-02,10
2016-09-05,0
2016-09-06,1
2016-09-07,28
2016-09-08,60
2016-09-09,49
2016-09-12,51
2016-09-13,53
2016-09-14,46
