date,recom
2016-01-01,24
2016-01-04,27
2016-01-05,36
2016-01-06,50
2016-01-07,47
2016-01-08,57
2016-01-11,62
2016-01-12,72
2016-01-13,79
2016-01-14,83
2016-01-15,81
2016-01-18,78
2016-01-19,79
2016-01-20,87
2016-01-21,84
2016-01-22,81
2016-01-25,89
2016-01-26,94
2016-01-27,100
2016-01-28,100
2016-01-29,100
2016-02-01,100
2016-02-02,100
2016-02-03,100
2016-02-04,100
2016-02-05,98
2016-02-08,80
2016-02-09,100
2016-02-10,100
2016-02-11,100
2016-02-12,72
2016-02-15,57
2016-02-16,73
2016-02-17,79
2016-02-18,100
2016-02-19,79
2016-02-22,57
2016-02-23,32
2016-02-24,20
2016-02-25,28
2016-02-26,21
2016-02-29,7
2016-03-01,10
2016-03-02,11
2016-03-03,11
2016-03-04,44
2016-03-07,49
2016-03-08,49
2016-03-09,51
2016-03-10,56
2016-03-11,58
2016-03-14,56
2016-03-15,51
2016-03-16,45
2016-03-17,39
2016-03-18,35
2016-03-21,37
2016-03-22,52
2016-03-23,55
2016-03-24,63
2016-03-25,66
2016-03-28,72
2016-03-29,81
2016-03-30,69
2016-03-31,64
2016-04-01,64
2016-04-04,64
2016-04-05,29
2016-04-06,29
2016-04-07,40
2016-04-08,26
2016-04-11,29
2016-04-12,35
2016-04-13,23
2016-04-14,34
2016-04-15,51
2016-04-18,42
2016-04-19,49
2016-04-20,53
2016-04-21,70
2016-04-22,67
2016-04-25,70
2016-04-26,67
2016-04-27,48
2016-04-28,31
2016-04-29,36
2016-05-02,42
2016-05-03,56
2016-05-04,66
2016-05-05,70
2016-05-06,76
2016-05-09,78
2016-05-10,98
2016-05-11,73
2016-05-12,46
2016-05-13,33
2016-05-16,36
2016-05-17,38
2016-05-18,29
2016-05-19,3
2016-05-20,4
2016-05-23,4
2016-05-24,20
2016-05-25,20
2016-05-26,44
2016-05-27,43
2016-05-30,32
2016-05-31,4
2016-06-01,17
2016-06-02,18
2016-06-03,17
2016-06-06,20
2016-06-07,18
2016-06-08,20
2016-06-09,29
2016-06-10,38
2016-06-13,52
2016-06-14,53
2016-06-15,53
2016-06-16,61
2016-06-17,66
2016-06-20,57
2016-06-21,70
2016-06-22,69
2016-06-23,64
2016-06-24,61
2016-06-27,82
2016-06-28,85
2016-06-29,63
2016-06-30,60
2016-07-01,66
2016-07-04,53
2016-07-05,50
2016-07-06,62
2016-07-07,51
2016-07-08,45
2016-07-11,29
2016-07-12,28
2016-07-13,57
2016-07-14,70
2016-07-15,68
2016-07-18,81
2016-07-19,79
2016-07-20,82
2016-07-21,57
2016-07-22,54
2016-07-25,53
2016-07-26,62
2016-07-27,64
2016-07-28,59
2016-07-29,57
2016-08-01,61
2016-08-02,55
2016-08-03,54
2016-08-04,52
2016-08-05,51
2016-08-08,54
2016-08-09,46
2016-08-10,18
2016-08-11,18
2016-08-12,24
