date,recom
2016-01-01,19
2016-01-04,31
2016-01-05,38
2016-01-06,40
2016-01-07,42
2016-01-08,50
2016-01-11,53
2016-01-12,56
2016-01-13,55
2016-01-14,49
2016-01-15,36
2016-01-18,22
2016-01-19,28
2016-01-20,28
2016-01-21,33
2016-01-22,49
2016-01-25,66
2016-01-26,61
2016-01-27,71
2016-01-28,100
2016-01-29,98
2016-02-01,96
2016-02-02,78
2016-02-03,73
2016-02-04,66
2016-02-05,65
2016-02-08,47
2016-02-09,36
2016-02-10,32
2016-02-11,30
2016-02-12,33
2016-02-15,45
2016-02-16,55
2016-02-17,54
2016-02-18,53
2016-02-19,41
2016-02-22,0
2016-02-23,42
2016-02-24,23
2016-02-25,21
2016-02-26,6
2016-02-29,21
2016-03-01,39
2016-03-02,44
2016-03-03,63
2016-03-04,67
2016-03-07,82
2016-03-08,84
2016-03-09,88
2016-03-10,85
2016-03-11,80
2016-03-14,67
2016-03-15,64
2016-03-16,74
2016-03-17,67
2016-03-18,78
2016-03-21,82
2016-03-22,82
2016-03-23,89
2016-03-24,83
2016-03-25,93
2016-03-28,68
2016-03-29,60
2016-03-30,45
2016-03-31,42
2016-04-01,90
2016-04-04,55
2016-04-05,52
2016-04-06,46
2016-04-07,53
2016-04-08,28
2016-04-11,29
2016-04-12,34
2016-04-13,29
2016-04-14,29
2016-04-15,41
2016-04-18,34
2016-04-19,46
2016-04-20,55
2016-04-21,76
2016-04-22,86
2016-04-25,87
2016-04-26,91
2016-04-27,79
2016-04-28,56
2016-04-29,52
2016-05-02,54
2016-05-03,55
2016-05-04,56
2016-05-05,69
2016-05-06,66
2016-05-09,61
2016-05-10,61
2016-05-11,60
2016-05-12,53
2016-05-13,42
2016-05-16,13
2016-05-17,0
2016-05-18,8
2016-05-19,17
2016-05-20,15
2016-05-23,12
2016-05-24,8
2016-05-25,4
2016-05-26,8
2016-05-27,16
2016-05-30,25
2016-05-31,26
2016-06-01,41
2016-06-02,37
2016-06-03,63
2016-06-06,63
2016-06-07,71
2016-06-08,85
2016-06-09,91
2016-06-10,86
2016-06-13,91
2016-06-14,69
2016-06-15,59
2016-06-16,46
2016-06-17,38
2016-06-20,39
2016-06-21,46
2016-06-22,47
2016-06-23,54
2016-06-24,54
2016-06-27,51
2016-06-28,48
2016-06-29,39
2016-06-30,41
2016-07-01,35
2016-07-04,26
2016-07-05,6
2016-07-06,8
2016-07-07,15
2016-07-08,28
2016-07-11,21
2016-07-12,22
2016-07-13,20
2016-07-14,48
2016-07-15,50
2016-07-18,75
2016-07-19,84
2016-07-20,89
2016-07-21,91
2016-07-22,88
2016-07-25,92
2016-07-26,95
2016-07-27,94
2016-07-28,53
2016-07-29,51
2016-08-01,53
2016-08-02,58
2016-08-03,55
2016-08-04,54
2016-08-05,56
2016-08-08,53
2016-08-09,50
2016-08-10,49
2016-08-11,49
2016-08-12,49
2016-08-15,44
2016-08-16,41
2016-08-17,32
2016-08-18,5
2016-08-19,10
2016-08-22,9
2016-08-23,8
2016-08-24,11
2016-08-25,37
2016-08-26,64
2016-08-29,74
2016-08-30,72
2016-08-31,79
2016-09-01,82
2016-09-02,79
2016-09-05,82
